"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"53","경기도","의왕시","일반국도",3,126.965335464,"2",60,NA
"54","경기도","의왕시","지방도",3,127.0130206,"2",60,NA
"7701","경기도","의왕시","시도",3,126.964521948,"2",60,NA
"9052","경기도","의왕시","지방도",3,126.991801672,"2",60,NA
"11468","경기도","의왕시","시도",3,126.971669131,"2",30,NA
"13220","경기도","의왕시","일반국도",3,126.979755277,"2",70,NA
"14451","경기도","의왕시","시도",3,127.000903,"1",40,NA
"14452","경기도","의왕시","시도",3,127.002163,"1",40,NA
"14460","경기도","의왕시","시도",3,127.009988,"2",60,NA
"14461","경기도","의왕시","시도",3,127.011145,"2",60,NA
"15507","경기도","의왕시","시도",3,126.980813062,"2",50,NA
"15508","경기도","의왕시","시도",3,126.957592,"2",50,NA
"15509","경기도","의왕시","일반국도",3,126.979782,"2",60,NA
"15510","경기도","의왕시","시도",3,126.957894,"2",50,NA
"15518","경기도","의왕시","시도",3,126.973782601,"2",50,NA
"15519","경기도","의왕시","시도",3,126.973590732,"2",50,NA
"15534","경기도","의왕시","시도",3,126.967695,"1",40,NA
"15553","경기도","의왕시","시도",3,126.981209738,"2",30,NA
"15554","경기도","의왕시","시도",3,126.9809043,"2",40,NA
"15772","경기도","의왕시","시도",3,126.97547386,"2",30,NA
"15773","경기도","의왕시","시도",3,126.986221366,"2",30,NA
"15774","경기도","의왕시","시도",3,126.979776,"2",30,NA
"16034","경기도","의왕시","시도",3,126.997109091,"2",30,NA
"16565","경기도","의왕시","지방도",3,126.997173,"2",60,NA
"16614","경기도","의왕시","시도",3,126.971009,"2",30,NA
"16652","경기도","의왕시","일반국도",3,126.966588722,"2",60,NA
"16982","경기도","의왕시","지방도",3,126.997732,"1",90,NA
"18444","경기도","의왕시","시도",3,126.949757,"2",60,NA
