"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3444","경기도","의정부시","시도",3,127.0587447,"1",50,NA
"3446","경기도","의정부시","일반국도",3,127.0447004,"2",50,NA
"3447","경기도","의정부시","일반국도",3,127.0451441,"2",50,NA
"3842","경기도","의정부시","시도",3,127.0910667,"1",50,NA
"3844","경기도","의정부시","일반국도",3,127.030301,"2",70,NA
"3853","경기도","의정부시","시도",3,127.0440095,"2",50,NA
"3865","경기도","의정부시","일반국도",3,127.0473367,"2",50,NA
"3866","경기도","의정부시","일반국도",3,127.0479714,"2",50,NA
"3867","경기도","의정부시","시도",3,127.059799,"2",50,NA
"3947","경기도","의정부시","시도",3,127.057342,"2",60,NA
"4176","경기도","의정부시","일반국도",3,127.0971682,"2",60,NA
"4293","경기도","의정부시","시도",3,127.099501,"2",50,NA
"4313","경기도","의정부시","일반국도",3,127.104015,"2",60,NA
"4326","경기도","의정부시","시도",3,127.099801,"2",50,NA
"4331","경기도","의정부시","일반국도",3,127.066323,"2",50,NA
"4369","경기도","의정부시","고속국도",3,127.035857,"1",100,NA
"4370","경기도","의정부시","고속국도",3,127.035857,"1",100,NA
"4371","경기도","의정부시","고속국도",3,127.035857,"1",100,NA
"4372","경기도","의정부시","고속국도",3,127.035857,"1",100,NA
"4384","경기도","의정부시","시도",3,127.039801,"2",30,NA
"4395","경기도","의정부시","시도",3,127.1001451,"1",80,NA
"4396","경기도","의정부시","시도",3,127.1007231,"1",80,NA
"4406","경기도","의정부시","시도",3,127.053323,"2",30,NA
"4407","경기도","의정부시","일반국도",3,127.011666,"2",60,NA
"4415","경기도","의정부시","시도",3,127.112701,"2",40,NA
"4429","경기도","의정부시","시도",3,127.033981,"1",80,NA
"4438","경기도","의정부시","일반국도",3,127.0748747,"2",50,NA
"4482","경기도","의정부시","시도",3,127.0862668,"1",50,NA
"4483","경기도","의정부시","시도",3,127.0575691,"1",60,NA
"4486","경기도","의정부시","지방도",3,127.0694459,"1",50,NA
"4493","경기도","의정부시","일반국도",3,127.0710917,"2",50,NA
"4515","경기도","의정부시","시도",3,127.0460955,"2",50,NA
"4516","경기도","의정부시","일반국도",3,127.0218694,"2",60,NA
"4586","경기도","의정부시","시도",3,127.0780364,"1",80,NA
"4587","경기도","의정부시","시도",3,127.0906939,"1",80,NA
"4610","경기도","의정부시","일반국도",3,127.0883011,"2",50,NA
