"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"881","경상남도","의창구","시도",2,128.6334820638,"4",60,NA
"2399","경상남도","의창구","시도",2,NA,"4",60,NA
"2762","경상남도","의창구","시도",2,128.6532662,"4",60,NA
"2763","경상남도","의창구","시도",2,128.6685605,"4",60,NA
"2765","경상남도","의창구","시도",2,NA,"4",60,NA
"2790","경상남도","의창구","시도",2,128.6380839,"4",60,NA
"2791","경상남도","의창구","시도",2,128.6583052,"4",60,NA
"2792","경상남도","의창구","시도",2,128.70133,"4",60,NA
"2793","경상남도","의창구","시도",2,128.6249982783,"4",60,NA
"2794","경상남도","의창구","시도",2,NA,"4",60,NA
"2795","경상남도","의창구","시도",2,NA,"4",60,NA
"2796","경상남도","의창구","시도",2,128.6283234,"4",60,NA
"2797","경상남도","의창구","시도",2,NA,"4",60,NA
"2798","경상남도","의창구","시도",2,128.6970475,"4",60,NA
"2799","경상남도","의창구","시도",2,NA,"4",60,NA
"2800","경상남도","의창구","시도",2,128.6349251104,"4",60,NA
"2801","경상남도","의창구","시도",2,NA,"4",60,NA
"2802","경상남도","의창구","시도",2,NA,"4",60,NA
"2803","경상남도","의창구","시도",2,128.6421073121,"4",60,NA
"2804","경상남도","의창구","시도",2,128.6426778866,"4",60,NA
"2805","경상남도","의창구","시도",2,NA,"4",60,NA
"2806","경상남도","의창구","시도",2,NA,"4",60,NA
"2807","경상남도","의창구","시도",2,NA,"4",60,NA
"2808","경상남도","의창구","시도",2,NA,"4",60,NA
"2809","경상남도","의창구","시도",2,NA,"4",60,NA
"2810","경상남도","의창구","시도",2,NA,"4",60,NA
"2811","경상남도","의창구","시도",2,128.6982025272,"4",60,NA
"2812","경상남도","의창구","시도",2,128.6029440179,"4",60,NA
"2813","경상남도","의창구","시도",2,128.6065110825,"4",60,NA
"2814","경상남도","의창구","시도",2,NA,"4",60,NA
"2815","경상남도","의창구","시도",2,NA,"4",60,NA
"2816","경상남도","의창구","시도",2,128.6428740068,"4",60,NA
"2817","경상남도","의창구","시도",2,NA,"4",60,NA
"2818","경상남도","의창구","시도",2,NA,"4",60,NA
"2832","경상남도","의창구","시도",2,128.5846788658,"4",60,NA
"2833","경상남도","의창구","시도",2,128.6180639,"4",60,NA
"2834","경상남도","의창구","시도",2,128.6208165,"4",60,NA
"2835","경상남도","의창구","시도",2,128.6181363,"4",60,NA
"2836","경상남도","의창구","시도",2,128.6196822,"4",60,NA
"2837","경상남도","의창구","시도",2,128.6128319879,"4",60,NA
"2838","경상남도","의창구","시도",2,128.6155658,"4",60,NA
"2839","경상남도","의창구","시도",2,NA,"4",60,NA
"2840","경상남도","의창구","시도",2,128.6051104,"4",60,NA
"2841","경상남도","의창구","시도",2,NA,"4",60,NA
"2842","경상남도","의창구","시도",2,128.643671,"4",60,NA
"2843","경상남도","의창구","시도",2,NA,"4",60,NA
"2844","경상남도","의창구","시도",2,128.6276621,"4",60,NA
"6304","경상남도","의창구","시도",1,128.644969,"02",60,NA
"6319","경상남도","의창구","시도",2,128.651394,"02",60,NA
"6330","경상남도","의창구","일반국도",2,128.609729,"01",70,NA
"6368","경상남도","의창구","시도",2,128.612681,"02",50,NA
"6369","경상남도","의창구","시도",2,128.605971,"02",60,NA
"6383","경상남도","의창구","일반국도",1,128.673754,"01",80,NA
"6395","경상남도","의창구","일반국도",1,128.613748,"01",80,NA
"6521","경상남도","의창구","시도",1,128.634623,"02",60,NA
"6535","경상남도","의창구","시도",1,128.601507,"01",50,NA
"6538","경상남도","의창구","시도",1,128.643547,"02",40,NA
"6539","경상남도","의창구","시도",2,128.643776,"02",40,NA
"6540","경상남도","의창구","시도",2,128.664528,"02",50,NA
"7411","경상남도","의창구","시도",2,128.690465,"02",60,NA
"7431","경상남도","의창구","시도",3,128.591243,"02",50,NA
"7432","경상남도","의창구","시도",2,128.596253,"02",50,NA
"7433","경상남도","의창구","시도",1,128.603219,"02",50,NA
"7438","경상남도","의창구","시도",3,128.633312,"01",50,NA
"7443","경상남도","의창구","지방도",2,128.679581,"02",30,NA
"7444","경상남도","의창구","시도",3,128.667111,"02",50,NA
"7458","경상남도","의창구","시도",1,128.604655,"01",50,NA
"7484","경상남도","의창구","일반국도",1,128.614143,"02",60,NA
"7485","경상남도","의창구","시도",2,128.616492,"02",50,NA
"7509","경상남도","의창구","시도",2,128.616333,"02",50,NA
"7517","경상남도","의창구","시도",2,128.633176,"02",60,NA
"7518","경상남도","의창구","시도",2,128.656576,"02",60,NA
"7519","경상남도","의창구","일반국도",2,128.709559,"02",60,NA
"7527","경상남도","의창구","일반국도",2,128.660811,"01",80,NA
"7538","경상남도","의창구","시도",2,128.644611,"02",60,NA
"7553","경상남도","의창구","시도",3,128.585323,"02",50,NA
"7554","경상남도","의창구","일반국도",3,128.709354,"02",70,NA
"7572","경상남도","의창구","시도",1,128.701293,"02",60,NA
"7583","경상남도","의창구","시도",1,128.638087,"02",60,NA
"7584","경상남도","의창구","시도",1,128.651301,"02",60,NA
"7585","경상남도","의창구","일반국도",1,128.630671,"02",60,NA
"7594","경상남도","의창구","시도",1,128.670161,"02",60,NA
"7604","경상남도","의창구","시도",1,128.618636,"02",30,NA
"7605","경상남도","의창구","시도",1,128.582769,"02",30,NA
"7609","경상남도","의창구","시도",1,128.629138,"01",50,NA
"7610","경상남도","의창구","시도",2,128.627966,"01",50,NA
"7625","경상남도","의창구","고속국도",2,128.505065,"01",100,NA
"7627","경상남도","의창구","시도",1,128.644531,"02",60,NA
"7840","경상남도","의창구","시도",1,128.620677,"02",50,NA
"7841","경상남도","의창구","시도",1,128.621183,"02",50,NA
