"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"955","전라북도","익산시","일반국도",NA,126.9668352,"1",70,NA
"1334","전라북도","익산시","시도",NA,126.9831517,"2",50,NA
"1343","전라북도","익산시","일반국도",NA,127.0514626,"1",80,NA
"1344","전라북도","익산시","일반국도",NA,126.9480912,"1",70,NA
"1352","전라북도","익산시","시도",NA,126.952383,"2",50,NA
"1353","전라북도","익산시","시도",NA,126.9688953,"2",50,NA
"1354","전라북도","익산시","시도",NA,126.9712231,"2",50,NA
"1355","전라북도","익산시","시도",NA,126.981454,"2",50,NA
"1356","전라북도","익산시","시도",NA,126.949994,"2",50,NA
"1368","전라북도","익산시","일반국도",NA,126.961839,"2",70,NA
"1369","전라북도","익산시","시도",NA,126.9834356,"2",50,NA
"1370","전라북도","익산시","지방도",NA,127.0042264,"1",60,NA
"1394","전라북도","익산시","시도",NA,126.9799111,"2",60,NA
"1396","전라북도","익산시","시도",NA,126.9784509,"2",60,NA
"1397","전라북도","익산시","시도",NA,126.9978558,"2",50,NA
"1505","전라북도","익산시","시도",NA,126.9977092,"1",50,NA
"1520","전라북도","익산시","지방도",NA,127.0824422,"2",80,NA
"1521","전라북도","익산시","지방도",NA,127.0828855,"2",80,NA
"1522","전라북도","익산시","일반국도",NA,126.9299374,"2",30,NA
"1523","전라북도","익산시","일반국도",NA,126.9635231,"2",70,NA
"1524","전라북도","익산시","시도",NA,126.9744634,"2",70,NA
"1525","전라북도","익산시","일반국도",NA,126.9481076,"2",70,NA
"1540","전라북도","익산시","시도",NA,126.990689,"1",60,NA
"1541","전라북도","익산시","일반국도",NA,126.9432109,"2",70,NA
"1542","전라북도","익산시","일반국도",NA,126.9937174,"2",80,NA
"2507","전라북도","익산시","시도",NA,126.976809,"2",60,NA
"2508","전라북도","익산시","지방도",NA,126.9366687,"2",60,NA
"2519","전라북도","익산시","시도",NA,126.9535529,"2",50,NA
"2521","전라북도","익산시","지방도",NA,127.0282875,"2",70,NA
"2522","전라북도","익산시","일반국도",NA,126.9565738,"2",50,NA
"4750","전라북도","익산시","일반국도",NA,126.9578772,"2",70,NA
"4757","전라북도","익산시","시도",NA,126.9456795,"2",40,NA
"4806","전라북도","익산시","시도",NA,126.9386956,"2",50,NA
"4807","전라북도","익산시","지방도",NA,127.0178668,"2",60,NA
"4808","전라북도","익산시","지방도",NA,126.9942112,"2",50,NA
"4809","전라북도","익산시","시도",NA,126.9556198,"2",50,NA
"4811","전라북도","익산시","일반국도",NA,126.9564058,"2",50,NA
"4812","전라북도","익산시","시도",NA,126.9640097,"1",50,NA
"4813","전라북도","익산시","시도",NA,126.9789545,"1",60,NA
"5054","전라북도","익산시","일반국도",NA,126.881429,"2",60,NA
"5055","전라북도","익산시","일반국도",NA,126.8811964,"2",60,NA
"5056","전라북도","익산시","일반국도",NA,126.9655262,"2",70,NA
"8650","전라북도","익산시","시도",NA,126.9521842,"1",30,NA
"8651","전라북도","익산시","일반국도",NA,126.9735556,"1",70,NA
"8657","전라북도","익산시","시도",NA,126.9592578,"2",50,NA
"8658","전라북도","익산시","시도",NA,126.9347118,"1",70,NA
"8659","전라북도","익산시","시도",NA,126.9353978,"1",70,NA
"8664","전라북도","익산시","시도",NA,126.9786117,"2",70,NA
"8665","전라북도","익산시","지방도",NA,126.9337875,"2",60,NA
"8686","전라북도","익산시","시도",NA,126.9627291,"2",50,NA
"8687","전라북도","익산시","시도",NA,126.977287,"2",50,NA
"10956","전라북도","익산시","시도",3,126.9566297,"4",0,NA
"11564","전라북도","익산시","일반국도",NA,127.005289,"2",70,NA
"11567","전라북도","익산시","일반국도",NA,127.078434,"1",80,NA
"11572","전라북도","익산시","시도",NA,126.9989969,"1",50,NA
"11592","전라북도","익산시","시도",NA,126.990597,"2",50,NA
"11596","전라북도","익산시","시도",NA,126.9502153,"2",50,NA
"11881","전라북도","익산시","시도",3,126.9421979,"4",0,NA
"11882","전라북도","익산시","시도",3,126.9421979,"4",0,NA
"11883","전라북도","익산시","시도",3,126.9438033,"4",0,NA
"11884","전라북도","익산시","시도",3,126.993055,"4",0,NA
"11885","전라북도","익산시","시도",3,126.9742751,"4",0,NA
"11886","전라북도","익산시","시도",3,126.9769248,"4",0,NA
"11905","전라북도","익산시","시도",3,126.9781812,"4",0,NA
"11906","전라북도","익산시","시도",3,126.9748498,"4",0,NA
"11907","전라북도","익산시","시도",3,126.971938,"4",0,NA
"11908","전라북도","익산시","시도",3,126.9485164,"4",0,NA
"11909","전라북도","익산시","시도",3,126.9507866,"4",0,NA
"11910","전라북도","익산시","시도",3,126.9589814,"4",0,NA
"11911","전라북도","익산시","시도",3,126.9712455,"4",0,NA
"11912","전라북도","익산시","시도",3,126.9812617,"4",0,NA
"11913","전라북도","익산시","시도",3,126.9454332,"4",0,NA
"11914","전라북도","익산시","시도",3,126.9642026,"4",0,NA
"11915","전라북도","익산시","시도",3,126.9589814,"4",0,NA
"11916","전라북도","익산시","시도",3,126.9489387,"4",0,NA
"11917","전라북도","익산시","시도",3,126.9575522,"4",0,NA
"11918","전라북도","익산시","시도",3,126.9748498,"4",0,NA
"11919","전라북도","익산시","시도",3,126.9781812,"4",0,NA
"11920","전라북도","익산시","시도",3,126.9781812,"4",0,NA
"11921","전라북도","익산시","시도",3,126.9755526,"4",0,NA
"11922","전라북도","익산시","시도",3,126.9798783,"4",0,NA
"11923","전라북도","익산시","시도",3,126.9785028,"4",0,NA
"11924","전라북도","익산시","시도",3,126.9748498,"4",0,NA
"11925","전라북도","익산시","시도",3,126.9597544,"4",0,NA
"11926","전라북도","익산시","시도",3,126.9552889,"4",0,NA
"11927","전라북도","익산시","시도",3,126.9583207,"4",0,NA
"11928","전라북도","익산시","시도",3,126.9552889,"4",0,NA
"11929","전라북도","익산시","시도",3,126.9414492,"4",0,NA
"11930","전라북도","익산시","시도",3,126.9471383,"4",0,NA
"11931","전라북도","익산시","시도",3,126.9471383,"4",0,NA
"11932","전라북도","익산시","시도",3,126.9471383,"4",0,NA
"11933","전라북도","익산시","시도",3,126.9491011,"4",0,NA
"11946","전라북도","익산시","시도",3,126.9812617,"4",0,NA
"11947","전라북도","익산시","시도",3,126.9712455,"4",0,NA
"11948","전라북도","익산시","시도",3,126.945694,"4",0,NA
"11949","전라북도","익산시","시도",3,126.9466125,"4",0,NA
"11950","전라북도","익산시","시도",3,126.962285,"4",0,NA
"11951","전라북도","익산시","시도",3,126.9883016,"4",0,NA
"11952","전라북도","익산시","시도",3,126.9572338,"4",0,NA
"11953","전라북도","익산시","시도",3,126.9548644,"4",0,NA
"11954","전라북도","익산시","시도",3,126.9436591,"4",0,NA
"11955","전라북도","익산시","시도",3,126.9616465,"4",0,NA
"11956","전라북도","익산시","시도",3,126.9717524,"4",0,NA
"11957","전라북도","익산시","시도",3,126.9842731,"4",0,NA
"11958","전라북도","익산시","시도",3,126.9547626,"4",0,NA
"11959","전라북도","익산시","시도",3,126.9898157,"4",0,NA
"11960","전라북도","익산시","시도",3,126.9812617,"4",0,NA
"11961","전라북도","익산시","시도",3,126.9712455,"4",0,NA
"11962","전라북도","익산시","시도",3,126.9561648,"4",0,NA
"12196","전라북도","익산시","일반국도",NA,126.9863166,"2",70,NA
"12197","전라북도","익산시","지방도",NA,126.8938932,"2",80,NA
"12532","전라북도","익산시","지방도",NA,126.9740446,"1",60,NA
