"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1209","강원도","인제군","일반국도",3,128.2811747,"1",60,NA
"1214","강원도","인제군","일반국도",3,128.1062613,"2",80,NA
"1215","강원도","인제군","일반국도",3,128.1608083,"1",80,NA
"1216","강원도","인제군","고속국도",2,128.367739,"1",100,16
"1217","강원도","인제군","고속국도",2,127.669132,"1",100,16
"2587","강원도","인제군","일반국도",3,128.3268333,"2",80,NA
"3427","강원도","인제군","고속국도",1,128.367739,"1",100,16
"3428","강원도","인제군","고속국도",1,128.367739,"1",100,16
"3442","강원도","인제군","일반국도",3,128.0596278,"1",80,NA
"5080","강원도","인제군","일반국도",3,128.3434244,"1",80,NA
"6657","강원도","인제군","일반국도",3,128.3432043,"1",80,NA
"7092","강원도","인제군","일반국도",3,128.327082,"2",80,NA
"11105","강원도","인제군","일반국도",3,128.100359,"1",80,NA
"11127","강원도","인제군","일반국도",3,128.1814039,"2",80,NA
"11136","강원도","인제군","일반국도",3,128.3624989,"1",80,NA
"11788","강원도","인제군","일반국도",3,128.293833,"1",80,NA
"11826","강원도","인제군","일반국도",3,128.2090317,"2",80,NA
"12095","강원도","인제군","일반국도",2,128.1813537,"01+02",80,NA
"12096","강원도","인제군","일반국도",2,128.208822,"01+02",80,NA
"12097","강원도","인제군","일반국도",2,128.3271703,"01+02",80,NA
"12098","강원도","인제군","일반국도",2,128.3430378,"1",80,NA
"12099","강원도","인제군","일반국도",2,128.3617689,"1",80,NA
"12100","강원도","인제군","일반국도",1,128.3901566,"1",70,NA
"12101","강원도","인제군","일반국도",1,128.3430377,"1",80,NA
"12102","강원도","인제군","일반국도",1,128.3267173,"01+02",80,NA
"12103","강원도","인제군","일반국도",1,128.2938109,"1",80,NA
"12104","강원도","인제군","일반국도",1,128.2328679,"01+02",80,NA
"12105","강원도","인제군","일반국도",1,128.208822,"01+02",80,NA
"12106","강원도","인제군","일반국도",1,128.175072,"01+02",80,NA
"12107","강원도","인제군","일반국도",1,128.1615307,"1",80,NA
"12108","강원도","인제군","일반국도",1,128.1003234,"1",80,NA
"12109","강원도","인제군","일반국도",1,128.0834932,"1",80,NA
"12110","강원도","인제군","일반국도",1,128.0622983,"01+02",80,NA
"12111","강원도","인제군","일반국도",1,128.206633,"1",60,NA
"12112","강원도","인제군","일반국도",1,128.3142786,"1",60,NA
"12113","강원도","인제군","일반국도",1,128.2909255,"1",60,NA
"12114","강원도","인제군","일반국도",2,128.2811199,"1",60,NA
"12115","강원도","인제군","기타",3,128.171875,"4",0,NA
"12116","강원도","인제군","지방도",1,128.2073343,"1",60,NA
"12138","강원도","인제군","일반국도",2,128.0596905,"1",80,NA
"12139","강원도","인제군","일반국도",2,128.0623054,"01+02",80,NA
"12140","강원도","인제군","일반국도",2,128.1063789,"01+02",80,NA
"12141","강원도","인제군","일반국도",2,128.1306106,"1",80,NA
"12142","강원도","인제군","일반국도",2,128.156782,"1",80,NA
"12143","강원도","인제군","일반국도",2,128.175072,"01+02",80,NA
"13104","강원도","인제군","일반국도",3,128.208594,"2",80,NA
"16050","강원도","인제군","일반국도",3,128.0626776,"2",80,NA
"16051","강원도","인제군","일반국도",3,128.0623986,"2",80,NA
"16052","강원도","인제군","일반국도",3,128.083189,"1",80,NA
"17512","강원도","인제군","일반국도",3,128.130664,"1",80,NA
"17513","강원도","인제군","일반국도",3,128.2911696,"1",60,NA
"18224","강원도","인제군","일반국도",3,128.206571,"1",60,NA
"18225","강원도","인제군","일반국도",3,128.314047,"1",60,NA
