"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"959","전라북도","임실군","일반국도",NA,127.3100628,"1",80,NA
"1349","전라북도","임실군","일반국도",NA,127.1369945,"1",80,NA
"1379","전라북도","임실군","일반국도",NA,127.1952681,"1",60,NA
"1531","전라북도","임실군","일반국도",NA,127.2674296,"2",80,NA
"1532","전라북도","임실군","지방도",NA,127.1603812,"1",50,NA
"1533","전라북도","임실군","일반국도",NA,127.3427544,"1",50,NA
"1545","전라북도","임실군","일반국도",NA,127.296871,"1",50,NA
"2503","전라북도","임실군","일반국도",NA,127.2906305,"2",60,NA
"4786","전라북도","임실군","일반국도",NA,127.2894134,"2",60,NA
"4787","전라북도","임실군","일반국도",NA,127.3132306,"2",60,NA
"4788","전라북도","임실군","일반국도",NA,127.2657357,"1",40,NA
"4795","전라북도","임실군","일반국도",NA,127.2755245,"1",30,NA
"4796","전라북도","임실군","일반국도",NA,127.1736227,"1",40,NA
"4797","전라북도","임실군","일반국도",NA,127.2555526,"1",60,NA
"4804","전라북도","임실군","일반국도",NA,127.327741,"1",80,NA
"5064","전라북도","임실군","일반국도",NA,127.2834845,"2",80,NA
"5934","전라북도","임실군","군도",NA,127.2909706,"1",30,NA
"5935","전라북도","임실군","군도",NA,127.2729597,"1",30,NA
"5936","전라북도","임실군","지방도",NA,127.2713584,"1",30,NA
"5937","전라북도","임실군","군도",NA,127.2708694,"1",30,NA
"5938","전라북도","임실군","일반국도",NA,127.2824211,"1",60,NA
"5939","전라북도","임실군","일반국도",NA,127.3042038,"1",50,NA
"5940","전라북도","임실군","지방도",NA,127.2297281,"1",60,NA
"5941","전라북도","임실군","일반국도",NA,NA,"1",30,NA
"5942","전라북도","임실군","일반국도",NA,127.2258776,"1",60,NA
"8645","전라북도","임실군","일반국도",NA,127.2718213,"1",70,NA
"11602","전라북도","임실군","일반국도",NA,127.2727992,"1",70,NA
"14077","전라북도","임실군","일반국도",NA,127.3307219,"1",30,NA
"14102","전라북도","임실군","군도",NA,127.1492276,"1",30,NA
"14204","전라북도","임실군","일반국도",NA,127.3158517,"2",60,NA
"14205","전라북도","임실군","일반국도",NA,127.3127191,"2",60,NA
"14206","전라북도","임실군","일반국도",NA,127.2795389,"2",60,NA
"14207","전라북도","임실군","일반국도",NA,127.2826909,"2",60,NA
"14208","전라북도","임실군","일반국도",NA,127.2759863,"2",30,NA
"14209","전라북도","임실군","일반국도",NA,127.2940081,"1",50,NA
"14210","전라북도","임실군","일반국도",NA,127.2832466,"1",50,NA
"14219","전라북도","임실군","일반국도",NA,127.148926,"1",50,NA
"14220","전라북도","임실군","일반국도",NA,127.339326,"1",40,NA
"14221","전라북도","임실군","일반국도",NA,127.357587,"1",30,NA
"17110","전라북도","임실군","일반국도",NA,127.148285,"1",80,NA
"18274","전라북도","임실군","고속국도",NA,127.2611283,"1",100,18.47
"18275","전라북도","임실군","고속국도",NA,127.2611283,"1",100,18.47
"18281","전라북도","임실군","일반국도",NA,127.3113944,"1",80,NA
