"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"444","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"3874","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3875","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3876","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3877","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3878","전라남도","장성군","기타",3,126.78388316,"4",0,NA
"3879","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3880","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3881","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3882","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3883","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3884","전라남도","장성군","기타",3,126.78160981,"4",0,NA
"3885","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3886","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3887","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3888","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3889","전라남도","장성군","기타",3,126.78126245,"4",0,NA
"3890","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3891","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3892","전라남도","장성군","기타",3,126.7808699,"4",0,NA
"3893","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3894","전라남도","장성군","기타",3,126.78090649,"4",0,NA
"3895","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"3896","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"3923","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"4033","전라남도","장성군","기타",3,126.78662854,"4",0,NA
"5385","전라남도","장성군","군도",3,126.878506,"2",80,NA
"5386","전라남도","장성군","일반국도",3,126.729498,"1",80,NA
"5387","전라남도","장성군","군도",3,126.786111,"1",30,NA
"5388","전라남도","장성군","군도",3,126.667106,"1",30,NA
"7938","전라남도","장성군","군도",3,126.805442,"1",70,NA
"7939","전라남도","장성군","군도",3,126.901928,"1",80,NA
"7967","전라남도","장성군","군도",3,126.808564,"2",80,NA
"9441","전라남도","장성군","지방도",3,126.649885,"1",70,NA
"9531","전라남도","장성군","일반국도",3,126.820873,"2",80,NA
"9532","전라남도","장성군","일반국도",3,126.741025,"2",80,NA
"9572","전라남도","장성군","일반국도",3,126.670639,"2",80,NA
"9573","전라남도","장성군","일반국도",3,126.654555,"2",80,NA
"9574","전라남도","장성군","일반국도",3,126.824134,"2",80,NA
"9583","전라남도","장성군","고속국도",1,126.775331,"1",100,NA
"9589","전라남도","장성군","군도",3,126.790367,"2",80,NA
"9689","전라남도","장성군","고속국도",2,126.801024,"1",100,NA
"9755","전라남도","장성군","일반국도",3,126.786293,"2",70,NA
"9883","전라남도","장성군","군도",3,126.772679,"1",70,NA
"9884","전라남도","장성군","일반국도",3,126.806206,"1",80,NA
"17397","전라남도","장성군","기타",3,126.78055042,"4",0,NA
"18206","전라남도","장성군","기타",3,126.77134286,"4",0,NA
"18235","전라남도","장성군","기타",3,126.78055042,"4",0,NA
"18236","전라남도","장성군","기타",3,126.78055042,"4",0,NA
"18237","전라남도","장성군","기타",3,126.78055042,"4",0,NA
"18238","전라남도","장성군","기타",3,126.78055042,"4",0,NA
"18239","전라남도","장성군","기타",3,126.77134286,"4",0,NA
"18240","전라남도","장성군","기타",3,126.77134286,"4",0,NA
"18241","전라남도","장성군","기타",3,126.77519897,"4",0,NA
"18242","전라남도","장성군","기타",3,126.77519897,"4",0,NA
"18243","전라남도","장성군","기타",3,126.77519897,"4",0,NA
