"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"963","전라북도","장수군","고속국도",NA,127.5951492,"1",100,NA
"1527","전라북도","장수군","일반국도",NA,127.5875337,"1",60,NA
"1528","전라북도","장수군","일반국도",NA,127.5350675,"1",60,NA
"1535","전라북도","장수군","일반국도",NA,127.506055,"1",30,NA
"1536","전라북도","장수군","일반국도",NA,127.577189,"1",30,NA
"5210","전라북도","장수군","일반국도",2,127.567894,"1",60,NA
"5211","전라북도","장수군","일반국도",1,127.495385,"1",60,NA
"5212","전라북도","장수군","일반국도",2,127.495385,"1",60,NA
"5213","전라북도","장수군","일반국도",1,127.505263,"2",60,NA
"5214","전라북도","장수군","일반국도",2,127.504889,"2",60,NA
"5215","전라북도","장수군","일반국도",1,NA,"1",60,NA
"5216","전라북도","장수군","일반국도",2,NA,"1",60,NA
"5217","전라북도","장수군","일반국도",1,127.520162,"1",60,NA
"5218","전라북도","장수군","지방도",3,127.404109,"1",60,NA
"5219","전라북도","장수군","군도",3,127.532887,"1",30,NA
"5220","전라북도","장수군","기타",3,127.5820143,"1",30,NA
"5221","전라북도","장수군","지방도",3,127.546171,"1",30,NA
"5222","전라북도","장수군","일반국도",2,127.614907,"1",30,NA
"5619","전라북도","장수군","일반국도",NA,127.4924426,"1",40,NA
"5620","전라북도","장수군","일반국도",NA,127.5622386,"1",60,NA
"6580","전라북도","장수군","일반국도",2,127.509241,"1",60,NA
"6581","전라북도","장수군","일반국도",2,NA,"1",40,NA
"6582","전라북도","장수군","일반국도",1,127.492404,"1",40,NA
"6583","전라북도","장수군","일반국도",2,127.527249,"1",60,NA
"6584","전라북도","장수군","일반국도",1,127.562349,"1",60,NA
"6585","전라북도","장수군","일반국도",2,127.579467,"1",60,NA
"6586","전라북도","장수군","일반국도",2,127.612319,"1",60,NA
"6587","전라북도","장수군","일반국도",2,127.522573,"1",60,NA
"6588","전라북도","장수군","일반국도",1,127.506023,"1",30,NA
"6589","전라북도","장수군","일반국도",1,127.598189,"1",40,NA
"6590","전라북도","장수군","일반국도",1,127.577207,"1",30,NA
"6591","전라북도","장수군","일반국도",2,127.587859,"1",60,NA
"6592","전라북도","장수군","일반국도",2,127.535122,"1",60,NA
"6593","전라북도","장수군","일반국도",2,127.516867,"1",60,NA
"6594","전라북도","장수군","일반국도",2,127.584288,"2",60,NA
"6595","전라북도","장수군","일반국도",1,127.583869,"2",60,NA
"6596","전라북도","장수군","일반국도",2,127.593909,"1",60,NA
"8677","전라북도","장수군","일반국도",NA,127.5794062,"1",60,NA
"11578","전라북도","장수군","일반국도",NA,127.522235,"1",60,NA
"11579","전라북도","장수군","일반국도",NA,127.598425,"1",40,NA
"14200","전라북도","장수군","일반국도",NA,127.495119,"1",60,NA
"14222","전라북도","장수군","일반국도",NA,127.516878,"1",60,NA
"14468","전라북도","장수군","일반국도",NA,127.495462,"1",60,NA
"14635","전라북도","장수군","일반국도",NA,127.567561,"1",60,NA
"14686","전라북도","장수군","일반국도",NA,127.593757,"1",60,NA
"14710","전라북도","장수군","일반국도",NA,127.5206816,"1",60,NA
"14764","전라북도","장수군","일반국도",NA,127.584013,"2",60,NA
"14785","전라북도","장수군","일반국도",NA,127.5047256,"2",60,NA
"14873","전라북도","장수군","일반국도",NA,127.504778,"2",60,NA
"14893","전라북도","장수군","일반국도",NA,127.5271367,"1",60,NA
"16936","전라북도","장수군","일반국도",NA,127.6123119,"1",60,NA
"18263","전라북도","장수군","일반국도",NA,127.4924011,"1",40,NA
