"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3456","강원도","정선","일반국도",3,128.8557627,"1",60,NA
"3457","강원도","정선","일반국도",3,128.8557627,"1",60,NA
"3467","강원도","정선","일반국도",3,128.8940551,"1",60,NA
"13077","강원도","정선","일반국도",3,128.8699152,"1",60,NA
"13117","강원도","정선","일반국도",3,128.847629,"1",60,NA
"13118","강원도","정선","일반국도",3,128.847743,"1",60,NA
"18958","강원도","정선","지방도",3,128.871714,"1",30,NA
"18959","강원도","정선","일반국도",3,128.848645,"1",30,NA
"18960","강원도","정선","일반국도",3,128.740148,"1",30,NA
"18961","강원도","정선","군도",3,128.727307,"1",30,NA
"18962","강원도","정선","지방도",3,128.6722471,"1",30,NA
"19031","강원도","정선","군도",3,128.659858,"1",30,NA
"19032","강원도","정선","군도",3,128.670909,"2",30,NA
"19033","강원도","정선","군도",3,128.645762,"1",30,NA
"19034","강원도","정선","지방도",3,128.834476,"2",30,NA
