"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1204","강원도","정선군","일반국도",3,128.7787642,"1",80,9
"1205","강원도","정선군","일반국도",3,128.7789229,"1",80,9
"1580","강원도","정선군","일반국도",3,128.857609,"1",80,9
"1581","강원도","정선군","일반국도",3,128.857609,"1",80,9
"2444","강원도","정선군","일반국도",3,128.630461,"1",60,NA
"2445","강원도","정선군","일반국도",3,128.597177,"1",60,NA
"2446","강원도","정선군","일반국도",3,128.6375886,"2",80,NA
"2447","강원도","정선군","일반국도",3,128.742181,"1",60,NA
"2573","강원도","정선군","일반국도",3,128.603643,"1",60,NA
"2574","강원도","정선군","일반국도",3,128.630251,"1",60,NA
"3439","강원도","정선군","일반국도",3,128.617283,"1",60,NA
"6263","강원도","정선군","일반국도",3,128.6660861,"1",80,55
"6264","강원도","정선군","일반국도",3,128.666267,"1",80,55
"6265","강원도","정선군","일반국도",3,128.6438889,"1",80,55
"6266","강원도","정선군","일반국도",3,128.6438889,"1",80,55
"6267","강원도","정선군","일반국도",3,128.683157,"1",80,50
"6268","강원도","정선군","일반국도",3,128.683157,"1",80,50
"6269","강원도","정선군","일반국도",3,128.7350209,"1",80,50
"6270","강원도","정선군","일반국도",3,128.7350478,"1",80,50
"8977","강원도","정선군","군도",3,128.66441,"4",0,NA
"8978","강원도","정선군","군도",3,128.66366,"4",0,NA
"8979","강원도","정선군","군도",3,128.66541,"4",0,NA
"8980","강원도","정선군","군도",3,128.82149,"4",0,NA
"8981","강원도","정선군","군도",3,128.81711,"4",0,NA
"8982","강원도","정선군","군도",3,128.81579,"4",0,NA
"8983","강원도","정선군","군도",3,128.8132,"4",0,NA
"8984","강원도","정선군","군도",3,128.81481,"4",0,NA
"8985","강원도","정선군","군도",3,128.81909,"4",0,NA
"8986","강원도","정선군","군도",3,128.81855,"4",0,NA
"8987","강원도","정선군","군도",3,128.66655,"4",0,NA
"8988","강원도","정선군","군도",3,128.84382,"4",0,NA
"8989","강원도","정선군","군도",3,128.85255,"4",0,NA
"8990","강원도","정선군","군도",3,128.85345,"4",0,NA
"8991","강원도","정선군","군도",3,128.85496,"4",0,NA
"8992","강원도","정선군","군도",3,128.85428,"4",0,NA
"8993","강원도","정선군","군도",3,128.66152,"4",0,NA
"8995","강원도","정선군","군도",3,128.66225,"4",0,NA
"11109","강원도","정선군","일반국도",3,128.8876061,"1",60,NA
"11110","강원도","정선군","일반국도",3,128.778816,"1",80,NA
"16062","강원도","정선군","일반국도",3,129.125208,"2",60,NA
"16069","강원도","정선군","일반국도",3,128.833863,"2",80,NA
"17829","강원도","정선군","일반국도",3,128.9445503,"1",60,NA
"18227","강원도","정선군","군도",3,128.815411,"2",40,NA
"18228","강원도","정선군","군도",3,128.815289,"2",40,NA
