"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"961","전라북도","정읍시","일반국도",NA,126.8907133,"1",30,NA
"1346","전라북도","정읍시","일반국도",NA,126.7951002,"1",60,NA
"1366","전라북도","정읍시","시도",NA,126.8293152,"2",50,NA
"1367","전라북도","정읍시","지방도",NA,126.8886204,"1",50,NA
"1376","전라북도","정읍시","일반국도",NA,126.9191505,"2",80,NA
"1377","전라북도","정읍시","시도",NA,126.8623736,"1",30,NA
"1487","전라북도","정읍시","시도",NA,126.850249,"1",30,NA
"2523","전라북도","정읍시","일반국도",NA,126.7750918,"2",80,NA
"4777","전라북도","정읍시","일반국도",NA,126.851638,"2",80,NA
"4778","전라북도","정읍시","일반국도",NA,126.852021,"2",80,NA
"4779","전라북도","정읍시","일반국도",NA,126.919649,"1",60,NA
"5057","전라북도","정읍시","일반국도",NA,127.0367389,"2",60,NA
"5073","전라북도","정읍시","시도",NA,126.8591667,"2",50,NA
"5914","전라북도","정읍시","시도",NA,126.849527,"1",30,NA
"5915","전라북도","정읍시","시도",NA,126.871883,"1",30,NA
"5916","전라북도","정읍시","시도",NA,NA,"1",30,NA
"5917","전라북도","정읍시","지방도",NA,126.854103,"1",50,NA
"5918","전라북도","정읍시","지방도",NA,126.854103,"1",50,NA
"5919","전라북도","정읍시","시도",NA,126.863855,"2",30,NA
"5920","전라북도","정읍시","시도",NA,126.864002,"2",30,NA
"5921","전라북도","정읍시","시도",NA,126.847479,"1",30,NA
"5922","전라북도","정읍시","시도",NA,126.871943,"1",30,NA
"5923","전라북도","정읍시","시도",NA,126.866447,"1",30,NA
"8674","전라북도","정읍시","지방도",NA,126.8414475,"1",80,NA
"8694","전라북도","정읍시","지방도",NA,127.0635799,"2",80,NA
"11568","전라북도","정읍시","시도",NA,126.9468553,"1",30,NA
"11569","전라북도","정읍시","시도",NA,126.8617489,"1",30,NA
"11570","전라북도","정읍시","시도",NA,126.890615,"1",30,NA
"11603","전라북도","정읍시","일반국도",NA,126.8831064,"1",80,NA
"11626","전라북도","정읍시","지방도",NA,126.7520353,"2",80,NA
"11627","전라북도","정읍시","지방도",NA,126.7522431,"2",80,NA
"12676","전라북도","정읍시","일반국도",NA,126.7773133,"2",80,NA
"12677","전라북도","정읍시","일반국도",NA,126.7775449,"2",80,NA
"12858","전라북도","정읍시","지방도",NA,127.073286,"2",80,NA
"12859","전라북도","정읍시","지방도",NA,127.073728,"2",80,NA
"12860","전라북도","정읍시","시도",NA,126.924733,"2",60,NA
"12861","전라북도","정읍시","시도",NA,126.924875,"1",60,NA
"12862","전라북도","정읍시","일반국도",NA,126.811573,"1",80,NA
"12863","전라북도","정읍시","시도",NA,126.850801,"1",50,NA
"12864","전라북도","정읍시","시도",NA,126.8603715,"1",30,NA
"12865","전라북도","정읍시","시도",NA,126.8626635,"1",30,NA
"13747","전라북도","정읍시","일반국도",NA,127.0221987,"1",40,NA
"13748","전라북도","정읍시","일반국도",NA,127.0221987,"1",40,NA
"14177","전라북도","정읍시","일반국도",NA,126.779287,"2",80,NA
"14178","전라북도","정읍시","일반국도",NA,126.7790478,"2",80,NA
"14179","전라북도","정읍시","시도",NA,126.8360329,"2",50,NA
"14180","전라북도","정읍시","시도",NA,126.8367981,"2",50,NA
"14181","전라북도","정읍시","지방도",NA,126.8150738,"1",40,NA
"14182","전라북도","정읍시","시도",NA,126.9507814,"1",30,NA
"14213","전라북도","정읍시","지방도",NA,126.811133,"2",40,NA
"14214","전라북도","정읍시","지방도",NA,126.8106435,"2",40,NA
"14898","전라북도","정읍시","일반국도",NA,126.904774,"1",60,NA
"14899","전라북도","정읍시","일반국도",NA,126.9239685,"1",60,NA
"16466","전라북도","정읍시","시도",NA,126.8704539,"2",60,NA
"16954","전라북도","정읍시","일반국도",NA,126.802607,"2",80,NA
"16955","전라북도","정읍시","일반국도",NA,126.802963,"2",80,NA
"16956","전라북도","정읍시","시도",NA,126.932723,"2",60,NA
"16957","전라북도","정읍시","시도",NA,126.932564,"2",60,NA
"16958","전라북도","정읍시","시도",NA,126.812378,"1",60,NA
"16959","전라북도","정읍시","시도",NA,126.811555,"1",60,NA
"16960","전라북도","정읍시","지방도",NA,126.922407,"1",40,NA
"18289","전라북도","정읍시","일반국도",NA,126.7818441,"1",50,NA
"18309","전라북도","정읍시","일반국도",NA,126.7967567,"2",80,NA
"18310","전라북도","정읍시","일반국도",NA,126.7972265,"2",80,NA
"18357","전라북도","정읍시","기타",1,126.950573,"1",30,NA
"18358","전라북도","정읍시","일반국도",3,126.836506,"1",60,NA
"18359","전라북도","정읍시","기타",3,126.835023,"1",70,NA
"18360","전라북도","정읍시","지방도",3,126.814502,"1",40,NA
"18361","전라북도","정읍시","기타",3,127.07356319,"1",80,NA
"18362","전라북도","정읍시","기타",1,126.924754327,"1",60,NA
"18363","전라북도","정읍시","기타",1,126.811244,"1",80,NA
"18364","전라북도","정읍시","기타",1,126.850853421,"1",60,NA
"18365","전라북도","정읍시","기타",3,126.848494,"1",50,NA
"18366","전라북도","정읍시","기타",3,126.863969667,"1",30,NA
"18367","전라북도","정읍시","기타",3,126.872364695,"1",30,NA
"18368","전라북도","정읍시","기타",1,126.866338756,"1",30,NA
"18369","전라북도","정읍시","기타",3,126.847533407,"1",30,NA
"18370","전라북도","정읍시","기타",3,126.850028383,"1",30,NA
"18371","전라북도","정읍시","기타",1,126.860475599,"1",30,NA
"18568","전라북도","정읍시","시도",2,126.912929998,"1",60,NA
"18750","전라북도","정읍시","지방도",2,127.0365794,"1",60,NA
"18751","전라북도","정읍시","지방도",2,127.0365794,"2",60,NA
"18752","전라북도","정읍시","지방도",1,126.8583195,"1",60,NA
"18753","전라북도","정읍시","지방도",1,126.8583195,"2",60,NA
"18754","전라북도","정읍시","일반국도",1,126.7751382,"1",80,NA
"18755","전라북도","정읍시","일반국도",1,126.7751382,"2",80,NA
"18756","전라북도","정읍시","일반국도",1,126.8283218,"1",60,NA
"18757","전라북도","정읍시","일반국도",1,126.8283218,"2",60,NA
