"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1127","제주특별자치도","제주시","시도",1,126.506891,"1",50,NA
"1802","제주특별자치도","제주시","지방도",1,126.429321,"1",80,13.8
"1803","제주특별자치도","제주시","지방도",1,126.429341,"1",80,13.8
"2249","제주특별자치도","제주시","지방도",1,126.665211,"1",30,NA
"2341","제주특별자치도","제주시","지방도",2,126.272171,"1",30,NA
"2551","제주특별자치도","제주시","지방도",1,126.460381,"1",60,NA
"2575","제주특별자치도","제주시","지방도",1,126.402321,"1",50,NA
"2581","제주특별자치도","제주시","국가지원지방도",2,126.593811,"2",30,NA
"2582","제주특별자치도","제주시","국가지원지방도",1,126.568891,"2",70,NA
"3018","제주특별자치도","제주시","시도",2,126.551731,"1",50,NA
"3091","제주특별자치도","제주시","지방도",1,126.834141,"1",50,NA
"3537","제주특별자치도","제주시","지방도",2,126.553131,"1",30,NA
"4006","제주특별자치도","제주시","지방도",2,126.470901,"2",60,NA
"4090","제주특별자치도","제주시","지방도",2,126.496761,"2",60,NA
"4147","제주특별자치도","제주시","시도",1,126.540601,"1",50,NA
"6170","제주특별자치도","제주시","시도",2,126.583991,"2",30,NA
"6171","제주특별자치도","제주시","지방도",1,126.186671,"2",50,NA
"6178","제주특별자치도","제주시","지방도",2,126.294051,"1",30,NA
"6187","제주특별자치도","제주시","지방도",1,126.434701,"2",30,NA
"6188","제주특별자치도","제주시","시도",2,126.446131,"2",30,NA
"6190","제주특별자치도","제주시","지방도",2,126.849111,"1",50,NA
"6191","제주특별자치도","제주시","지방도",2,126.571981,"2",50,NA
"6192","제주특별자치도","제주시","지방도",1,126.828841,"2",30,NA
"6193","제주특별자치도","제주시","지방도",1,126.738441,"2",50,NA
"6203","제주특별자치도","제주시","시도",2,126.506391,"2",50,NA
"6204","제주특별자치도","제주시","시도",2,126.491561,"2",50,NA
"6205","제주특별자치도","제주시","지방도",1,126.441871,"1",70,NA
"6206","제주특별자치도","제주시","국가지원지방도",1,126.585021,"1",70,NA
"6207","제주특별자치도","제주시","지방도",1,126.586201,"1",30,NA
"6212","제주특별자치도","제주시","지방도",1,126.184501,"1",70,NA
"6213","제주특별자치도","제주시","지방도",2,126.893901,"2",70,NA
"6216","제주특별자치도","제주시","지방도",1,126.562951,"1",30,NA
"6217","제주특별자치도","제주시","시도",1,126.528441,"2",50,NA
"6755","제주특별자치도","제주시","지방도",2,126.670961,"1",60,3.8
"6756","제주특별자치도","제주시","지방도",2,126.660031,"1",60,3.8
"6761","제주특별자치도","제주시","시도",2,126.512691,"2",80,NA
"6762","제주특별자치도","제주시","지방도",2,126.446911,"2",70,NA
"6763","제주특별자치도","제주시","국가지원지방도",1,126.604151,"2",50,NA
"6764","제주특별자치도","제주시","시도",2,126.496471,"2",50,NA
"6769","제주특별자치도","제주시","지방도",1,126.538753,"2",30,NA
"6770","제주특별자치도","제주시","지방도",2,126.530991,"2",30,NA
"6771","제주특별자치도","제주시","지방도",1,126.521276,"2",30,NA
"6772","제주특별자치도","제주시","지방도",1,126.567378,"2",30,NA
"6773","제주특별자치도","제주시","지방도",1,126.575982,"2",30,NA
"6777","제주특별자치도","제주시","지방도",1,126.539064,"1",50,NA
"6778","제주특별자치도","제주시","지방도",1,126.539043,"1",50,NA
"6786","제주특별자치도","제주시","지방도",1,126.496671,"2",30,NA
"6787","제주특별자치도","제주시","지방도",1,126.496671,"2",30,NA
"6788","제주특별자치도","제주시","지방도",1,126.477641,"2",30,NA
"6789","제주특별자치도","제주시","지방도",1,126.477641,"2",30,NA
"6790","제주특별자치도","제주시","시도",1,126.450781,"2",50,NA
"6791","제주특별자치도","제주시","시도",1,126.450781,"2",50,NA
"6792","제주특별자치도","제주시","지방도",2,126.344921,"2",30,NA
"6793","제주특별자치도","제주시","시도",1,126.533291,"1",30,NA
"6794","제주특별자치도","제주시","시도",1,126.487431,"1",30,NA
"6796","제주특별자치도","제주시","지방도",1,126.296391,"1",30,NA
"6797","제주특별자치도","제주시","시도",1,126.395171,"2",80,NA
"6798","제주특별자치도","제주시","지방도",1,126.676321,"2",70,NA
"6799","제주특별자치도","제주시","지방도",2,126.892741,"2",70,NA
"6804","제주특별자치도","제주시","지방도",1,126.712721,"2",30,NA
"6805","제주특별자치도","제주시","시도",1,126.485951,"2",50,NA
"6806","제주특별자치도","제주시","시도",2,126.581141,"2",50,NA
"6809","제주특별자치도","제주시","시도",1,126.436351,"1",50,2.6
"6810","제주특별자치도","제주시","시도",1,126.462241,"1",50,2.6
"6811","제주특별자치도","제주시","시도",1,126.502141,"1",50,2.7
"6812","제주특별자치도","제주시","시도",1,126.502141,"1",50,2.7
"6813","제주특별자치도","제주시","시도",1,126.531841,"1",50,2.7
"6814","제주특별자치도","제주시","시도",1,126.531841,"1",50,2.7
"6817","제주특별자치도","제주시","지방도",1,126.549111,"1",60,NA
"6818","제주특별자치도","제주시","지방도",1,126.549111,"1",60,NA
"6819","제주특별자치도","제주시","지방도",1,126.545661,"1",60,NA
"6820","제주특별자치도","제주시","지방도",1,126.545661,"1",60,NA
"6821","제주특별자치도","제주시","지방도",2,126.712291,"1",30,NA
"6824","제주특별자치도","제주시","지방도",2,126.462471,"2",70,NA
"6825","제주특별자치도","제주시","지방도",2,126.462471,"2",70,NA
"13008","제주특별자치도","제주시","지방도",2,126.199821,"1",60,NA
"13009","제주특별자치도","제주시","시도",1,126.485091,"2",80,NA
"13012","제주특별자치도","제주시","지방도",1,126.892861,"2",70,NA
