"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"392","인천광역시","중구","일반국도",3,126.4889268,"4",0,0.015
"393","인천광역시","중구","일반국도",3,126.4869827,"4",0,0.015
"394","인천광역시","중구","일반국도",3,126.4914922,"4",0,0.015
"395","인천광역시","중구","일반국도",3,126.4924323,"4",0,0.015
"396","인천광역시","중구","일반국도",3,126.4924323,"4",0,0.015
"397","인천광역시","중구","일반국도",3,126.5677802,"4",0,0.015
"398","인천광역시","중구","일반국도",3,126.5632221,"4",0,0.015
"399","인천광역시","중구","일반국도",3,126.6308938,"4",0,0.015
"400","인천광역시","중구","일반국도",3,126.6353673,"4",0,0.015
"401","인천광역시","중구","일반국도",3,126.6353673,"4",0,0.015
"402","인천광역시","중구","일반국도",3,126.6333289,"4",0,0.015
"404","인천광역시","중구","일반국도",3,126.6333289,"4",0,0.015
"405","인천광역시","중구","일반국도",3,126.6333289,"4",0,0.015
"406","인천광역시","중구","일반국도",3,126.6333289,"4",0,0.015
"407","인천광역시","중구","일반국도",3,126.6333289,"4",0,0.015
"419","인천광역시","중구","일반국도",3,126.6313714,"4",0,0.015
"420","인천광역시","중구","일반국도",3,126.6307391,"4",0,0.015
"421","인천광역시","중구","일반국도",3,126.6072421,"4",0,0.015
"422","인천광역시","중구","일반국도",3,126.6260201,"4",0,0.015
"423","인천광역시","중구","일반국도",3,126.5995902,"4",0,0.015
"424","인천광역시","중구","일반국도",3,126.6332145,"4",0,0.015
"425","인천광역시","중구","일반국도",3,126.6231485,"4",0,0.015
"426","인천광역시","중구","일반국도",3,126.622189,"4",0,0.015
"427","인천광역시","중구","일반국도",3,126.6257697,"4",0,0.015
"428","인천광역시","중구","일반국도",3,126.6281036,"4",0,0.015
"429","인천광역시","중구","일반국도",3,126.6332145,"4",0,0.015
"430","인천광역시","중구","일반국도",3,126.6353673,"4",0,0.015
"431","인천광역시","중구","일반국도",3,126.6204597,"4",0,0.015
"432","인천광역시","중구","일반국도",3,126.6288677,"4",0,0.015
"433","인천광역시","중구","일반국도",3,126.6332145,"4",0,0.015
"434","인천광역시","중구","일반국도",3,126.6047088,"4",0,0.015
"435","인천광역시","중구","일반국도",3,126.6194242,"4",0,0.015
"436","인천광역시","중구","일반국도",3,126.6193181,"4",0,0.015
"437","인천광역시","중구","일반국도",3,126.6193585,"4",0,0.015
"438","인천광역시","중구","일반국도",3,126.623629,"4",0,0.015
"439","인천광역시","중구","일반국도",3,126.6308938,"4",0,0.015
"440","인천광역시","중구","일반국도",3,126.6333289,"4",0,0.015
"441","인천광역시","중구","일반국도",3,126.6298467,"4",0,0.015
"442","인천광역시","중구","일반국도",3,126.628615,"4",0,0.015
"443","인천광역시","중구","일반국도",3,126.6076254,"4",0,0.015
"597","대전광역시","중구","고속국도",1,127.408579,"1",100,NA
"1571","인천광역시","중구","특별시도",2,126.6198226,"1",60,NA
"1577","인천광역시","중구","특별시도",2,126.5009268,"2",60,NA
"1578","인천광역시","중구","특별시도",1,126.5015324,"2",60,NA
"1592","인천광역시","중구","특별시도",1,126.471522,"2",60,NA
"1596","인천광역시","중구","특별시도",1,126.6309213,"2",50,NA
"1920","대전광역시","중구","시도",3,127.451166,"2",50,NA
"1921","대전광역시","중구","시도",3,127.442694,"2",50,NA
"2178","대전광역시","중구","시도",2,127.393273,"2",30,NA
"2179","대전광역시","중구","시도",2,127.431554,"2",30,NA
"2180","대전광역시","중구","시도",2,127.432444,"2",30,NA
"2181","대전광역시","중구","시도",2,127.411813,"2",30,NA
"2182","대전광역시","중구","시도",2,127.444891,"2",30,NA
"2183","대전광역시","중구","시도",2,127.447981,"1",30,NA
"2184","대전광역시","중구","시도",2,127.400907,"1",60,NA
"2185","대전광역시","중구","시도",2,127.405788,"2",30,NA
"2186","대전광역시","중구","시도",2,127.410863,"2",30,NA
"2291","인천광역시","중구","특별시도",1,126.4147495,"1",60,NA
"2349","대전광역시","중구","시도",1,127.403884,"2",30,NA
"2350","대전광역시","중구","시도",2,127.395483,"2",30,NA
"2351","대전광역시","중구","시도",2,127.427348,"2",30,NA
"2352","대전광역시","중구","시도",2,127.425744,"2",30,NA
"2353","대전광역시","중구","시도",2,127.424296,"2",30,NA
"2354","대전광역시","중구","시도",2,127.388182,"2",30,NA
"2355","대전광역시","중구","시도",2,127.407902,"2",30,NA
"2356","대전광역시","중구","시도",2,127.409077,"2",30,NA
"2357","대전광역시","중구","시도",2,127.416871,"1",30,NA
"2358","대전광역시","중구","시도",2,127.417783,"2",30,NA
"2359","대전광역시","중구","시도",2,127.401502,"1",30,NA
"2360","대전광역시","중구","시도",2,127.401384,"1",30,NA
"2361","대전광역시","중구","시도",2,127.397146,"1",30,NA
"2362","대전광역시","중구","시도",2,127.420106,"2",30,NA
"2363","대전광역시","중구","시도",2,127.398327,"1",30,NA
"2364","대전광역시","중구","시도",2,127.399174,"2",30,NA
"2365","대전광역시","중구","시도",2,127.406577,"2",30,NA
"2366","대전광역시","중구","시도",1,127.407875,"2",30,NA
"2372","대전광역시","중구","시도",2,127.385216,"2",30,NA
"2373","대전광역시","중구","시도",1,127.398381,"2",30,NA
"2374","대전광역시","중구","시도",2,127.396546,"2",30,NA
"2375","대전광역시","중구","시도",2,127.390414,"2",30,NA
"2376","대전광역시","중구","시도",2,127.410429,"2",30,NA
"2377","대전광역시","중구","시도",2,127.398081,"2",30,NA
"2378","대전광역시","중구","시도",2,127.392522,"2",30,NA
"2379","대전광역시","중구","시도",2,127.403884,"2",30,NA
"2458","대전광역시","중구","시도",2,127.397549,"1",50,NA
"2459","대전광역시","중구","시도",2,127.431704,"2",50,NA
"2474","대전광역시","중구","시도",2,127.434161,"2",30,NA
"2475","대전광역시","중구","시도",1,127.397554,"2",30,NA
"2531","대전광역시","중구","시도",2,127.417499,"2",50,NA
"2535","대전광역시","중구","시도",2,127.410738,"1",50,NA
"2536","대전광역시","중구","시도",2,127.392645,"2",60,NA
"2550","대전광역시","중구","시도",1,127.419706,"2",50,NA
"2612","대전광역시","중구","시도",2,127.411331,"2",30,NA
"2613","대전광역시","중구","시도",1,127.396174,"2",30,NA
"2637","대전광역시","중구","시도",2,127.399356,"2",50,NA
"2659","대전광역시","중구","시도",1,127.410586,"1",30,NA
"2660","대전광역시","중구","시도",2,127.404605,"2",30,NA
"2661","대전광역시","중구","시도",2,127.391811,"2",30,NA
"2664","대전광역시","중구","시도",1,127.411388,"1",50,NA
"2681","대전광역시","중구","시도",1,127.389663,"1",50,NA
"2684","대전광역시","중구","시도",1,127.376066,"1",70,NA
"2692","대전광역시","중구","시도",2,127.411444,"2",30,NA
"2693","대전광역시","중구","시도",1,127.407694,"2",30,NA
"2705","대전광역시","중구","시도",1,127.382472,"2",50,NA
"2708","대전광역시","중구","시도",2,127.433555,"2",50,NA
"2885","대전광역시","중구","시도",2,127.411861,"2",50,NA
"4547","서울특별시","중구","특별시도",1,126.972805,"2",50,NA
"4548","서울특별시","중구","특별시도",2,126.97287,"2",50,NA
"4680","서울특별시","중구","특별시도",1,127.009392,"2",50,NA
"5757","인천광역시","중구","기타",1,126.6356887,"1",30,NA
"5758","인천광역시","중구","특별시도",2,126.5538438,"2",50,NA
"5759","인천광역시","중구","특별시도",1,126.5536936,"2",50,NA
"6028","인천광역시","중구","기타",2,126.5543481,"2",40,NA
"6029","인천광역시","중구","기타",1,126.4865901,"2",30,NA
"6030","인천광역시","중구","기타",2,126.4847286,"2",30,NA
"6056","인천광역시","중구","특별시도",2,126.6073293,"2",30,NA
"6073","인천광역시","중구","특별시도",1,126.6260703,"2",30,NA
"6090","인천광역시","중구","특별시도",2,126.6284649,"2",30,NA
"6091","인천광역시","중구","특별시도",2,126.4128439,"1",40,NA
"6092","인천광역시","중구","특별시도",1,126.4132662,"1",40,NA
"6106","인천광역시","중구","특별시도",2,126.5378867,"2",50,NA
"8901","부산광역시","중구","기타",3,129.034565,"2",30,NA
"9925","인천광역시","중구","기타",1,126.504862,"1",50,NA
"9951","인천광역시","중구","특별시도",3,126.6356177,"2",50,NA
"9952","인천광역시","중구","특별시도",2,126.460272,"1",60,NA
"9953","인천광역시","중구","기타",2,126.4360489,"1",80,NA
"9954","인천광역시","중구","기타",1,126.4340178,"1",80,NA
"9955","인천광역시","중구","기타",1,126.423881,"1",60,NA
"9956","인천광역시","중구","기타",2,126.4210356,"1",60,NA
"9957","인천광역시","중구","기타",1,126.4135501,"1",80,NA
"9960","인천광역시","중구","기타",3,126.5067869,"2",50,NA
"9961","인천광역시","중구","특별시도",2,126.510339,"2",50,NA
"9971","인천광역시","중구","특별시도",1,126.4019746,"2",80,NA
"9972","인천광역시","중구","특별시도",2,126.4348529,"1",80,NA
"9973","인천광역시","중구","특별시도",1,126.4349092,"1",80,NA
"9974","인천광역시","중구","특별시도",2,126.4064038,"1",80,NA
