"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4533","서울특별시","중랑구","특별시도",1,127.094309,"2",60,NA
"11315","서울특별시","중랑구","특별시도",2,127.08697,"1",50,NA
"12365","서울특별시","중랑구","일반국도",2,127.104517,"2",60,NA
"12378","서울특별시","중랑구","특별시도",1,127.088943,"1",60,NA
"12382","서울특별시","중랑구","특별시도",1,127.07689,"2",40,NA
"12390","서울특별시","중랑구","특별시도",1,127.089147,"1",50,NA
"12415","서울특별시","중랑구","일반국도",1,127.100267,"2",50,NA
"12893","서울특별시","중랑구","고속국도",1,127.072476,"1",80,NA
"12928","서울특별시","중랑구","특별시도",2,127.087005,"1",60,NA
"12940","서울특별시","중랑구","일반국도",2,127.100551,"2",50,NA
"16402","서울특별시","중랑구","특별시도",2,127.080132,"2",60,NA
"17588","서울특별시","중랑구","특별시도",2,127.097554,"1",70,NA
"17633","서울특별시","중랑구","일반국도",1,127.080242,"2",60,NA
