"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"156","대구광역시","중부","시도",1,128.5869797,"1",60,NA
"162","대구광역시","중부","시도",2,128.5822268,"2",40,NA
"2242","대구광역시","중부","시도",1,128.6088612,"2",50,NA
"2243","대구광역시","중부","시도",2,128.6084374,"2",50,NA
"2244","대구광역시","중부","시도",2,128.603427,"2",50,NA
"2273","대구광역시","중부","시도",2,128.6070802,"2",60,NA
"2322","대구광역시","중부","시도",1,128.5822697,"2",40,NA
"2756","대구광역시","중부","시도",1,128.5919364,"2",50,NA
"5330","대구광역시","중부","시도",2,128.6039581,"2",50,NA
"5331","대구광역시","중부","시도",1,128.604237,"2",50,NA
"5353","대구광역시","중부","시도",1,128.6072786,"2",60,NA
"5354","대구광역시","중부","시도",2,128.590703,"2",60,NA
"6880","대구광역시","중부","시도",1,128.5827793,"1",50,NA
"6895","대구광역시","중부","시도",1,128.5826667,"2",60,NA
"6897","대구광역시","중부","시도",2,128.5841848,"2",50,NA
"6918","대구광역시","중부","시도",1,128.5912766,"2",50,NA
"6927","대구광역시","중부","시도",1,128.598628,"2",50,NA
"13150","대구광역시","중부","시도",1,128.588294,"2",50,NA
"13317","대구광역시","중부","시도",2,128.5869904,"2",50,NA
