"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"654","전라남도","진도군","군도",3,126.191442,"1",30,NA
"655","전라남도","진도군","군도",3,126.041933,"1",30,NA
"656","전라남도","진도군","일반국도",3,126.335513,"1",60,NA
"4268","전라남도","진도군","군도",3,126.255329,"2",60,NA
"4269","전라남도","진도군","군도",3,126.968605,"1",60,NA
"4270","전라남도","진도군","군도",3,126.358671,"1",60,NA
"7975","전라남도","진도군","일반국도",3,126.277105,"1",60,NA
"7976","전라남도","진도군","일반국도",3,126.297269,"1",50,NA
"7977","전라남도","진도군","일반국도",3,126.292332,"1",70,NA
"9487","전라남도","진도군","일반국도",3,126.191865,"1",60,NA
"9696","전라남도","진도군","일반국도",3,126.277565,"2",60,NA
"9797","전라남도","진도군","일반국도",3,126.295248,"1",70,NA
"9843","전라남도","진도군","일반국도",3,126.208279,"1",60,NA
"9844","전라남도","진도군","일반국도",3,126.208262,"1",60,NA
"11230","전라남도","진도군","군도",3,126.317324,"1",30,NA
"11231","전라남도","진도군","군도",3,126.341822,"1",30,NA
"11232","전라남도","진도군","군도",3,126.341822,"1",30,NA
"11233","전라남도","진도군","군도",3,126.166845,"1",30,NA
"11234","전라남도","진도군","군도",3,126.166845,"1",30,NA
"11444","전라남도","진도군","군도",3,126.288656,"1",30,NA
"11445","전라남도","진도군","군도",3,126.288656,"1",30,NA
"11446","전라남도","진도군","군도",3,126.294434,"1",30,NA
"11447","전라남도","진도군","군도",3,126.280169,"1",30,NA
"11448","전라남도","진도군","군도",3,126.280169,"1",30,NA
"11449","전라남도","진도군","군도",3,126.274824,"1",30,NA
"11450","전라남도","진도군","군도",3,126.274824,"1",30,NA
"11451","전라남도","진도군","군도",3,126.321892,"1",30,NA
"12194","전라남도","진도군","군도",3,126.241071,"1",30,NA
"12195","전라남도","진도군","군도",3,126.267345,"1",30,NA
"12244","전라남도","진도군","군도",3,126.241071,"1",30,NA
"12246","전라남도","진도군","군도",3,126.265337,"1",30,NA
"12247","전라남도","진도군","군도",3,126.265337,"1",30,NA
