"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"958","전라북도","진안군","지방도",NA,127.4483889,"1",60,NA
"1330","전라북도","진안군","지방도",NA,127.3673205,"1",60,NA
"1331","전라북도","진안군","지방도",NA,127.436836,"1",60,NA
"1347","전라북도","진안군","일반국도",NA,127.471481,"1",40,NA
"1537","전라북도","진안군","일반국도",NA,127.347976,"1",80,NA
"1538","전라북도","진안군","일반국도",NA,127.378578,"1",50,NA
"1554","전라북도","진안군","군도",NA,127.4241563,"1",30,NA
"1555","전라북도","진안군","군도",NA,127.4349099,"1",30,NA
"2504","전라북도","진안군","일반국도",NA,127.5522769,"1",50,NA
"2505","전라북도","진안군","일반국도",NA,127.5054298,"1",60,NA
"2506","전라북도","진안군","지방도",NA,127.3495732,"1",60,NA
"2527","전라북도","진안군","일반국도",NA,127.548202,"1",60,NA
"4770","전라북도","진안군","일반국도",NA,127.4303694,"2",70,NA
"4771","전라북도","진안군","일반국도",NA,127.4304712,"2",70,NA
"4798","전라북도","진안군","지방도",NA,127.4058109,"1",60,NA
"5066","전라북도","진안군","일반국도",NA,127.3476095,"2",80,NA
"5067","전라북도","진안군","일반국도",NA,127.4064404,"1",60,NA
"5618","전라북도","진안군","일반국도",NA,127.4069512,"1",70,NA
"5657","전라북도","진안군","일반국도",NA,127.5189235,"1",30,NA
"5658","전라북도","진안군","일반국도",NA,127.5189622,"1",30,NA
"5659","전라북도","진안군","군도",NA,127.3688886,"1",30,NA
"5660","전라북도","진안군","일반국도",NA,127.3589791,"1",80,NA
"5661","전라북도","진안군","일반국도",NA,127.5682752,"1",70,NA
"5662","전라북도","진안군","일반국도",NA,127.5685371,"1",70,NA
"5663","전라북도","진안군","일반국도",NA,127.4053328,"1",70,NA
"11558","전라북도","진안군","일반국도",NA,127.3447951,"1",80,NA
"11856","전라북도","진안군","지방도",1,127.348105,"1",80,3.3
"11857","전라북도","진안군","지방도",1,127.378672,"2",50,3.3
"11858","전라북도","진안군","지방도",1,127.505207,"3",50,3.3
"11897","전라북도","진안군","지방도",3,127.548328,"1",60,3.3
"11898","전라북도","진안군","일반국도",1,127.406203,"1",60,3.3
"11899","전라북도","진안군","일반국도",1,127.347803,"1",80,3.3
"11900","전라북도","진안군","지방도",3,127.350466,"1",60,3.3
"11901","전라북도","진안군","일반국도",3,127.504941,"1",60,3.3
"11902","전라북도","진안군","일반국도",3,127.552185,"1",60,3.3
"11903","전라북도","진안군","지방도",3,127.367411,"1",60,3.3
"11904","전라북도","진안군","지방도",1,127.435917,"1",40,3.3
"14189","전라북도","진안군","일반국도",NA,127.5054298,"1",60,NA
"15555","전라북도","진안군","일반국도",NA,127.393153,"2",70,NA
"16705","전라북도","진안군","일반국도",NA,127.473023,"1",40,NA
"18258","전라북도","진안군","군도",NA,127.3174507,"1",50,NA
"18259","전라북도","진안군","지방도",NA,127.435979,"1",60,NA
"18264","전라북도","진안군","일반국도",NA,127.5601399,"1",50,NA
"18265","전라북도","진안군","일반국도",NA,127.5597423,"1",50,NA
"18284","전라북도","진안군","일반국도",NA,127.4171355,"1",50,NA
