"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5183","경상남도","진주시","시도",3,128.088655,"4",0,NA
"5184","경상남도","진주시","시도",3,128.110941,"4",0,NA
"5185","경상남도","진주시","시도",3,128.0836194,"4",0,NA
"5186","경상남도","진주시","시도",3,128.1223516,"4",0,NA
"5187","경상남도","진주시","시도",3,128.0639062,"4",0,NA
"5188","경상남도","진주시","시도",3,128.0883366,"4",0,NA
"5189","경상남도","진주시","시도",3,128.0883289,"4",0,NA
"5190","경상남도","진주시","시도",3,128.1168787,"4",0,NA
"5191","경상남도","진주시","시도",3,128.0699292,"4",0,NA
"5192","경상남도","진주시","시도",3,128.1172777,"4",0,NA
"5193","경상남도","진주시","시도",3,128.117491,"4",0,NA
"5194","경상남도","진주시","시도",3,128.1001178,"4",0,NA
"5195","경상남도","진주시","시도",3,128.1074397,"4",0,NA
"5196","경상남도","진주시","시도",3,128.1061301,"4",0,NA
"5197","경상남도","진주시","시도",3,128.095882,"4",0,NA
"5198","경상남도","진주시","시도",3,128.0823364,"4",0,NA
"5199","경상남도","진주시","시도",3,128.0496022,"4",0,NA
"5200","경상남도","진주시","시도",3,128.0607388,"4",0,NA
"5201","경상남도","진주시","시도",3,128.0925349,"4",0,NA
"5202","경상남도","진주시","시도",3,128.1503947,"4",0,NA
"5203","경상남도","진주시","시도",3,128.1464965,"4",0,NA
"5204","경상남도","진주시","시도",3,128.1384239,"4",0,NA
"5205","경상남도","진주시","시도",3,128.1396092,"4",0,NA
"5206","경상남도","진주시","시도",3,128.1395961,"4",0,NA
"5207","경상남도","진주시","시도",3,128.0619001,"4",0,NA
"5208","경상남도","진주시","시도",3,128.0624058,"4",0,NA
"5209","경상남도","진주시","시도",3,128.0610772,"4",0,NA
"5223","경상남도","진주시","시도",3,128.0941527,"4",0,NA
"5888","경상남도","진주시","일반국도",1,128.067456,"02",60,NA
"6162","경상남도","진주시","시도",2,128.113422,"02",30,NA
"6310","경상남도","진주시","시도",2,128.099981,"02",60,NA
"6313","경상남도","진주시","일반국도",2,128.245893,"01",80,NA
"6322","경상남도","진주시","시도",1,128.095237,"02",50,NA
"6323","경상남도","진주시","시도",2,128.112471,"02",50,NA
"6329","경상남도","진주시","시도",1,128.092161,"02",30,NA
"6334","경상남도","진주시","시도",2,128.127354,"01",60,NA
"6345","경상남도","진주시","시도",2,128.059432,"02",60,NA
"6373","경상남도","진주시","지방도",2,128.194101,"01",40,NA
"6378","경상남도","진주시","시도",2,128.092212,"01",80,NA
"6379","경상남도","진주시","일반국도",1,128.040168,"01",80,NA
"6380","경상남도","진주시","일반국도",1,128.026154,"01",80,NA
"6385","경상남도","진주시","고속국도",2,128.034221,"01",100,NA
"6391","경상남도","진주시","시도",1,128.116137,"02",50,NA
"6397","경상남도","진주시","지방도",2,128.183328,"01",40,NA
"6522","경상남도","진주시","일반국도",2,128.091996,"02",70,NA
"7387","경상남도","진주시","시도",3,128.131191,"02",50,NA
"7388","경상남도","진주시","일반국도",2,128.139966,"01",80,NA
"7402","경상남도","진주시","시도",3,128.286783,"01",30,NA
"7412","경상남도","진주시","시도",2,128.120877,"02",50,NA
"7439","경상남도","진주시","일반국도",2,128.054748,"01",60,NA
"7440","경상남도","진주시","일반국도",1,128.055283,"01",60,NA
"7441","경상남도","진주시","시도",2,128.100411,"01",60,NA
"7452","경상남도","진주시","시도",2,128.115096,"02",50,NA
"7453","경상남도","진주시","시도",1,128.129972,"02",60,NA
"7454","경상남도","진주시","시도",2,128.129972,"01",60,NA
"7459","경상남도","진주시","지방도",3,128.171599,"01",60,NA
"7472","경상남도","진주시","고속국도",2,128.216094,"01",100,NA
"7490","경상남도","진주시","시도",2,128.059929,"02",50,NA
"7491","경상남도","진주시","시도",1,128.062603,"02",30,NA
"7523","경상남도","진주시","시도",2,128.148928,"02",50,NA
"7524","경상남도","진주시","시도",1,128.148711,"02",50,NA
"7529","경상남도","진주시","지방도",3,127.920717,"01",60,NA
"7561","경상남도","진주시","고속국도",1,128.239525,"01",100,NA
"7568","경상남도","진주시","고속국도",1,128.274411,"01",100,NA
"7569","경상남도","진주시","고속국도",1,128.274411,"01",100,NA
"7570","경상남도","진주시","고속국도",1,128.274411,"01",100,NA
"7571","경상남도","진주시","고속국도",1,128.274411,"01",100,NA
"7573","경상남도","진주시","시도",1,128.101637,"02",60,NA
"7588","경상남도","진주시","일반국도",2,128.097768,"02",70,NA
"7589","경상남도","진주시","일반국도",1,128.097692,"02",70,NA
"7597","경상남도","진주시","지방도",2,128.161835,"02",30,NA
"7606","경상남도","진주시","시도",2,128.061305,"02",50,NA
"7619","경상남도","진주시","시도",2,128.089322,"01",50,NA
"7844","경상남도","진주시","시도",1,128.134946,"02",50,NA
"7868","경상남도","진주시","시도",1,128.113874,"02",50,NA
"7889","경상남도","진주시","시도",1,128.117265,"01",50,NA
"7906","경상남도","진주시","시도",1,128.149071,"02",30,NA
"7907","경상남도","진주시","시도",2,128.148824,"02",30,NA
"8126","경상남도","진주시","일반국도",1,128.061972,"02",60,NA
"8130","경상남도","진주시","일반국도",2,128.062001,"02",60,NA
"8131","경상남도","진주시","시도",1,128.137865,"02",50,NA
"8132","경상남도","진주시","시도",2,128.137929,"02",50,NA
"8135","경상남도","진주시","일반국도",2,128.326077,"02",80,NA
"8136","경상남도","진주시","일반국도",1,128.066639,"01",80,NA
"8164","경상남도","진주시","시도",2,128.139283,"02",50,NA
"8165","경상남도","진주시","시도",1,128.138941,"02",50,NA
"8218","경상남도","진주시","시도",1,128.116781,"02",50,NA
"8219","경상남도","진주시","시도",1,128.148681,"02",40,NA
"8256","경상남도","진주시","시도",1,128.143671,"01",30,NA
"8257","경상남도","진주시","시도",1,128.161855,"01",30,NA
"8258","경상남도","진주시","시도",2,128.117851,"01",30,NA
"8259","경상남도","진주시","시도",2,128.102063,"01",30,NA
"8260","경상남도","진주시","시도",2,128.069404,"01",30,NA
"8261","경상남도","진주시","시도",1,128.092054,"01",30,NA
"8262","경상남도","진주시","시도",2,128.149319,"01",30,NA
"8263","경상남도","진주시","시도",2,128.090386,"01",30,NA
"8264","경상남도","진주시","시도",2,128.066355,"01",30,NA
"8265","경상남도","진주시","시도",1,128.065469,"01",30,NA
"8266","경상남도","진주시","시도",1,128.077387,"01",50,NA
"8267","경상남도","진주시","시도",2,128.077362,"01",50,NA
"8268","경상남도","진주시","시도",1,128.070788,"01",30,NA
"8269","경상남도","진주시","시도",2,128.070707,"01",30,NA
"8270","경상남도","진주시","시도",2,128.063006,"01",30,NA
"8271","경상남도","진주시","시도",1,128.062975,"01",30,NA
"8272","경상남도","진주시","시도",2,128.056934,"01",30,NA
"8273","경상남도","진주시","시도",1,128.057473,"01",30,NA
"8274","경상남도","진주시","시도",2,128.123463,"01",30,NA
"8275","경상남도","진주시","시도",2,128.123012,"01",30,NA
"8276","경상남도","진주시","시도",2,128.109526,"01",30,NA
"8277","경상남도","진주시","시도",1,128.109327,"01",30,NA
"8278","경상남도","진주시","시도",1,128.108595,"02",30,NA
"8279","경상남도","진주시","시도",2,128.109112,"02",30,NA
"8301","경상남도","진주시","시도",1,128.111559,"01",30,NA
"8302","경상남도","진주시","시도",2,128.084142,"01",30,NA
"8394","경상남도","진주시","시도",1,128.122143,"01",40,NA
"8395","경상남도","진주시","시도",2,128.121938,"01",40,NA
"8413","경상남도","진주시","시도",1,128.136638,"02",50,NA
"8414","경상남도","진주시","시도",2,128.136365,"02",50,NA
"8466","경상남도","진주시","시도",1,128.116949,"02",50,NA
"8469","경상남도","진주시","시도",2,128.098982,"02",50,NA
"8470","경상남도","진주시","시도",1,128.099301,"01",50,NA
"8535","경상남도","진주시","시도",2,128.088496,"02",50,NA
"8552","경상남도","진주시","지방도",2,128.040798,"01",30,NA
"8583","경상남도","진주시","지방도",2,128.327793,"01",30,NA
"8584","경상남도","진주시","지방도",2,128.269727,"01",30,NA
"8585","경상남도","진주시","시도",2,128.225525,"01",30,NA
"8586","경상남도","진주시","지방도",1,128.185211,"01",30,NA
"8587","경상남도","진주시","시도",2,128.143359,"01",30,NA
"8588","경상남도","진주시","지방도",2,128.144771,"02",30,NA
"8590","경상남도","진주시","지방도",1,128.176818,"01",30,NA
"8591","경상남도","진주시","시도",2,128.114409,"02",30,NA
"8592","경상남도","진주시","시도",2,128.086698,"02",30,NA
"8593","경상남도","진주시","시도",2,128.102579,"02",30,NA
"8594","경상남도","진주시","시도",2,128.097819,"02",30,NA
"8595","경상남도","진주시","시도",2,128.044578,"01",30,NA
"8596","경상남도","진주시","시도",2,128.049116,"02",30,NA
"8597","경상남도","진주시","지방도",1,127.931425,"01",30,NA
"8598","경상남도","진주시","시도",2,128.088817,"01",30,NA
"8735","경상남도","진주시","시도",2,128.243944,"01",50,NA
"8774","경상남도","진주시","시도",2,128.106348,"02",50,NA
