"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2710","경상남도","진해구","시도",2,128.8155719177,"4",60,NA
"2711","경상남도","진해구","시도",2,128.8051308078,"4",60,NA
"2712","경상남도","진해구","시도",2,128.7059664232,"4",60,NA
"2713","경상남도","진해구","시도",2,128.7063861471,"4",60,NA
"2764","경상남도","진해구","시도",2,128.8109376692,"4",60,NA
"2766","경상남도","진해구","시도",2,128.8099382892,"4",60,NA
"2767","경상남도","진해구","시도",2,128.7083304376,"4",60,NA
"2768","경상남도","진해구","시도",2,128.6974251631,"4",60,NA
"2769","경상남도","진해구","시도",2,128.7055716947,"4",60,NA
"2770","경상남도","진해구","시도",2,128.6682008751,"4",60,NA
"2771","경상남도","진해구","시도",2,128.810593911,"4",60,NA
"2772","경상남도","진해구","시도",2,128.8061608185,"4",60,NA
"2773","경상남도","진해구","시도",2,128.8114982087,"4",60,NA
"2774","경상남도","진해구","시도",2,128.7039825656,"4",60,NA
"2775","경상남도","진해구","시도",2,128.6981279762,"4",60,NA
"2776","경상남도","진해구","시도",2,128.702572,"4",60,NA
"2777","경상남도","진해구","시도",2,128.8213734641,"4",60,NA
"2778","경상남도","진해구","시도",2,128.6854850824,"4",60,NA
"2779","경상남도","진해구","시도",2,128.8187436346,"4",60,NA
"2780","경상남도","진해구","시도",2,128.807503805,"4",60,NA
"2781","경상남도","진해구","시도",2,128.706164,"4",60,NA
"2782","경상남도","진해구","시도",2,128.7134463122,"4",60,NA
"2783","경상남도","진해구","시도",2,128.7102635272,"4",60,NA
"2784","경상남도","진해구","시도",2,128.8134893632,"4",60,NA
"2785","경상남도","진해구","시도",2,128.7563771212,"4",60,NA
"2786","경상남도","진해구","시도",2,128.7183282848,"4",60,NA
"2787","경상남도","진해구","시도",2,128.7503494681,"4",60,NA
"2788","경상남도","진해구","시도",2,128.704157,"4",60,NA
"6311","경상남도","진해구","일반국도",1,128.697877,"02",60,NA
"6335","경상남도","진해구","일반국도",2,128.741441,"01",70,NA
"6343","경상남도","진해구","일반국도",2,128.682661,"01",60,NA
"6381","경상남도","진해구","일반국도",1,128.755027,"01",80,NA
"6527","경상남도","진해구","일반국도",2,128.706762,"02",60,NA
"7461","경상남도","진해구","일반국도",2,128.769646,"01",70,NA
"7602","경상남도","진해구","일반국도",2,128.718889,"01",70,NA
"7613","경상남도","진해구","시도",2,128.662512,"02",30,NA
"7867","경상남도","진해구","일반국도",1,128.780871,"01",80,NA
"7895","경상남도","진해구","시도",1,128.661706,"02",50,NA
"7896","경상남도","진해구","시도",2,128.691162,"02",50,NA
"7922","경상남도","진해구","시도",1,128.662435,"02",50,NA
"8140","경상남도","진해구","시도",1,128.806564,"02",30,NA
"8178","경상남도","진해구","시도",1,128.812752,"02",30,NA
"8295","경상남도","진해구","시도",2,128.817731,"02",50,NA
"8296","경상남도","진해구","시도",1,128.817431,"02",50,NA
"8482","경상남도","진해구","시도",2,128.755866,"02",50,NA
"8493","경상남도","진해구","시도",2,128.797417,"02",60,NA
