"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5892","경상남도","창녕군","지방도",2,128.489533,"02",50,NA
"6149","경상남도","창녕군","지방도",2,128.503011,"02",70,NA
"6155","경상남도","창녕군","고속국도",2,128.445232,"01",100,NA
"6350","경상남도","창녕군","일반국도",2,128.523297,"02",80,NA
"6364","경상남도","창녕군","고속국도",1,128.468059,"01",100,NA
"7389","경상남도","창녕군","일반국도",1,128.601794,"02",80,NA
"7422","경상남도","창녕군","지방도",3,128.399373,"01",50,NA
"7442","경상남도","창녕군","일반국도",2,128.591433,"01",80,NA
"7468","경상남도","창녕군","일반국도",3,128.451321,"01",60,NA
"7473","경상남도","창녕군","고속국도",2,128.476925,"01",100,9.9
"7474","경상남도","창녕군","고속국도",2,128.476925,"01",100,9.9
"7475","경상남도","창녕군","고속국도",2,128.510863,"01",100,NA
"7476","경상남도","창녕군","고속국도",2,128.510863,"01",100,NA
"7501","경상남도","창녕군","일반국도",2,128.468361,"02",70,NA
"7556","경상남도","창녕군","군도",1,128.430884,"01",60,NA
"8103","경상남도","창녕군","일반국도",1,128.496739,"02",30,NA
"8104","경상남도","창녕군","일반국도",2,128.496975,"02",30,NA
"8105","경상남도","창녕군","일반국도",3,128.505934,"01",50,NA
"8106","경상남도","창녕군","일반국도",3,128.382552,"01",50,NA
"8107","경상남도","창녕군","일반국도",3,128.411702,"01",40,NA
"8145","경상남도","창녕군","일반국도",1,128.470137,"02",70,NA
"8146","경상남도","창녕군","일반국도",1,128.535227,"02",80,NA
"8147","경상남도","창녕군","일반국도",2,128.511061,"01",80,NA
"8488","경상남도","창녕군","일반국도",2,128.505276,"02",80,NA
"8599","경상남도","창녕군","군도",1,128.463663,"01",30,NA
"8646","경상남도","창녕군","군도",2,128.501547,"02",30,NA
"8706","경상남도","창녕군","고속국도",1,128.496029,"01",100,NA
"8736","경상남도","창녕군","일반국도",1,128.481686,"02",70,NA
"8746","경상남도","창녕군","군도",1,128.568927,"01",30,NA
"8784","경상남도","창녕군","일반국도",1,128.536934,"01",60,NA
"8785","경상남도","창녕군","일반국도",2,128.536934,"01",60,NA
"8788","경상남도","창녕군","지방도",2,128.463799,"01",30,NA
"8789","경상남도","창녕군","지방도",2,128.375877,"01",30,NA
"8790","경상남도","창녕군","지방도",2,128.471797,"02",30,NA
"8791","경상남도","창녕군","지방도",1,128.471491,"02",30,NA
"8792","경상남도","창녕군","군도",1,128.501326,"02",30,NA
