"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"8244","경상남도","창원시","시도",1,128.689303,"02",60,NA
"8245","경상남도","창원시","시도",2,128.689445,"02",60,NA
"8246","경상남도","창원시","시도",1,128.707258,"02",30,NA
"8247","경상남도","창원시","시도",2,128.706936,"02",30,NA
"8248","경상남도","창원시","일반국도",1,128.709008,"02",60,NA
"8249","경상남도","창원시","일반국도",2,128.708865,"02",60,NA
"8250","경상남도","창원시","시도",2,128.698565,"01",30,NA
"8251","경상남도","창원시","시도",1,128.698565,"01",30,NA
"8252","경상남도","창원시","지방도",1,128.679291,"02",30,NA
"8253","경상남도","창원시","지방도",2,128.6567707,"01",30,NA
"8254","경상남도","창원시","지방도",1,128.6567493,"01",30,NA
"8510","경상남도","창원시","일반국도",1,128.559706,"01",80,NA
"8511","경상남도","창원시","시도",2,128.547221,"02",50,NA
"8532","경상남도","창원시","시도",2,128.603191,"02",50,NA
"8533","경상남도","창원시","시도",1,128.603261,"02",50,NA
"8534","경상남도","창원시","시도",2,128.605811,"02",50,NA
"8541","경상남도","창원시","시도",1,128.545967,"02",60,NA
"8571","경상남도","창원시","시도",1,128.558526,"02",30,NA
"8572","경상남도","창원시","시도",2,128.718621,"02",30,NA
"8575","경상남도","창원시","시도",2,128.681889,"02",30,NA
"8576","경상남도","창원시","시도",1,128.682143,"02",30,NA
"8581","경상남도","창원시","시도",1,128.570766,"02",50,NA
"8582","경상남도","창원시","시도",1,128.700835,"02",50,NA
"8600","경상남도","창원시","시도",1,128.665321,"02",60,NA
"8601","경상남도","창원시","시도",2,128.678687,"02",30,NA
"8602","경상남도","창원시","시도",1,128.679011,"02",30,NA
"8603","경상남도","창원시","시도",2,128.617567,"01",50,NA
"8604","경상남도","창원시","시도",1,128.643489,"02",30,NA
"8605","경상남도","창원시","시도",2,128.644101,"01",30,NA
"8606","경상남도","창원시","시도",1,128.650946,"01",30,NA
"8607","경상남도","창원시","시도",1,128.653035,"01",30,NA
"8608","경상남도","창원시","시도",2,128.653035,"01",30,NA
"8609","경상남도","창원시","시도",2,128.688221,"01",30,NA
"8610","경상남도","창원시","시도",2,128.675278,"02",30,NA
"8611","경상남도","창원시","시도",2,128.680052,"01",30,NA
"8612","경상남도","창원시","시도",1,128.680052,"01",30,NA
"8613","경상남도","창원시","시도",2,128.694593,"02",50,NA
"8614","경상남도","창원시","시도",1,128.694863,"02",50,NA
"8615","경상남도","창원시","시도",1,128.702571,"02",30,NA
"8616","경상남도","창원시","시도",1,128.710761,"02",40,NA
"8618","경상남도","창원시","시도",2,128.710813,"02",40,NA
"8619","경상남도","창원시","시도",1,128.687673,"02",30,NA
"8620","경상남도","창원시","시도",2,128.688181,"02",30,NA
"8621","경상남도","창원시","시도",2,128.688195,"02",30,NA
"8622","경상남도","창원시","시도",1,128.688572,"02",30,NA
"8631","경상남도","창원시","시도",1,128.686194,"02",30,NA
"8632","경상남도","창원시","시도",2,128.702262,"02",30,NA
"8633","경상남도","창원시","시도",1,128.784873,"02",30,NA
"8707","경상남도","창원시","시도",1,128.519613,"02",30,NA
"8708","경상남도","창원시","시도",2,128.519971,"02",30,NA
"8709","경상남도","창원시","시도",1,128.547221,"02",60,NA
"8714","경상남도","창원시","시도",1,128.580988,"01",50,NA
"8715","경상남도","창원시","시도",2,128.576535,"01",30,NA
"8737","경상남도","창원시","시도",1,128.556786,"02",60,NA
"8738","경상남도","창원시","지방도",2,128.701243,"02",70,NA
"8739","경상남도","창원시","시도",1,128.795802,"01",80,NA
"8760","경상남도","창원시","시도",1,128.568329,"02",60,NA
"8761","경상남도","창원시","시도",2,128.568329,"02",60,NA
"8762","경상남도","창원시","일반국도",1,128.590293,"01",80,NA
"8767","경상남도","창원시","일반국도",1,128.6196408,"01",80,4.6
"8768","경상남도","창원시","일반국도",1,128.653871,"01",80,4.6
"8769","경상남도","창원시","일반국도",1,128.653871,"01",80,NA
"8776","경상남도","창원시","일반국도",1,128.558537,"02",50,NA
"8777","경상남도","창원시","일반국도",2,128.559795,"02",50,NA
"8786","경상남도","창원시","일반국도",1,128.615371,"01",70,NA
