"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"496","충청남도","천안시","일반국도",1,127.186008,"2",60,NA
"566","충청남도","천안시","시도",1,127.130539,"2",50,NA
"567","충청남도","천안시","지방도",2,127.116819,"1",50,NA
"588","충청남도","천안시","일반국도",1,127.135,"2",60,NA
"595","충청남도","천안시","고속국도",1,127.118765,"1",110,NA
"596","충청남도","천안시","고속국도",1,127.118845,"1",110,NA
"598","충청남도","천안시","고속국도",2,127.171944,"1",100,NA
"599","충청남도","천안시","고속국도",1,127.166278,"1",100,NA
"620","충청남도","천안시","일반국도",2,127.171461,"2",80,NA
"621","충청남도","천안시","일반국도",2,127.135379,"1",60,NA
"622","충청남도","천안시","일반국도",1,127.137166,"1",70,NA
"623","충청남도","천안시","지방도",1,127.123253,"2",50,NA
"821","충청남도","천안시","시도",1,127.11875,"1",50,NA
"822","충청남도","천안시","시도",1,127.107925,"2",50,NA
"823","충청남도","천안시","시도",1,127.121025,"2",50,NA
"824","충청남도","천안시","시도",2,127.133583,"2",30,NA
"825","충청남도","천안시","지방도",2,127.126427,"2",70,NA
"828","충청남도","천안시","시도",2,127.121028,"2",50,NA
"829","충청남도","천안시","시도",1,127.180565,"1",60,NA
"830","충청남도","천안시","일반국도",2,127.16425,"2",50,NA
"831","충청남도","천안시","일반국도",1,127.103114,"1",90,NA
"861","충청남도","천안시","시도",1,127.104639,"2",50,NA
"862","충청남도","천안시","시도",1,127.10425,"2",50,NA
"863","충청남도","천안시","시도",1,127.103296,"2",50,NA
"864","충청남도","천안시","지방도",2,127.31075,"2",80,NA
"865","충청남도","천안시","시도",2,127.140472,"2",50,NA
"866","충청남도","천안시","시도",2,127.159944,"1",50,NA
"867","충청남도","천안시","시도",2,127.109556,"2",60,NA
"868","충청남도","천안시","시도",2,127.15188,"2",50,NA
"869","충청남도","천안시","시도",1,127.157861,"2",30,NA
"870","충청남도","천안시","지방도",1,127.102944,"1",50,NA
"910","충청남도","천안시","시도",1,127.118556,"1",60,NA
"911","충청남도","천안시","시도",2,127.136556,"2",60,NA
"912","충청남도","천안시","시도",2,127.133028,"2",50,NA
"913","충청남도","천안시","시도",2,127.123442,"2",50,NA
"914","충청남도","천안시","일반국도",1,127.136778,"1",80,NA
"915","충청남도","천안시","일반국도",2,127.164801,"2",50,NA
"921","충청남도","천안시","일반국도",1,127.1645,"1",50,NA
"922","충청남도","천안시","일반국도",2,127.114983,"1",70,NA
"938","충청남도","천안시","시도",2,127.127333,"2",50,NA
"939","충청남도","천안시","시도",1,127.130444,"2",50,NA
"940","충청남도","천안시","시도",2,127.313417,"2",50,NA
"941","충청남도","천안시","일반국도",1,127.128667,"2",50,NA
"991","충청남도","천안시","시도",2,127.121616,"2",50,NA
"992","충청남도","천안시","일반국도",2,127.230472,"2",70,NA
"993","충청남도","천안시","일반국도",2,127.132444,"2",80,NA
"994","충청남도","천안시","일반국도",1,127.166639,"2",70,NA
"995","충청남도","천안시","지방도",1,127.295645,"1",60,NA
"1007","충청남도","천안시","시도",2,127.171074,"1",60,NA
"1008","충청남도","천안시","지방도",2,127.183356,"2",60,NA
"1009","충청남도","천안시","시도",2,127.156986,"1",50,NA
"1010","충청남도","천안시","일반국도",2,127.158388,"1",50,NA
"1011","충청남도","천안시","시도",2,127.138684,"1",50,NA
"1012","충청남도","천안시","지방도",2,127.330324,"2",80,NA
"1026","충청남도","천안시","일반국도",2,127.129814,"2",80,NA
"1027","충청남도","천안시","일반국도",1,127.155453,"2",50,NA
"1028","충청남도","천안시","일반국도",1,127.1746,"2",50,NA
"1040","충청남도","천안시","일반국도",1,127.125426,"1",80,NA
