"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3403","강원도","철원군","지방도",3,127.471945,"1",50,NA
"6673","강원도","철원군","일반국도",3,127.319158,"2",80,NA
"11137","강원도","철원군","지방도",3,127.264499,"1",60,NA
"11144","강원도","철원군","일반국도",3,127.347295,"2",80,NA
"11145","강원도","철원군","일반국도",3,127.347295,"2",80,NA
"11147","강원도","철원군","일반국도",3,127.414034,"2",80,NA
"11148","강원도","철원군","일반국도",3,127.417955,"2",80,NA
"11797","강원도","철원군","일반국도",3,127.2433031,"2",30,NA
"11798","강원도","철원군","일반국도",3,127.2432331,"2",30,NA
"13105","강원도","철원군","일반국도",3,127.301105,"2",80,NA
"17514","강원도","철원군","일반국도",3,127.229753,"1",60,NA
"17515","강원도","철원군","지방도",3,127.4298533,"1",60,NA
