"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3243","경상북도","청도","시도",1,129.0307068,"1",60,NA
"3244","경상북도","청도","일반국도",2,128.4923265,"1",50,NA
"4247","경상북도","청도","일반국도",1,129.1231554,"2",70,NA
"5633","경상북도","청도","지방도",2,128.6964429,"2",60,NA
"5634","경상북도","청도","일반국도",1,128.3387878,"2",70,NA
"6836","경상북도","청도","기타",1,128.8661987,"2",70,NA
"10859","경상북도","청도","일반국도",2,129.2353181,"1",60,NA
"10880","경상북도","청도","일반국도",2,128.8950728,"1",60,NA
"10881","경상북도","청도","일반국도",2,127.9335791,"1",60,NA
"10941","경상북도","청도","일반국도",2,128.910613,"2",70,NA
"10942","경상북도","청도","일반국도",1,128.901058,"2",60,NA
"11222","경상북도","청도","일반국도",2,128.7321982,"1",60,NA
"11223","경상북도","청도","기타",1,128.5278897,"2",60,NA
"11422","경상북도","청도","시도",1,128.7324493,"2",30,NA
"11423","경상북도","청도","시도",1,128.1184104,"2",30,NA
"13450","경상북도","청도","기타",1,128.6850596,"1",60,NA
"13471","경상북도","청도","일반국도",1,128.7481387,"1",60,NA
"13587","경상북도","청도","기타",1,128.6973708,"2",60,NA
"17291","경상북도","청도","일반국도",2,128.8202915,"1",60,NA
