"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"18431","경상북도","청도군","일반국도",2,128.7252176,"1",80,NA
"18432","경상북도","청도군","군도",2,128.6973716,"1",60,NA
"18433","경상북도","청도군","국가지원지방도",2,128.6847583,"01+02",60,NA
"18434","경상북도","청도군","일반국도",2,128.7475896,"01+02",60,NA
"18435","경상북도","청도군","국가지원지방도",2,128.8663022,"01+02",70,NA
"18436","경상북도","청도군","일반국도",2,128.7320044,"1",60,NA
"18437","경상북도","청도군","일반국도",1,128.7322739,"1",60,NA
"18438","경상북도","청도군","일반국도",2,128.663595,"1",70,NA
"18439","경상북도","청도군","일반국도",1,128.9095019,"1",60,NA
"18440","경상북도","청도군","일반국도",2,128.5962519,"1",60,NA
