"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"10825","경상북도","청송","지방도",2,129.0451567,"1",50,NA
"10826","경상북도","청송","지방도",2,128.601705,"1",50,NA
"10891","경상북도","청송","일반국도",2,129.0662895,"1",40,NA
"10892","경상북도","청송","일반국도",2,129.358854,"1",60,NA
"10949","경상북도","청송","일반국도",2,129.4067846,"2",80,NA
"10961","경상북도","청송","기타",2,128.2825838,"1",60,NA
"11430","경상북도","청송","군도",2,129.047803,"1",30,NA
"11431","경상북도","청송","군도",2,128.0668982,"1",30,NA
"13134","경상북도","청송","일반국도",2,128.9074468,"1",60,NA
"13137","경상북도","청송","일반국도",2,129.0449128,"2",80,NA
"13138","경상북도","청송","일반국도",1,129.043886,"2",80,NA
"14269","경상북도","청송","일반국도",2,129.0317869,"1",60,NA
"17358","경상북도","청송","일반국도",2,129.0676553,"1",60,NA
"17359","경상북도","청송","일반국도",1,128.3742388,"1",60,NA
