"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"473","충청남도","청양군","일반국도",2,126.93624,"1",60,NA
"583","충청남도","청양군","일반국도",2,126.993699,"2",80,NA
"892","충청남도","청양군","지방도",1,126.850979,"1",60,NA
"989","충청남도","청양군","일반국도",2,126.957508,"1",60,NA
"990","충청남도","청양군","일반국도",2,126.715616,"1",70,NA
"1058","충청남도","청양군","일반국도",1,126.47313,"1",30,NA
"1059","충청남도","청양군","일반국도",2,126.843083,"1",60,NA
"1158","충청남도","청양군","일반국도",2,126.803191,"1",60,NA
"1250","충청남도","청양군","일반국도",2,126.8712,"2",80,NA
"1464","충청남도","청양군","일반국도",1,126.798556,"1",70,NA
"1771","충청남도","청양군","군도",1,126.945919,"1",30,NA
"1772","충청남도","청양군","군도",1,126.828731,"1",30,NA
"1773","충청남도","청양군","일반국도",1,126.702163,"2",70,NA
"1909","충청남도","청양군","일반국도",2,126.736389,"2",70,NA
"6479","충청남도","청양군","군도",1,126.8032333,"4",0,NA
"6480","충청남도","청양군","군도",2,126.801185,"4",0,NA
"6481","충청남도","청양군","군도",1,126.803328,"4",0,NA
"6482","충청남도","청양군","군도",2,126.803281,"4",0,NA
