"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3458","강원도","춘천","지방도",3,128.981997,"2",60,NA
"3459","강원도","춘천","지방도",3,127.644369,"2",60,NA
"13084","강원도","춘천","시도",3,127.743922,"2",30,NA
"13085","강원도","춘천","시도",3,127.742939,"2",30,NA
"13086","강원도","춘천","시도",3,127.753424,"2",30,NA
"13087","강원도","춘천","시도",3,127.7412094,"2",30,NA
"13088","강원도","춘천","시도",3,127.758916,"2",30,NA
"13089","강원도","춘천","시도",3,127.739094,"2",30,NA
"13090","강원도","춘천","시도",3,127.747361,"2",30,NA
"13091","강원도","춘천","시도",3,127.729699,"2",30,NA
"13092","강원도","춘천","시도",3,127.722045,"2",30,NA
"13093","강원도","춘천","시도",3,127.728528,"2",30,NA
"13094","강원도","춘천","시도",3,127.754259,"2",30,NA
"13095","강원도","춘천","일반국도",3,127.773645,"1",60,NA
