"","½Ãµµ¸í","½Ã±º±¸¸í","µµ·ÎÁ¾·ù","µµ·Î³ë¼±¹æÇâ","°æµµ","´Ü¼Ó±¸ºÐ","Á¦ÇÑ¼Óµµ","°ú¼Ó´Ü¼Ó±¸°£±æÀÌ"
"1729","°æ»óºÏµµ","Ä¥°î","Áö¹æµµ",1,127.9849699,"2",60,NA
"3245","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.489686,"2",80,NA
"3246","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,128.427878,"1",30,NA
"3249","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.1396174,"2",60,NA
"6840","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.3457049,"2",80,NA
"10932","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.9455374,"2",60,NA
"10951","°æ»óºÏµµ","Ä¥°î","½Ãµµ",2,128.9302926,"2",60,NA
"10957","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,129.0770192,"2",80,NA
"10965","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4024132,"2",50,NA
"10966","°æ»óºÏµµ","Ä¥°î","±âÅ¸",2,128.3772581,"2",80,NA
"10967","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.3780949,"2",80,NA
"10980","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.3990473,"2",80,NA
"10997","°æ»óºÏµµ","Ä¥°î","±âÅ¸",1,128.4700131,"2",70,NA
"10998","°æ»óºÏµµ","Ä¥°î","±âÅ¸",1,128.9940923,"2",50,NA
"11003","°æ»óºÏµµ","Ä¥°î","±âÅ¸",2,128.5117001,"1",70,NA
"11004","°æ»óºÏµµ","Ä¥°î","±âÅ¸",1,128.5262819,"2",50,NA
"11184","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4453356,"2",50,NA
"11185","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,128.4443503,"2",50,NA
"11186","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.2449604,"1",60,NA
"11195","°æ»óºÏµµ","Ä¥°î","±âÅ¸",1,128.4896325,"2",60,NA
"11196","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,129.1954845,"2",80,NA
"11218","°æ»óºÏµµ","Ä¥°î","±âÅ¸",2,128.6033156,"2",50,NA
"11219","°æ»óºÏµµ","Ä¥°î","±âÅ¸",2,128.6010127,"2",50,NA
"11221","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.7321982,"1",60,NA
"11427","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.0906444,"2",70,NA
"11644","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.3887863,"2",60,NA
"11645","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.1055255,"2",60,NA
"11647","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.4025359,"2",80,NA
"11648","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,129.1203453,"2",60,NA
"11652","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.3437011,"2",30,NA
"11653","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4179508,"1",30,NA
"11654","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4430676,"2",30,NA
"11686","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5130022,"2",70,NA
"11687","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,129.4719116,"2",80,NA
"11699","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,129.3869031,"1",30,NA
"13130","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5396792,"2",60,NA
"13131","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.5390282,"2",60,NA
"13132","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5376656,"2",60,NA
"13133","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.5380085,"2",60,NA
"13144","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5465312,"2",80,NA
"13145","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.5219548,"2",80,NA
"13148","°æ»óºÏµµ","Ä¥°î","±âÅ¸",2,128.4060423,"2",80,NA
"13149","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.4123258,"2",70,NA
"13168","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5560353,"2",70,NA
"13169","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.4266613,"1",70,NA
"13170","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.4273563,"1",70,NA
"13469","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5376951,"2",60,NA
"13470","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5523808,"2",70,NA
"13538","°æ»óºÏµµ","Ä¥°î","±âÅ¸",2,128.4795015,"2",60,NA
"13552","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.3171196,"1",80,NA
"13586","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.4907476,"2",80,NA
"13618","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.4065909,"2",60,NA
"13632","°æ»óºÏµµ","Ä¥°î","½Ãµµ",1,128.345603,"2",50,NA
"13649","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.5560353,"2",70,NA
"13668","°æ»óºÏµµ","Ä¥°î","½Ãµµ",2,128.3452632,"2",50,NA
"13669","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.3945075,"2",80,NA
"13715","°æ»óºÏµµ","Ä¥°î","½Ãµµ",1,128.3964117,"2",70,NA
"14081","°æ»óºÏµµ","Ä¥°î","Áö¹æµµ",2,128.431454,"2",70,NA
"14082","°æ»óºÏµµ","Ä¥°î","Áö¹æµµ",2,128.5770419,"2",70,NA
"14116","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,128.3829754,"1",30,NA
"14117","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,127.8910197,"1",30,NA
"14120","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.3788852,"1",30,NA
"14121","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.3988315,"1",30,NA
"14122","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.5865427,"1",30,NA
"14259","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.3940861,"2",60,NA
"14260","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.5462112,"2",80,NA
"17254","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4058697,"1",30,NA
"17255","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4009811,"1",30,NA
"17256","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4056614,"1",30,NA
"17257","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.3974496,"1",30,NA
"17258","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.5537392,"1",30,NA
"17259","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.4298167,"1",30,NA
"17260","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,128.409749,"1",30,NA
"17261","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.401074,"1",30,NA
"17262","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.5374546,"2",60,NA
"17263","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.5393141,"2",80,NA
"17264","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",1,128.4090588,"2",60,NA
"17265","°æ»óºÏµµ","Ä¥°î","±ºµµ",1,128.0635309,"2",30,NA
"17364","°æ»óºÏµµ","Ä¥°î","±ºµµ",2,128.7247228,"2",30,NA
"17374","°æ»óºÏµµ","Ä¥°î","ÀÏ¹Ý±¹µµ",2,128.4687065,"2",70,NA
