"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2318","강원도","태백시","일반국도",3,128.9693506,"2",60,NA
"2572","강원도","태백시","일반국도",3,128.989952,"1",60,NA
"3436","강원도","태백시","일반국도",3,128.953338,"1",60,NA
"6008","강원도","태백시","일반국도",3,129.0155454,"1",60,NA
"11121","강원도","태백시","일반국도",3,128.969328,"2",60,NA
"11150","강원도","태백시","일반국도",3,129.0057716,"2",60,NA
"11151","강원도","태백시","일반국도",3,129.0057025,"2",60,NA
"13306","강원도","태백시","일반국도",3,128.9864657,"4",0,NA
"13307","강원도","태백시","일반국도",3,128.9892374,"4",0,NA
"13308","강원도","태백시","일반국도",3,128.992276,"4",0,NA
"13309","강원도","태백시","일반국도",3,128.9935597,"4",0,NA
"13310","강원도","태백시","일반국도",3,128.9924663,"4",0,NA
"13311","강원도","태백시","일반국도",3,128.9915421,"4",0,NA
"13312","강원도","태백시","일반국도",3,128.9845886,"4",0,NA
"13313","강원도","태백시","일반국도",3,128.9935278,"4",0,NA
"13314","강원도","태백시","일반국도",3,129.0091464,"4",0,NA
"13315","강원도","태백시","일반국도",3,129.0100925,"4",0,NA
"16063","강원도","태백시","일반국도",3,128.9909847,"1",60,NA
"16064","강원도","태백시","일반국도",3,128.9942414,"2",60,NA
"17823","강원도","태백시","일반국도",3,129.0292974,"1",60,NA
"17824","강원도","태백시","일반국도",3,129.0031137,"1",60,NA
