"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"476","충청남도","태안군","지방도",2,126.237331,"1",60,NA
"584","충청남도","태안군","지방도",2,126.260841,"1",60,NA
"944","충청남도","태안군","일반국도",2,126.265996,"2",70,NA
"945","충청남도","태안군","일반국도",1,126.265696,"2",70,NA
"1013","충청남도","태안군","지방도",1,126.165951,"1",60,NA
"1035","충청남도","태안군","군도",2,126.309037,"2",40,NA
"1036","충청남도","태안군","군도",1,126.309236,"2",40,NA
"1037","충청남도","태안군","일반국도",2,126.314089,"2",80,NA
"1038","충청남도","태안군","일반국도",1,126.33467,"2",70,NA
"1039","충청남도","태안군","지방도",3,126.281664,"2",60,NA
"1041","충청남도","태안군","지방도",1,126.278134,"1",70,NA
"1106","충청남도","태안군","지방도",1,126.356123,"1",80,NA
"1108","충청남도","태안군","일반국도",1,126.277643,"1",70,NA
"1159","충청남도","태안군","지방도",1,126.246971,"1",60,NA
"1280","충청남도","태안군","일반국도",1,126.339695,"2",70,NA
"1281","충청남도","태안군","일반국도",3,126.334196,"1",60,NA
"1434","충청남도","태안군","일반국도",2,126.358119,"1",60,NA
"1435","충청남도","태안군","지방도",1,126.215324,"1",40,NA
"1450","충청남도","태안군","일반국도",2,126.191338,"2",70,NA
"1451","충청남도","태안군","일반국도",1,126.191445,"2",70,NA
"1465","충청남도","태안군","일반국도",1,126.32175,"2",70,NA
"1474","충청남도","태안군","일반국도",1,126.326256,"2",70,NA
"1475","충청남도","태안군","일반국도",2,126.326203,"2",70,NA
"1476","충청남도","태안군","일반국도",1,126.288448,"2",70,NA
"1477","충청남도","태안군","일반국도",2,126.288405,"2",70,NA
"1605","충청남도","태안군","군도",1,126.337986,"1",30,NA
"1606","충청남도","태안군","군도",2,126.338054,"1",30,NA
"1607","충청남도","태안군","군도",2,126.310853,"1",30,NA
"1608","충청남도","태안군","군도",1,126.310765,"1",30,NA
"1609","충청남도","태안군","지방도",2,126.258729,"1",30,NA
"1610","충청남도","태안군","지방도",1,126.258769,"1",30,NA
"1611","충청남도","태안군","일반국도",1,126.403379,"1",30,NA
"1612","충청남도","태안군","일반국도",2,126.403761,"1",30,NA
"1613","충청남도","태안군","군도",1,126.2958,"2",30,NA
"1614","충청남도","태안군","군도",2,126.2961,"2",30,NA
"1615","충청남도","태안군","군도",2,126.3198,"2",30,NA
"1616","충청남도","태안군","군도",1,126.319692,"2",30,NA
"1617","충청남도","태안군","군도",2,126.3088,"2",30,NA
"1618","충청남도","태안군","군도",1,126.3089,"2",30,NA
"1619","충청남도","태안군","군도",1,126.1613,"1",30,NA
"1620","충청남도","태안군","군도",1,126.1401,"2",30,NA
"1621","충청남도","태안군","군도",2,126.1404,"2",30,NA
"1622","충청남도","태안군","지방도",2,126.2293,"1",30,NA
"1623","충청남도","태안군","지방도",1,126.2291,"1",30,NA
"1645","충청남도","태안군","지방도",1,126.279247,"1",30,NA
"1647","충청남도","태안군","지방도",2,126.279185,"1",30,NA
"1648","충청남도","태안군","군도",1,126.298681,"1",30,NA
"1649","충청남도","태안군","군도",2,126.298672,"1",30,NA
"1650","충청남도","태안군","군도",1,126.346083,"1",30,NA
"1651","충청남도","태안군","군도",2,126.346001,"1",30,NA
"1652","충청남도","태안군","군도",2,126.347219,"2",30,NA
"1653","충청남도","태안군","군도",1,126.347253,"1",30,NA
"1755","충청남도","태안군","일반국도",1,126.422501,"2",60,NA
"1829","충청남도","태안군","지방도",1,126.3245,"2",70,NA
"1830","충청남도","태안군","지방도",2,126.3247,"2",70,NA
"1831","충청남도","태안군","지방도",1,126.2466,"1",60,NA
"1832","충청남도","태안군","지방도",1,126.203,"1",60,NA
"1833","충청남도","태안군","일반국도",1,126.4075,"1",40,NA
"1843","충청남도","태안군","일반국도",2,126.368596,"1",60,NA
"1876","충청남도","태안군","일반국도",2,126.3425,"2",60,NA
"1877","충청남도","태안군","일반국도",1,126.368596,"1",60,NA
"1878","충청남도","태안군","군도",1,126.303,"1",50,NA
"1910","충청남도","태안군","일반국도",1,126.201698,"2",70,NA
"2016","충청남도","태안군","일반국도",2,126.2059,"2",60,NA
"2017","충청남도","태안군","일반국도",2,126.1931,"1",60,NA
"4942","충청남도","태안군","군도",3,126.3034938,"4",30,NA
"4943","충청남도","태안군","군도",3,126.302607,"4",30,NA
"4944","충청남도","태안군","군도",3,126.3013798,"4",30,NA
"4968","충청남도","태안군","군도",3,126.2967652,"4",30,NA
"4969","충청남도","태안군","군도",3,126.2989631,"4",30,NA
"4970","충청남도","태안군","군도",3,126.2968097,"4",30,NA
"4971","충청남도","태안군","군도",3,126.2947608,"4",30,NA
"4972","충청남도","태안군","군도",3,126.2970364,"4",30,NA
"4973","충청남도","태안군","군도",3,126.302607,"4",30,NA
"4974","충청남도","태안군","군도",3,126.3024374,"4",30,NA
"4975","충청남도","태안군","군도",3,126.296019,"4",30,NA
"4976","충청남도","태안군","군도",3,126.3037752,"4",30,NA
