"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"313","경기도","파주시","기타",2,126.7709244,"4",0,NA
"314","경기도","파주시","기타",2,126.7709321,"4",0,NA
"315","경기도","파주시","기타",2,126.7336786,"4",0,NA
"316","경기도","파주시","기타",2,126.733241,"4",0,NA
"317","경기도","파주시","기타",2,126.7338774,"4",0,NA
"318","경기도","파주시","기타",2,126.7343562,"4",0,NA
"319","경기도","파주시","기타",2,126.7336491,"4",0,NA
"320","경기도","파주시","기타",2,126.736745,"4",0,NA
"321","경기도","파주시","기타",1,126.7356534,"4",0,NA
"322","경기도","파주시","기타",2,126.7358669,"4",0,NA
"323","경기도","파주시","기타",2,126.7359927,"4",0,NA
"324","경기도","파주시","기타",1,126.7363864,"4",0,NA
"325","경기도","파주시","기타",1,126.7377971,"4",0,NA
"326","경기도","파주시","기타",2,126.7115933,"4",0,NA
"327","경기도","파주시","기타",2,126.7172936,"4",0,NA
"328","경기도","파주시","기타",2,126.7172665,"4",0,NA
"329","경기도","파주시","기타",2,126.7183323,"4",0,NA
"330","경기도","파주시","기타",2,126.7198784,"4",0,NA
"331","경기도","파주시","기타",2,126.7185432,"4",0,NA
"332","경기도","파주시","기타",2,126.7180195,"4",0,NA
"333","경기도","파주시","기타",2,126.7177872,"4",0,NA
"334","경기도","파주시","기타",2,126.7175303,"4",0,NA
"335","경기도","파주시","기타",2,126.7184064,"4",0,NA
"336","경기도","파주시","기타",2,126.7186632,"4",0,NA
"337","경기도","파주시","기타",1,126.7210383,"4",0,NA
"338","경기도","파주시","기타",2,126.744472,"4",0,NA
"339","경기도","파주시","기타",2,126.7439649,"4",0,NA
"498","경기도","파주시","기타",1,126.7561136,"4",0,NA
"499","경기도","파주시","기타",2,126.7728281,"4",0,NA
"500","경기도","파주시","기타",2,126.772183,"4",0,NA
"501","경기도","파주시","기타",2,126.7708835,"4",0,NA
"502","경기도","파주시","기타",2,126.7704453,"4",0,NA
"503","경기도","파주시","기타",2,126.7712842,"4",0,NA
"504","경기도","파주시","기타",2,126.772468,"4",0,NA
"505","경기도","파주시","기타",2,126.7745531,"4",0,NA
"506","경기도","파주시","기타",2,126.7758919,"4",0,NA
"507","경기도","파주시","기타",2,126.7776122,"4",0,NA
"508","경기도","파주시","기타",1,126.7768404,"4",0,NA
"509","경기도","파주시","기타",1,126.7756501,"4",0,NA
"510","경기도","파주시","기타",1,126.7754728,"4",0,NA
"511","경기도","파주시","기타",2,126.7751811,"4",0,NA
"512","경기도","파주시","기타",2,126.7763006,"4",0,NA
"513","경기도","파주시","기타",1,126.7768236,"4",0,NA
"514","경기도","파주시","기타",1,126.7772115,"4",0,NA
"515","경기도","파주시","기타",2,126.7777536,"4",0,NA
"516","경기도","파주시","기타",1,126.7769909,"4",0,NA
"517","경기도","파주시","기타",1,126.7750017,"4",0,NA
"518","경기도","파주시","기타",1,126.7732415,"4",0,NA
"519","경기도","파주시","기타",1,126.7735084,"4",0,NA
"520","경기도","파주시","기타",1,126.7722471,"4",0,NA
"521","경기도","파주시","기타",2,126.7713629,"4",0,NA
"522","경기도","파주시","기타",1,126.769985,"4",0,NA
"523","경기도","파주시","기타",2,126.7726997,"4",0,NA
"524","경기도","파주시","기타",1,126.7446719,"4",0,NA
"525","경기도","파주시","기타",1,126.7497755,"4",0,NA
"526","경기도","파주시","기타",1,126.7520651,"4",0,NA
"527","경기도","파주시","기타",2,126.7624111,"4",0,NA
