"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2312","강원도","평창군","일반국도",3,128.3867842,"2",60,NA
"2448","강원도","평창군","지방도",3,128.606308,"1",60,NA
"2585","강원도","평창군","일반국도",3,128.5892778,"1",60,NA
"2586","강원도","평창군","일반국도",3,128.570928,"1",60,NA
"3413","강원도","평창군","일반국도",3,128.4959444,"2",60,NA
"3414","강원도","평창군","지방도",3,128.339048,"1",60,NA
"3415","강원도","평창군","일반국도",3,128.4424722,"1",60,NA
"3416","강원도","평창군","일반국도",3,128.4382222,"1",60,NA
"3417","강원도","평창군","일반국도",3,128.5676111,"2",60,NA
"3418","강원도","평창군","일반국도",3,128.5680833,"1",60,NA
"3441","강원도","평창군","지방도",3,128.6902025,"1",60,NA
"6650","강원도","평창군","고속국도",2,128.729134,"1",100,108
"6656","강원도","평창군","일반국도",3,128.4076846,"1",60,NA
"7099","강원도","평창군","고속국도",2,128.7291398,"1",100,108
"11099","강원도","평창군","일반국도",3,128.3713801,"1",60,NA
"11100","강원도","평창군","일반국도",3,128.384509,"1",60,NA
"11153","강원도","평창군","일반국도",3,128.562409,"1",60,NA
"13108","강원도","평창군","고속국도",2,128.3558277,"1",100,74
"16048","강원도","평창군","일반국도",3,128.407089,"2",70,NA
"16071","강원도","평창군","일반국도",3,128.474064,"1",60,NA
"17527","강원도","평창군","일반국도",3,128.421372,"1",60,NA
"17832","강원도","평창군","일반국도",3,128.431465,"1",60,NA
"18570","강원도","평창군","기타",3,128.395387971,"4",0,NA
"18571","강원도","평창군","기타",3,128.39541322,"4",0,NA
"18572","강원도","평창군","기타",3,128.706446032,"4",0,NA
"18573","강원도","평창군","기타",3,128.708349358,"4",0,NA
"18574","강원도","평창군","기타",3,128.708381542,"4",0,NA
