"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"28","경기도","평택시","일반국도",3,126.863285,"2",70,NA
"132","경기도","평택시","시도",3,126.8568205,"2",50,NA
"133","경기도","평택시","일반국도",3,126.854518,"2",70,NA
"134","경기도","평택시","일반국도",3,127.074489,"2",60,NA
"4658","경기도","평택시","일반국도",3,127.065318,"2",60,NA
"4659","경기도","평택시","시도",3,127.071623,"2",60,NA
"4660","경기도","평택시","시도",3,127.071231,"2",30,NA
"4661","경기도","평택시","시도",3,127.071246,"2",30,NA
"4662","경기도","평택시","시도",3,127.071608,"2",50,NA
"4667","경기도","평택시","지방도",3,127.014377,"2",50,NA
"5224","경기도","평택시","일반국도",3,126.927405454,"2",70,NA
"5617","경기도","평택시","일반국도",3,127.065603,"2",60,NA
"5666","경기도","평택시","고속국도",3,127.004905,"1",30,NA
"5667","경기도","평택시","고속국도",3,127.004912,"1",100,NA
"5668","경기도","평택시","고속국도",3,127.004905,"1",100,NA
"5669","경기도","평택시","고속국도",3,126.954363,"1",100,NA
"5670","경기도","평택시","고속국도",3,126.954317243,"1",100,NA
"5671","경기도","평택시","고속국도",3,126.954407,"1",100,NA
"5672","경기도","평택시","지방도",3,127.124038,"1",100,NA
"5673","경기도","평택시","지방도",3,127.124195,"1",30,NA
"5690","경기도","평택시","일반국도",3,127.064179225,"2",60,NA
"5796","경기도","평택시","시도",3,127.053730163,"2",60,NA
"5797","경기도","평택시","지방도",3,127.037441,"2",60,NA
"5798","경기도","평택시","지방도",3,127.037977,"2",60,NA
"6222","경기도","평택시","일반국도",3,127.13249292,"2",60,NA
"6248","경기도","평택시","일반국도",3,127.009958,"2",70,NA
"6258","경기도","평택시","지방도",3,127.062169,"2",60,NA
"6259","경기도","평택시","지방도",3,126.981502,"2",50,NA
"6260","경기도","평택시","일반국도",3,126.874120355,"2",70,NA
"6262","경기도","평택시","고속국도",3,126.948772,"1",100,NA
"6292","경기도","평택시","지방도",3,127.046508,"1",60,NA
"6293","경기도","평택시","시도",3,127.054856,"2",50,NA
"6300","경기도","평택시","일반국도",3,126.945808,"1",70,NA
"7114","경기도","평택시","일반국도",3,126.991692,"1",90,NA
"7115","경기도","평택시","일반국도",3,126.991692,"1",90,NA
"7116","경기도","평택시","일반국도",3,126.988179552,"1",90,NA
"7117","경기도","평택시","일반국도",3,126.988157077,"1",90,NA
"7658","경기도","평택시","일반국도",3,126.994292029,"1",60,NA
"7721","경기도","평택시","시도",3,126.931488,"2",50,NA
"7722","경기도","평택시","시도",3,126.928313,"2",60,NA
"8523","경기도","평택시","지방도",3,127.093301,"1",60,NA
"8874","경기도","평택시","시도",3,126.8427312,"2",30,NA
"9060","경기도","평택시","일반국도",3,126.889565011,"2",70,NA
"9168","경기도","평택시","시도",3,127.123899,"2",90,NA
"9169","경기도","평택시","시도",3,127.123642,"2",30,NA
"9203","경기도","평택시","시도",3,127.130358,"2",30,NA
"9204","경기도","평택시","시도",3,127.130857,"2",30,NA
"9205","경기도","평택시","시도",3,127.127032,"2",50,NA
"9206","경기도","평택시","일반국도",3,127.125852,"2",60,NA
"9207","경기도","평택시","지방도",3,127.073275,"2",60,NA
"9208","경기도","평택시","시도",3,127.051211,"2",30,NA
"9209","경기도","평택시","시도",3,126.925129072,"2",30,NA
"9226","경기도","평택시","시도",3,127.122816,"2",60,NA
"9227","경기도","평택시","일반국도",3,127.059958,"2",50,NA
"9228","경기도","평택시","시도",3,127.125508,"2",60,NA
"9236","경기도","평택시","시도",3,127.110549,"2",30,NA
"9237","경기도","평택시","시도",3,127.101406632,"2",60,NA
"9238","경기도","평택시","시도",3,127.088113,"2",30,NA
"9239","경기도","평택시","시도",3,126.928962,"2",50,NA
"9240","경기도","평택시","시도",3,127.1441953,"2",50,NA
"9241","경기도","평택시","일반국도",3,127.144994,"2",50,NA
"9242","경기도","평택시","지방도",3,126.930668,"2",60,NA
"9255","경기도","평택시","일반국도",3,126.931214,"1",50,NA
"9315","경기도","평택시","시도",3,127.121631,"2",50,NA
"9350","경기도","평택시","시도",3,127.040976,"1",60,NA
"9351","경기도","평택시","시도",3,127.040976,"1",60,NA
"9358","경기도","평택시","시도",3,127.120084012,"2",30,NA
"9371","경기도","평택시","시도",3,127.047002372,"2",50,NA
"9372","경기도","평택시","지방도",3,127.046982016,"2",30,NA
"9373","경기도","평택시","지방도",3,127.046904073,"2",60,NA
"9384","경기도","평택시","일반국도",3,126.973140044,"1",60,NA
"9385","경기도","평택시","일반국도",3,126.968799,"1",90,NA
"9386","경기도","평택시","일반국도",3,126.978266,"1",90,NA
"9595","경기도","평택시","시도",3,127.107473,"2",50,NA
"9596","경기도","평택시","지방도",3,126.906786011,"2",30,NA
"9597","경기도","평택시","시도",3,127.072748,"2",70,NA
"9598","경기도","평택시","시도",3,127.072824,"2",50,NA
"9601","경기도","평택시","시도",3,127.059948,"2",50,NA
"9602","경기도","평택시","시도",3,127.076161,"2",50,NA
"9603","경기도","평택시","일반국도",3,126.914778,"2",60,NA
"9610","경기도","평택시","지방도",3,127.005268,"2",60,NA
"9611","경기도","평택시","지방도",3,127.005149003,"2",60,NA
"9630","경기도","평택시","시도",3,127.070037,"2",30,NA
"9657","경기도","평택시","시도",3,127.082683,"2",30,NA
"9658","경기도","평택시","시도",3,127.08248445,"2",60,NA
"11077","경기도","평택시","일반국도",3,126.90986703,"1",70,NA
"11460","경기도","평택시","시도",3,127.112433,"2",30,NA
"11467","경기도","평택시","시도",3,127.057897,"2",30,NA
"11470","경기도","평택시","시도",3,126.928668791,"2",50,NA
"12467","경기도","평택시","시도",2,NA,"2",30,NA
"12468","경기도","평택시","시도",1,NA,"2",50,NA
"12469","경기도","평택시","시도",1,NA,"2",60,NA
"12470","경기도","평택시","시도",1,NA,"2",50,NA
"12471","경기도","평택시","시도",2,NA,"2",60,NA
"12472","경기도","평택시","시도",1,NA,"2",50,NA
"12473","경기도","평택시","시도",2,NA,"2",50,NA
"12474","경기도","평택시","시도",1,NA,"2",70,NA
"12475","경기도","평택시","시도",2,NA,"2",50,NA
"12476","경기도","평택시","시도",1,NA,"2",50,NA
"12477","경기도","평택시","시도",2,NA,"2",60,NA
"12478","경기도","평택시","시도",1,NA,"2",50,NA
"12479","경기도","평택시","시도",1,NA,"2",30,NA
"12480","경기도","평택시","시도",2,NA,"2",30,NA
"12481","경기도","평택시","시도",1,NA,"2",70,NA
"12482","경기도","평택시","시도",2,NA,"2",70,NA
"12483","경기도","평택시","시도",1,NA,"2",60,NA
"12484","경기도","평택시","시도",1,NA,"2",50,NA
"12485","경기도","평택시","시도",1,NA,"2",50,NA
"12493","경기도","평택시","지방도",2,NA,"2",60,NA
"12494","경기도","평택시","시도",2,NA,"2",30,NA
"12496","경기도","평택시","시도",1,NA,"2",30,NA
"12497","경기도","평택시","일반국도",1,NA,"2",70,NA
"12498","경기도","평택시","시도",2,NA,"2",60,NA
"12499","경기도","평택시","시도",1,NA,"2",60,NA
"12500","경기도","평택시","시도",1,NA,"2",60,NA
"12501","경기도","평택시","시도",2,NA,"2",60,NA
"12502","경기도","평택시","일반국도",1,NA,"2",70,NA
"12503","경기도","평택시","시도",1,NA,"2",60,NA
"12504","경기도","평택시","시도",2,NA,"2",60,NA
"12505","경기도","평택시","시도",1,NA,"2",60,NA
"12506","경기도","평택시","일반국도",1,NA,"2",70,NA
"12507","경기도","평택시","시도",1,NA,"2",60,NA
"12508","경기도","평택시","시도",1,NA,"2",60,NA
"12509","경기도","평택시","시도",1,NA,"2",30,NA
"12510","경기도","평택시","시도",2,127.0584922145,"2",40,NA
"12511","경기도","평택시","시도",1,127.0591542279,"2",40,NA
"12512","경기도","평택시","일반국도",1,NA,"2",70,NA
"12513","경기도","평택시","일반국도",2,NA,"2",70,NA
"12514","경기도","평택시","시도",1,NA,"2",30,NA
"12515","경기도","평택시","시도",2,NA,"2",30,NA
"12516","경기도","평택시","시도",1,NA,"2",50,NA
"12517","경기도","평택시","시도",2,NA,"2",50,NA
"12518","경기도","평택시","지방도",1,NA,"2",60,NA
"12519","경기도","평택시","시도",1,NA,"2",30,NA
"12644","경기도","평택시","시도",3,127.058763087,"2",50,NA
"12645","경기도","평택시","시도",3,127.058808065,"2",30,NA
"12700","경기도","평택시","시도",3,127.131232,"2",30,NA
"12710","경기도","평택시","시도",3,127.096167039,"1",50,NA
"12711","경기도","평택시","시도",3,127.095391962,"2",50,NA
"12712","경기도","평택시","지방도",3,127.0958287,"2",30,NA
"12713","경기도","평택시","지방도",3,127.096241,"2",30,NA
"13222","경기도","평택시","시도",3,127.093968499,"2",70,NA
"13232","경기도","평택시","일반국도",3,127.125734361,"2",50,NA
"13233","경기도","평택시","시도",3,127.123978,"2",60,NA
"13234","경기도","평택시","시도",3,127.116499,"2",50,NA
"14394","경기도","평택시","시도",3,127.055415459,"2",50,NA
"14445","경기도","평택시","시도",3,126.836823,"1",50,NA
"14462","경기도","평택시","시도",3,127.087942,"2",30,NA
"14463","경기도","평택시","시도",3,127.090497,"2",50,NA
"14464","경기도","평택시","시도",3,126.999275,"2",60,NA
"14465","경기도","평택시","시도",3,127.051247605,"2",50,NA
"14466","경기도","평택시","시도",3,127.051314994,"2",50,NA
"14467","경기도","평택시","시도",3,127.055404212,"2",50,NA
"14487","경기도","평택시","시도",3,126.853381,"2",40,NA
"14488","경기도","평택시","시도",3,126.855059,"2",50,NA
"14489","경기도","평택시","시도",3,126.854042618,"2",50,NA
"14490","경기도","평택시","시도",3,126.854107,"2",50,NA
"14605","경기도","평택시","시도",3,126.930718539,"2",30,NA
"14672","경기도","평택시","일반국도",3,127.068711,"2",50,NA
"14674","경기도","평택시","일반국도",3,127.104277,"1",80,NA
"14675","경기도","평택시","일반국도",3,127.104277,"1",70,NA
"14722","경기도","평택시","시도",3,127.089817333,"2",50,NA
"14723","경기도","평택시","시도",3,126.970020104,"2",60,NA
"14724","경기도","평택시","시도",3,126.856467,"2",50,NA
"14725","경기도","평택시","시도",3,126.916678,"2",60,NA
"14727","경기도","평택시","일반국도",3,127.113347354,"2",60,NA
"14948","경기도","평택시","일반국도",3,126.932497,"1",80,NA
"15398","경기도","평택시","시도",3,127.012706,"2",30,NA
"15517","경기도","평택시","시도",3,127.048216,"2",30,NA
"15531","경기도","평택시","시도",3,126.946525597,"2",50,NA
"15532","경기도","평택시","시도",3,126.946570565,"2",50,NA
"15556","경기도","평택시","시도",3,127.112198572,"2",30,NA
"15557","경기도","평택시","일반국도",3,126.866767,"2",70,NA
"15558","경기도","평택시","시도",3,127.14607236,"2",30,NA
"15559","경기도","평택시","지방도",3,127.099849,"2",60,NA
"15560","경기도","평택시","시도",3,127.063071,"2",30,NA
"15561","경기도","평택시","일반국도",3,126.891762,"2",70,NA
"15562","경기도","평택시","시도",3,126.882924,"2",60,NA
"15691","경기도","평택시","일반국도",3,127.069801,"2",60,NA
"15701","경기도","평택시","시도",3,127.102136,"2",50,NA
"15702","경기도","평택시","시도",3,127.107449,"2",50,NA
"15775","경기도","평택시","시도",3,127.119404,"2",50,NA
"15776","경기도","평택시","시도",3,127.100120421,"2",50,NA
"15777","경기도","평택시","시도",3,127.099126,"2",50,NA
"15778","경기도","평택시","시도",3,127.102774889,"2",30,NA
"15779","경기도","평택시","시도",3,127.105800299,"2",50,NA
"15782","경기도","평택시","시도",3,127.102296,"2",50,NA
"15826","경기도","평택시","시도",3,127.066259,"2",30,NA
"15866","경기도","평택시","시도",3,127.116757998,"2",70,NA
"16031","경기도","평택시","시도",3,127.0411244,"2",50,NA
"16032","경기도","평택시","시도",3,127.040798217,"2",50,NA
"16077","경기도","평택시","지방도",3,127.03289743,"2",50,NA
"16078","경기도","평택시","지방도",3,127.027522318,"2",50,NA
"16079","경기도","평택시","시도",3,127.108239852,"2",30,NA
"16080","경기도","평택시","시도",3,127.079160375,"2",30,NA
"16081","경기도","평택시","시도",3,127.082971,"2",30,NA
"16082","경기도","평택시","시도",3,127.060026,"2",30,NA
"16083","경기도","평택시","시도",3,126.913259775,"2",30,NA
"16084","경기도","평택시","시도",3,127.035168429,"2",30,NA
"16085","경기도","평택시","시도",3,127.106803,"2",30,NA
"16523","경기도","평택시","시도",3,127.040753275,"2",50,NA
"16524","경기도","평택시","시도",3,127.122522,"2",50,NA
"16525","경기도","평택시","시도",3,127.061247393,"1",70,NA
"16526","경기도","평택시","시도",3,127.077896,"1",70,NA
"16533","경기도","평택시","시도",3,127.0560569,"1",50,NA
"16534","경기도","평택시","시도",3,127.048166865,"1",50,NA
"16535","경기도","평택시","시도",3,127.101343,"2",30,NA
"16536","경기도","평택시","시도",3,127.100711,"2",50,NA
