"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3253","경상북도","포항남부","일반국도",2,129.4093843,"2",30,NA
"3254","경상북도","포항남부","시도",2,129.4021265,"2",30,NA
"3255","경상북도","포항남부","시도",1,129.3412149,"2",30,NA
"3256","경상북도","포항남부","시도",2,129.3924951,"2",50,NA
"6838","경상북도","포항남부","시도",1,129.3918342,"2",60,NA
"6839","경상북도","포항남부","시도",2,129.389473,"2",60,NA
"7068","경상북도","포항남부","시도",2,129.4071664,"3",60,NA
"10849","경상북도","포항남부","시도",1,128.639695,"2",50,NA
"10868","경상북도","포항남부","일반국도",2,129.3442087,"2",50,NA
"10869","경상북도","포항남부","시도",1,129.3436604,"2",50,NA
"10870","경상북도","포항남부","시도",2,129.3393269,"2",50,NA
"10871","경상북도","포항남부","일반국도",1,129.4027933,"2",60,NA
"10872","경상북도","포항남부","시도",1,129.4025242,"2",50,NA
"10873","경상북도","포항남부","시도",1,129.4712744,"2",50,NA
"10874","경상북도","포항남부","지방도",2,129.3613716,"2",70,NA
"10888","경상북도","포항남부","시도",2,128.2827862,"2",50,NA
"10911","경상북도","포항남부","일반국도",1,129.3662637,"2",60,NA
"10912","경상북도","포항남부","기타",1,129.4604468,"2",80,NA
"10917","경상북도","포항남부","시도",1,129.4944099,"1",60,NA
"10918","경상북도","포항남부","시도",2,129.5059158,"2",70,NA
"10919","경상북도","포항남부","시도",1,129.4956597,"2",40,NA
"10920","경상북도","포항남부","시도",2,129.4617239,"2",80,NA
"10940","경상북도","포항남부","일반국도",1,128.6630974,"2",60,NA
"11021","경상북도","포항남부","시도",2,128.1485732,"2",60,NA
"11157","경상북도","포항남부","시도",1,129.3802097,"2",60,NA
"11158","경상북도","포항남부","시도",2,129.3760252,"2",50,NA
"11177","경상북도","포항남부","시도",1,128.7527488,"1",60,NA
"11201","경상북도","포항남부","기타",2,129.4696325,"2",70,NA
"11202","경상북도","포항남부","기타",1,129.4885292,"2",60,NA
"11203","경상북도","포항남부","시도",1,129.337882,"2",60,NA
"11659","경상북도","포항남부","시도",2,129.3787371,"2",30,NA
"11701","경상북도","포항남부","일반국도",1,129.2239329,"2",50,NA
"12061","경상북도","포항남부","일반국도",1,129.4300081,"2",80,NA
"13173","경상북도","포항남부","시도",1,129.3356465,"1",60,NA
"13532","경상북도","포항남부","일반국도",1,129.3804773,"1",60,NA
"13543","경상북도","포항남부","시도",2,129.3741287,"1",60,NA
"13545","경상북도","포항남부","일반국도",2,129.4198742,"1",60,NA
"13564","경상북도","포항남부","시도",1,129.3423115,"1",60,NA
"13570","경상북도","포항남부","시도",2,129.4148703,"1",60,NA
"13580","경상북도","포항남부","시도",1,129.3869947,"3",60,NA
"13610","경상북도","포항남부","일반국도",1,129.4076082,"2",60,NA
"13614","경상북도","포항남부","시도",2,129.3252428,"2",70,NA
"13626","경상북도","포항남부","시도",1,129.3653627,"2",60,NA
"13627","경상북도","포항남부","일반국도",1,129.3343545,"2",60,NA
"13657","경상북도","포항남부","일반국도",1,129.5180137,"2",80,NA
"13658","경상북도","포항남부","기타",2,129.5734376,"2",80,NA
"13691","경상북도","포항남부","시도",2,129.3976299535,"2",60,NA
"13699","경상북도","포항남부","일반국도",2,129.3816952,"2",60,NA
"13700","경상북도","포항남부","일반국도",1,129.28940997,"1",60,NA
"13701","경상북도","포항남부","시도",1,129.3898666,"2",60,NA
"13702","경상북도","포항남부","일반국도",1,129.5242956,"1",40,NA
"14252","경상북도","포항남부","일반국도",2,129.3735647,"2",80,NA
"14253","경상북도","포항남부","시도",1,129.4090932,"2",60,NA
"14273","경상북도","포항남부","기타",2,129.3622105,"2",80,NA
"17253","경상북도","포항남부","시도",1,128.4058697,"2",50,NA
