"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3257","경상북도","포항북부","시도",1,129.4022011,"1",30,NA
"3258","경상북도","포항북부","시도",1,128.8128038,"2",30,NA
"5579","경상북도","포항북부","시도",2,129.3746572,"2",30,NA
"5580","경상북도","포항북부","시도",1,129.3727114,"2",30,NA
"5581","경상북도","포항북부","시도",1,128.3526086,"2",30,NA
"6841","경상북도","포항북부","시도",1,129.395153,"2",60,NA
"7063","경상북도","포항북부","일반국도",1,129.3615058,"2",50,NA
"7064","경상북도","포항북부","일반국도",2,129.3617769,"2",50,NA
"10848","경상북도","포항북부","시도",1,129.4059739,"2",50,NA
"10875","경상북도","포항북부","시도",2,129.3441074,"2",50,NA
"10876","경상북도","포항북부","시도",1,129.3427317,"2",30,NA
"10877","경상북도","포항북부","일반국도",1,129.3287134,"2",60,NA
"10878","경상북도","포항북부","일반국도",1,129.3937136,"2",60,NA
"10879","경상북도","포항북부","지방도",2,128.8949097,"2",50,NA
"10984","경상북도","포항북부","시도",1,129.3610143,"2",60,NA
"10985","경상북도","포항북부","시도",2,128.0555391,"2",50,NA
"10990","경상북도","포항북부","시도",1,128.3329637,"2",50,NA
"10993","경상북도","포항북부","시도",2,128.0824499,"2",60,NA
"11159","경상북도","포항북부","기타",1,129.1909336,"2",60,NA
"11176","경상북도","포항북부","시도",1,129.3468521,"2",60,NA
"11410","경상북도","포항북부","시도",2,129.3574632,"2",60,NA
"11414","경상북도","포항북부","일반국도",1,129.2224717,"2",50,NA
"11660","경상북도","포항북부","시도",2,129.3785041,"2",50,NA
"11661","경상북도","포항북부","시도",1,128.3524971,"2",50,NA
"11672","경상북도","포항북부","일반국도",2,129.2632739,"2",70,NA
"11700","경상북도","포항북부","일반국도",2,129.3447576,"2",30,NA
"13128","경상북도","포항북부","일반국도",1,129.3411623,"1",60,NA
"13161","경상북도","포항북부","시도",1,129.3448853,"2",50,NA
"13162","경상북도","포항북부","시도",2,129.3541261,"2",60,NA
"13459","경상북도","포항북부","일반국도",2,129.3419211,"1",60,NA
"13460","경상북도","포항북부","시도",2,129.4293176,"1",80,NA
"13461","경상북도","포항북부","시도",1,129.3538176,"1",60,NA
"13542","경상북도","포항북부","일반국도",2,129.3440308,"1",80,NA
"13573","경상북도","포항북부","시도",1,129.3588503,"2",60,NA
"13579","경상북도","포항북부","일반국도",1,129.358163,"3",50,NA
"13593","경상북도","포항북부","시도",1,129.3794248,"1",60,NA
"13594","경상북도","포항북부","일반국도",1,129.3431079,"2",60,NA
"13613","경상북도","포항북부","시도",2,129.3707312,"1",30,NA
"13634","경상북도","포항북부","시도",1,129.3796954,"2",60,NA
"13635","경상북도","포항북부","시도",2,129.3385073,"2",80,NA
"13636","경상북도","포항북부","시도",1,129.3586682,"2",80,NA
"13655","경상북도","포항북부","일반국도",1,129.0703263,"1",60,NA
"13656","경상북도","포항북부","일반국도",1,129.3403717,"3",60,NA
"13690","경상북도","포항북부","일반국도",2,129.3407516,"2",80,NA
"13696","경상북도","포항북부","시도",1,129.3465007,"2",50,NA
"13697","경상북도","포항북부","시도",2,129.3942793,"2",50,NA
"13698","경상북도","포항북부","일반국도",1,129.0950114,"1",60,NA
