"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4649","경기도","하남시","고속국도",3,127.1836361,"1",100,NA
"5788","경기도","하남시","시도",3,127.161185,"2",60,NA
"5789","경기도","하남시","시도",3,127.195427561,"2",30,NA
"5790","경기도","하남시","일반국도",3,127.221303121,"2",60,NA
"5791","경기도","하남시","일반국도",3,127.275287242,"2",70,NA
"6229","경기도","하남시","일반국도",3,127.194986289,"2",50,NA
"6232","경기도","하남시","일반국도",3,127.246540151,"1",70,NA
"6233","경기도","하남시","시도",3,127.200996074,"1",50,NA
"6237","경기도","하남시","시도",3,127.200115399,"2",30,NA
"7662","경기도","하남시","일반국도",3,127.235225,"2",50,NA
"9363","경기도","하남시","시도",3,127.147772,"2",50,NA
"9364","경기도","하남시","시도",3,127.147408,"2",50,NA
"9365","경기도","하남시","시도",3,127.147025,"2",50,NA
"11064","경기도","하남시","일반국도",3,127.184389758,"2",50,NA
"11078","경기도","하남시","시도",3,127.210945,"1",70,NA
"13243","경기도","하남시","일반국도",3,127.210961,"2",60,NA
"14612","경기도","하남시","시도",3,127.192264,"2",30,NA
"14613","경기도","하남시","시도",3,127.187281925,"2",50,NA
"14658","경기도","하남시","시도",3,127.18112218,"2",30,NA
"14659","경기도","하남시","시도",3,127.189795,"2",30,NA
"14687","경기도","하남시","시도",3,127.187541,"2",50,NA
"14688","경기도","하남시","시도",3,127.192949,"2",50,NA
"14689","경기도","하남시","시도",3,127.185134388,"2",30,NA
"14690","경기도","하남시","시도",3,127.193483,"2",30,NA
"14691","경기도","하남시","시도",3,127.183519,"2",30,NA
"14692","경기도","하남시","시도",3,127.184235315,"2",30,NA
"14693","경기도","하남시","시도",3,127.192449,"2",50,NA
"14704","경기도","하남시","일반국도",3,127.246537,"1",70,NA
"14732","경기도","하남시","시도",3,127.195444,"2",50,NA
"14733","경기도","하남시","시도",3,127.202953513,"2",50,NA
"14734","경기도","하남시","시도",3,127.187541,"2",50,NA
"15687","경기도","하남시","시도",3,127.159976,"2",60,NA
"15688","경기도","하남시","시도",3,127.175679,"2",60,NA
"15689","경기도","하남시","시도",3,127.170607,"2",60,NA
"15690","경기도","하남시","시도",3,127.165152407,"2",60,NA
"16544","경기도","하남시","시도",3,127.200204075,"1",60,NA
"16545","경기도","하남시","시도",3,127.195358,"1",70,NA
"16546","경기도","하남시","시도",3,127.182555,"2",70,NA
"16547","경기도","하남시","시도",3,127.182512,"2",30,NA
"16735","경기도","하남시","시도",1,127.184758,"2",30,NA
"16736","경기도","하남시","시도",1,127.183679,"2",30,NA
"16737","경기도","하남시","시도",1,127.193663,"2",30,NA
"16738","경기도","하남시","시도",1,127.192368,"2",60,NA
"16739","경기도","하남시","시도",1,127.181184,"2",30,NA
"16740","경기도","하남시","시도",1,127.186688,"2",60,NA
"16741","경기도","하남시","시도",1,127.192404,"2",30,NA
"16742","경기도","하남시","시도",1,127.189837,"2",50,NA
"16743","경기도","하남시","시도",1,127.246591,"1",70,NA
"16822","경기도","하남시","시도",3,127.217315,"2",30,NA
"16823","경기도","하남시","시도",3,127.151900347,"2",30,NA
