"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5885","경상남도","하동군","일반국도",1,127.694781,"01",60,NA
"6357","경상남도","하동군","일반국도",1,127.767361,"01",60,NA
"7385","경상남도","하동군","일반국도",1,127.781413,"02",70,NA
"7386","경상남도","하동군","일반국도",2,127.851768,"01",70,NA
"7401","경상남도","하동군","일반국도",3,127.711947,"02",60,NA
"7423","경상남도","하동군","일반국도",2,127.694781,"01",60,NA
"7426","경상남도","하동군","고속국도",1,127.896187,"01",100,7.8
"7427","경상남도","하동군","고속국도",1,127.896187,"01",100,7.8
"7428","경상남도","하동군","고속국도",1,127.826911,"01",100,NA
"7429","경상남도","하동군","고속국도",1,127.826911,"01",100,NA
"7503","경상남도","하동군","지방도",1,127.907193,"02",70,NA
"7558","경상남도","하동군","군도",2,127.771455,"01",60,NA
"7578","경상남도","하동군","일반국도",1,127.795083,"02",70,NA
"7592","경상남도","하동군","일반국도",2,127.776293,"01",70,NA
"7848","경상남도","하동군","지방도",3,127.896456,"02",60,NA
"7849","경상남도","하동군","일반국도",3,127.853898,"02",60,NA
"7850","경상남도","하동군","일반국도",1,127.773093,"02",60,NA
"7851","경상남도","하동군","일반국도",1,127.847578,"01",60,5.6
"7852","경상남도","하동군","일반국도",1,127.798771,"01",60,NA
"7853","경상남도","하동군","일반국도",2,127.798771,"01",60,5.6
"7854","경상남도","하동군","일반국도",2,127.847578,"01",60,NA
"7866","경상남도","하동군","일반국도",3,127.748741,"02",30,NA
"7900","경상남도","하동군","지방도",2,127.889626,"02",70,NA
"7925","경상남도","하동군","지방도",1,127.846716,"01",40,NA
"8099","경상남도","하동군","일반국도",1,127.847575,"02",70,NA
"8127","경상남도","하동군","일반국도",2,127.830491,"02",70,NA
"8128","경상남도","하동군","일반국도",2,127.811483,"02",70,NA
"8149","경상남도","하동군","일반국도",2,127.830491,"02",70,NA
"8322","경상남도","하동군","일반국도",1,127.773177,"01",60,NA
"8323","경상남도","하동군","일반국도",2,127.773077,"01",60,NA
"8388","경상남도","하동군","지방도",2,127.876709,"01",50,NA
"8423","경상남도","하동군","지방도",2,127.884978,"02",70,NA
"8424","경상남도","하동군","지방도",1,127.885343,"02",70,NA
"8425","경상남도","하동군","지방도",2,127.908196,"02",70,NA
"8426","경상남도","하동군","지방도",1,127.897536,"02",70,NA
"8427","경상남도","하동군","지방도",2,127.897247,"01",70,NA
"8462","경상남도","하동군","일반국도",2,127.795109,"02",70,NA
"8710","경상남도","하동군","군도",1,127.882531,"01",30,NA
"8711","경상남도","하동군","군도",2,127.808281,"01",30,NA
"8741","경상남도","하동군","일반국도",2,127.739638,"02",50,NA
"8754","경상남도","하동군","군도",1,127.899981,"02",30,NA
