"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6168","경상남도","함안군","일반국도",2,128.426796,"02",60,NA
"6342","경상남도","함안군","일반국도",2,128.297147,"01",60,NA
"6372","경상남도","함안군","지방도",1,128.441367,"02",60,NA
"6375","경상남도","함안군","고속국도",2,128.501158,"01",100,NA
"6382","경상남도","함안군","지방도",1,128.339503,"01",50,NA
"6534","경상남도","함안군","지방도",3,128.539182,"01",50,NA
"7424","경상남도","함안군","지방도",1,128.473803,"01",60,NA
"7430","경상남도","함안군","일반국도",1,128.296849,"02",60,NA
"7471","경상남도","함안군","일반국도",3,128.380539,"01",50,NA
"7505","경상남도","함안군","지방도",3,128.477223,"02",60,NA
"7506","경상남도","함안군","일반국도",3,128.422586,"02",60,NA
"7507","경상남도","함안군","지방도",3,128.519013,"02",60,NA
"7508","경상남도","함안군","군도",1,128.488111,"02",60,NA
"7536","경상남도","함안군","고속국도",2,128.376723,"01",100,NA
"7560","경상남도","함안군","고속국도",1,128.346371,"01",100,NA
"7562","경상남도","함안군","고속국도",1,128.427168,"01",100,NA
"7564","경상남도","함안군","고속국도",1,128.314366,"01",100,6.7
"7565","경상남도","함안군","고속국도",1,128.314366,"01",100,6.7
"7566","경상남도","함안군","고속국도",1,128.314366,"01",100,6.7
"7567","경상남도","함안군","고속국도",1,128.314366,"01",100,6.7
"7579","경상남도","함안군","일반국도",2,128.426796,"02",60,NA
"7855","경상남도","함안군","일반국도",2,128.529687,"02",70,NA
"7887","경상남도","함안군","시도",1,128.531034,"02",60,NA
"7908","경상남도","함안군","일반국도",3,128.336144,"01",50,NA
"8152","경상남도","함안군","지방도",1,128.485119,"02",60,NA
"8153","경상남도","함안군","지방도",2,128.440903,"01",60,NA
"8191","경상남도","함안군","고속국도",1,128.519483,"01",100,NA
"8192","경상남도","함안군","고속국도",1,128.519483,"01",100,NA
"8297","경상남도","함안군","일반국도",2,128.530671,"02",70,NA
"8298","경상남도","함안군","시도",1,128.524049,"02",60,NA
"8389","경상남도","함안군","군도",2,128.521947,"01",30,NA
"8390","경상남도","함안군","군도",1,128.520624,"01",30,NA
"8391","경상남도","함안군","지방도",1,128.431088,"01",30,NA
"8392","경상남도","함안군","지방도",2,128.431165,"01",30,NA
"8409","경상남도","함안군","지방도",2,128.403789,"02",30,NA
"8410","경상남도","함안군","지방도",1,128.403818,"02",30,NA
"8411","경상남도","함안군","군도",2,128.409554,"02",30,NA
"8412","경상남도","함안군","군도",1,128.409562,"02",30,NA
"8459","경상남도","함안군","지방도",1,128.429958,"02",60,NA
"8471","경상남도","함안군","지방도",1,128.418653,"02",60,NA
"8472","경상남도","함안군","군도",2,128.509028,"02",60,NA
"8489","경상남도","함안군","일반국도",1,128.533904,"02",70,NA
