"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5893","경상남도","함양군","일반국도",1,127.813245,"02",80,NA
"5894","경상남도","함양군","일반국도",1,127.782642,"02",80,NA
"6154","경상남도","함양군","일반국도",2,127.816447,"01",80,NA
"6167","경상남도","함양군","일반국도",2,127.810911,"02",80,NA
"6360","경상남도","함양군","지방도",2,127.779566,"01",70,NA
"7425","경상남도","함양군","일반국도",3,127.738447,"01",60,NA
"7480","경상남도","함양군","일반국도",3,127.698115,"01",40,NA
"7513","경상남도","함양군","일반국도",2,127.782956,"02",80,NA
"7514","경상남도","함양군","일반국도",2,127.810781,"02",80,NA
"7528","경상남도","함양군","지방도",3,127.760274,"01",60,NA
"7535","경상남도","함양군","일반국도",1,127.801533,"01",80,NA
"8090","경상남도","함양군","일반국도",2,127.715696,"01",60,NA
"8091","경상남도","함양군","일반국도",3,127.714059,"01",60,NA
"8122","경상남도","함양군","일반국도",1,127.781083,"02",80,NA
"8123","경상남도","함양군","일반국도",2,127.781066,"02",80,NA
"8156","경상남도","함양군","일반국도",3,127.797135,"01",60,NA
"8187","경상남도","함양군","지방도",2,127.675667,"01",60,NA
"8188","경상남도","함양군","지방도",1,127.696159,"01",60,NA
"8393","경상남도","함양군","일반국도",1,127.686283,"01",60,NA
"8415","경상남도","함양군","일반국도",1,127.738412,"01",60,NA
"8416","경상남도","함양군","일반국도",2,127.738412,"01",60,NA
"8742","경상남도","함양군","일반국도",2,127.766355,"01",60,NA
"8755","경상남도","함양군","일반국도",1,127.785371,"01",60,NA
"8756","경상남도","함양군","군도",1,127.731427,"01",30,NA
"8757","경상남도","함양군","지방도",2,127.765271,"01",70,NA
"8758","경상남도","함양군","일반국도",2,127.718011,"01",30,NA
"8759","경상남도","함양군","군도",1,127.726151,"02",30,NA
"11571","전라북도","함양군","고속국도",NA,127.7652328,"1",100,NA
"14142","전라북도","함양군","고속국도",NA,127.675694,"1",100,9.303
"14143","전라북도","함양군","고속국도",NA,127.754571,"1",100,9.303
"14896","전라북도","함양군","고속국도",NA,127.7575883,"1",100,NA
