"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"7937","전라남도","함평군","군도",3,126.525642,"1",80,NA
"7965","전라남도","함평군","일반국도",3,126.496975,"1",80,NA
"9527","전라남도","함평군","일반국도",3,126.500377,"1",80,NA
"9528","전라남도","함평군","일반국도",3,126.560871,"1",80,NA
"9566","전라남도","함평군","일반국도",3,126.525629,"2",80,NA
"9567","전라남도","함평군","일반국도",3,126.532956,"2",80,NA
"9568","전라남도","함평군","일반국도",3,126.628606,"1",80,NA
"9582","전라남도","함평군","고속국도",2,126.541526,"1",100,NA
"9587","전라남도","함평군","군도",3,126.491774,"1",80,NA
"9594","전라남도","함평군","고속국도",1,126.525413,"1",100,NA
"9659","전라남도","함평군","일반국도",3,126.591654,"1",60,NA
"9720","전라남도","함평군","일반국도",3,126.561114,"1",60,NA
"9746","전라남도","함평군","일반국도",3,126.534242,"1",80,NA
"9835","전라남도","함평군","일반국도",3,126.599016,"1",80,NA
"12970","전라남도","함평군","일반국도",3,126.584517,"2",80,NA
"12971","전라남도","함평군","일반국도",3,126.503053,"2",80,NA
"12972","전라남도","함평군","군도",3,126.627532,"1",80,NA
"12973","전라남도","함평군","일반국도",3,126.588483,"2",80,NA
