"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5884","경상남도","합천군","일반국도",1,128.155676,"01",80,NA
"6317","경상남도","합천군","일반국도",1,128.323344,"01",60,NA
"6355","경상남도","합천군","지방도",1,128.238174,"01",50,NA
"6518","경상남도","합천군","일반국도",1,128.120227,"01",80,NA
"6531","경상남도","합천군","일반국도",2,128.121901,"01",80,NA
"7467","경상남도","합천군","일반국도",3,128.348735,"01",60,NA
"7533","경상남도","합천군","지방도",3,128.097635,"01",60,NA
"7555","경상남도","합천군","지방도",1,128.155395,"01",70,NA
"7876","경상남도","합천군","일반국도",1,128.165465,"01",60,NA
"7877","경상남도","합천군","일반국도",2,128.165454,"01",60,NA
"8086","경상남도","합천군","일반국도",3,128.254611,"02",50,NA
"8144","경상남도","합천군","일반국도",1,128.170521,"02",70,NA
"8162","경상남도","합천군","고속국도",2,128.172994,"01",100,NA
"8163","경상남도","합천군","고속국도",2,128.172994,"01",100,NA
"8177","경상남도","합천군","일반국도",2,128.170531,"02",70,NA
"8201","경상남도","합천군","군도",2,128.122621,"01",70,NA
"8406","경상남도","합천군","지방도",2,128.238174,"01",50,NA
"8407","경상남도","합천군","일반국도",1,128.216262,"02",60,NA
"8408","경상남도","합천군","일반국도",2,128.216262,"02",60,NA
"8437","경상남도","합천군","군도",1,128.162978,"01",30,NA
"8438","경상남도","합천군","군도",2,128.162747,"01",30,NA
"8451","경상남도","합천군","일반국도",2,128.267975,"01",50,NA
"8452","경상남도","합천군","일반국도",1,128.267975,"01",50,NA
"8453","경상남도","합천군","군도",2,128.263622,"01",30,NA
"8454","경상남도","합천군","군도",1,128.263622,"01",30,NA
"8555","경상남도","합천군","지방도",2,128.173702,"01",30,NA
"8556","경상남도","합천군","지방도",1,128.173702,"01",30,NA
"8557","경상남도","합천군","지방도",1,128.113541,"01",30,NA
"8558","경상남도","합천군","지방도",2,128.113541,"01",30,NA
"8559","경상남도","합천군","군도",2,128.110956,"01",30,NA
"8560","경상남도","합천군","군도",1,128.110956,"01",30,NA
"8561","경상남도","합천군","일반국도",2,128.136079,"01",30,NA
"8562","경상남도","합천군","일반국도",1,128.136079,"01",30,NA
"8743","경상남도","합천군","일반국도",1,128.143098,"01",80,NA
"13957","경상남도","합천군","지방도",3,128.1587353,"04",0,NA
"13958","경상남도","합천군","지방도",3,128.1628592,"04",0,NA
"13959","경상남도","합천군","군도",3,128.1667371,"04",0,NA
"13960","경상남도","합천군","지방도",3,128.1611165,"04",0,NA
"13961","경상남도","합천군","군도",3,128.1229513,"04",0,NA
