"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5093","전라남도","해남군","군도",3,126.604072,"1",30,NA
"5094","전라남도","해남군","군도",3,126.597186,"1",30,NA
"5095","전라남도","해남군","군도",3,126.597186,"1",30,NA
"5096","전라남도","해남군","지방도",3,126.558547,"1",60,NA
"7946","전라남도","해남군","일반국도",3,126.339307,"2",70,NA
"7947","전라남도","해남군","일반국도",3,126.647861,"2",80,NA
"7948","전라남도","해남군","일반국도",3,126.318024,"1",70,NA
"7949","전라남도","해남군","일반국도",3,126.317205,"1",70,NA
"7961","전라남도","해남군","일반국도",3,126.576688,"1",80,NA
"9436","전라남도","해남군","지방도",3,126.608887,"1",60,NA
"9502","전라남도","해남군","지방도",3,126.333308,"1",70,NA
"9503","전라남도","해남군","일반국도",3,126.311852,"1",70,NA
"9504","전라남도","해남군","일반국도",3,126.311739,"1",70,NA
"9505","전라남도","해남군","일반국도",3,126.311835,"1",30,NA
"9676","전라남도","해남군","지방도",3,126.377213,"1",70,NA
"9677","전라남도","해남군","일반국도",3,126.627088,"1",80,NA
"9678","전라남도","해남군","일반국도",3,126.561276,"1",80,NA
"9694","전라남도","해남군","일반국도",3,126.551287,"2",80,NA
"9718","전라남도","해남군","일반국도",3,126.510888,"1",60,NA
"9780","전라남도","해남군","일반국도",3,126.332094,"2",70,NA
"9781","전라남도","해남군","일반국도",3,126.677698,"1",80,NA
"9782","전라남도","해남군","일반국도",3,126.670891,"1",80,NA
"9827","전라남도","해남군","일반국도",3,126.648615,"1",80,NA
"12974","전라남도","해남군","일반국도",3,126.367065,"2",70,NA
"12975","전라남도","해남군","일반국도",3,126.313572,"2",70,NA
"12976","전라남도","해남군","일반국도",3,126.588257,"2",60,NA
"12977","전라남도","해남군","일반국도",3,126.561806,"2",80,NA
"12978","전라남도","해남군","일반국도",3,126.437731,"2",80,NA
"12979","전라남도","해남군","일반국도",3,126.437477,"1",80,NA
"12980","전라남도","해남군","군도",3,126.604072,"1",30,NA
"15626","전라남도","해남군","기타",3,126.598652,"4",0,NA
"15627","전라남도","해남군","기타",3,126.597214,"4",0,NA
"15628","전라남도","해남군","기타",3,126.6049362,"4",0,NA
"15629","전라남도","해남군","기타",3,126.597272,"4",0,NA
"15630","전라남도","해남군","기타",3,126.600253,"4",0,NA
"15631","전라남도","해남군","기타",3,126.5986276,"4",0,NA
"15654","전라남도","해남군","기타",3,126.598685,"4",0,NA
