"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2493","부산광역시","해운대구","특별시도",3,129.159106,"2",50,NA
"2494","부산광역시","해운대구","특별시도",3,129.120654,"2",50,NA
"6238","부산광역시","해운대구","7",3,129.2016113,"4",0,NA
"8910","부산광역시","해운대구","기타",3,129.157062,"2",30,NA
"8911","부산광역시","해운대구","기타",3,129.176122,"2",30,NA
"8912","부산광역시","해운대구","특별시도",3,129.122542,"2",30,NA
"8913","부산광역시","해운대구","기타",3,129.177179,"2",30,NA
"8914","부산광역시","해운대구","기타",3,129.143346,"2",30,NA
"8915","부산광역시","해운대구","특별시도",3,129.166411,"2",50,NA
"11581","부산광역시","해운대구","7",3,129.169069,"4",0,NA
"11582","부산광역시","해운대구","7",3,129.170742,"4",0,NA
"11583","부산광역시","해운대구","7",3,129.197144,"4",0,NA
"11584","부산광역시","해운대구","7",3,129.119524,"4",0,NA
"11585","부산광역시","해운대구","7",3,129.157318,"4",0,NA
"11586","부산광역시","해운대구","7",3,129.202927,"4",0,NA
"11587","부산광역시","해운대구","7",3,129.131493,"4",0,NA
"11588","부산광역시","해운대구","7",3,129.130643,"4",0,NA
"11589","부산광역시","해운대구","7",3,129.175038,"4",0,NA
"11590","부산광역시","해운대구","7",3,129.183439,"4",0,NA
"11607","부산광역시","해운대구","7",3,129.1228541,"4",0,NA
"11608","부산광역시","해운대구","7",3,129.1640112,"4",0,NA
"11609","부산광역시","해운대구","7",3,129.1996488,"4",0,NA
"11610","부산광역시","해운대구","7",3,129.1289511,"4",0,NA
"11611","부산광역시","해운대구","7",3,129.1240211,"4",0,NA
"11612","부산광역시","해운대구","7",3,129.1557411,"4",0,NA
"11613","부산광역시","해운대구","7",3,129.1637781,"4",0,NA
"11614","부산광역시","해운대구","7",3,129.119397,"4",0,NA
"11615","부산광역시","해운대구","7",3,129.1189321,"4",0,NA
"11616","부산광역시","해운대구","7",3,129.1626271,"4",0,NA
"11617","부산광역시","해운대구","7",3,129.1626011,"4",0,NA
"11618","부산광역시","해운대구","7",3,129.1440591,"4",0,NA
"11619","부산광역시","해운대구","7",3,129.1526631,"4",0,NA
"11620","부산광역시","해운대구","7",3,129.1270521,"4",0,NA
"11621","부산광역시","해운대구","7",3,129.1189361,"4",0,NA
"11622","부산광역시","해운대구","7",3,129.165661,"4",0,NA
"11623","부산광역시","해운대구","7",3,129.167565,"4",0,NA
"11729","부산광역시","해운대구","특별시도",3,129.164959,"1",70,NA
"12133","부산광역시","해운대구","시도",3,129.1388754,"3",0,30
"12134","부산광역시","해운대구","시도",3,129.1388754,"3",0,30
"12850","부산광역시","해운대구","7",3,129.1868097,"4",0,NA
"12851","부산광역시","해운대구","7",3,129.1227427,"4",0,NA
"12852","부산광역시","해운대구","7",3,129.1773039,"4",0,NA
"12853","부산광역시","해운대구","7",3,129.1179043,"4",0,NA
"12854","부산광역시","해운대구","7",3,129.1543246,"4",0,NA
"12855","부산광역시","해운대구","7",3,129.1947345,"4",0,NA
"13196","부산광역시","해운대구","특별시도",3,129.144725,"2",50,NA
"14789","부산광역시","해운대구","특별시도",3,129.180646,"2",30,NA
"15026","부산광역시","해운대구","특별시도",3,129.165101,"2",50,NA
"15157","부산광역시","해운대구","특별시도",3,129.136315,"1",50,NA
"15162","부산광역시","해운대구","특별시도",3,129.174121,"2",50,NA
"15190","부산광역시","해운대구","특별시도",3,129.121862,"2",60,NA
"15225","부산광역시","해운대구","특별시도",3,129.163627,"1",70,NA
"15235","부산광역시","해운대구","특별시도",3,129.115832,"1",50,NA
"15236","부산광역시","해운대구","특별시도",3,129.128094,"1",50,NA
"15242","부산광역시","해운대구","특별시도",3,129.129188,"2",30,NA
"15246","부산광역시","해운대구","특별시도",3,129.145681,"2",50,NA
"15247","부산광역시","해운대구","특별시도",3,129.171949,"2",50,NA
"15391","부산광역시","해운대구","특별시도",3,129.152902,"1",50,NA
"15403","부산광역시","해운대구","특별시도",3,129.204248,"2",60,NA
"15416","부산광역시","해운대구","특별시도",3,129.116531,"1",60,NA
"15448","부산광역시","해운대구","특별시도",3,129.156118,"2",50,NA
"15467","부산광역시","해운대구","특별시도",3,129.138568,"2",50,NA
"15468","부산광역시","해운대구","특별시도",3,129.129086,"2",60,NA
"15470","부산광역시","해운대구","특별시도",3,129.170559,"2",50,NA
"15471","부산광역시","해운대구","특별시도",3,129.116972,"1",60,NA
"15500","부산광역시","해운대구","특별시도",3,129.142862,"2",50,NA
"16223","부산광역시","해운대구","7",3,129.1601303,"4",0,NA
"16224","부산광역시","해운대구","7",3,129.1592442,"4",0,NA
"16225","부산광역시","해운대구","7",3,129.1572354,"4",0,NA
"16242","부산광역시","해운대구","7",3,129.1747681,"4",0,NA
"16243","부산광역시","해운대구","7",3,129.1661033,"4",0,NA
"16244","부산광역시","해운대구","7",3,129.1225871,"4",0,NA
"16245","부산광역시","해운대구","7",3,129.1204372,"4",0,NA
"16246","부산광역시","해운대구","7",3,129.1544404,"4",0,NA
"16247","부산광역시","해운대구","7",3,129.1761161,"4",0,NA
"16248","부산광역시","해운대구","7",3,129.1552625,"4",0,NA
"16249","부산광역시","해운대구","7",3,129.1370641,"4",0,NA
"16250","부산광역시","해운대구","7",3,129.1554288,"4",0,NA
"16251","부산광역시","해운대구","7",3,129.1834369,"4",0,NA
