"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2311","강원도","홍천군","일반국도",3,128.016789,"2",80,NA
"2316","강원도","홍천군","일반국도",3,127.8697703,"2",70,NA
"3407","강원도","홍천군","고속국도",2,128.1232145,"1",100,NA
"3411","강원도","홍천군","일반국도",3,127.8310833,"2",80,NA
"3412","강원도","홍천군","일반국도",3,127.8308056,"2",80,NA
"3440","강원도","홍천군","일반국도",3,128.0369006,"1",80,NA
"4148","강원도","홍천군","고속국도",2,127.8742336,"1",100,NA
"5079","강원도","홍천군","군도",3,127.8667042,"1",50,NA
"6653","강원도","홍천군","고속국도",1,127.8465879,"1",100,NA
"11093","강원도","홍천군","일반국도",3,127.8540383,"2",70,NA
"11094","강원도","홍천군","지방도",3,127.912984,"2",50,NA
"11104","강원도","홍천군","일반국도",3,128.0000749,"1",60,NA
"11126","강원도","홍천군","일반국도",3,127.9923719,"2",80,NA
"11134","강원도","홍천군","일반국도",3,128.0000749,"1",60,NA
"11802","강원도","홍천군","일반국도",3,127.8942215,"2",80,NA
"11824","강원도","홍천군","일반국도",3,127.9550903,"2",80,NA
"11825","강원도","홍천군","일반국도",3,127.9919261,"2",80,NA
"16070","강원도","홍천군","일반국도",3,127.8189601,"2",80,NA
"17830","강원도","홍천군","일반국도",3,127.852249,"1",50,NA
"17831","강원도","홍천군","일반국도",3,127.8520169,"1",50,NA
