"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"29","경기도","화성시","일반국도",3,126.800061363,"2",70,NA
"52","경기도","화성시","지방도",3,126.8291913,"2",50,NA
"110","경기도","화성시","일반국도",3,126.935949912,"2",70,NA
"111","경기도","화성시","지방도",3,126.952938,"2",60,NA
"4670","경기도","화성시","시도",3,127.046884,"2",70,NA
"4744","경기도","화성시","지방도",3,127.052129,"2",70,NA
"4914","경기도","화성시","시도",3,127.080858,"2",80,NA
"4941","경기도","화성시","지방도",3,126.973104489,"2",60,NA
"5021","경기도","화성시","시도",3,126.987335,"2",50,NA
"5596","경기도","화성시","시도",3,127.005327434,"2",50,NA
"5597","경기도","화성시","시도",3,127.005505,"2",50,NA
"5598","경기도","화성시","시도",3,127.059507672,"2",50,NA
"5599","경기도","화성시","시도",3,127.073491662,"2",50,NA
"5600","경기도","화성시","시도",3,127.075655859,"2",50,NA
"5601","경기도","화성시","시도",3,127.116342,"2",60,NA
"5604","경기도","화성시","일반국도",3,126.8099400001,"2",30,NA
"5605","경기도","화성시","일반국도",3,126.810099,"2",70,NA
"5606","경기도","화성시","일반국도",3,126.821659,"2",70,NA
"5680","경기도","화성시","시도",3,127.021581,"1",60,NA
"5683","경기도","화성시","지방도",3,126.685627852,"1",70,NA
"5684","경기도","화성시","일반국도",3,126.816612,"1",60,NA
"5685","경기도","화성시","시도",3,127.016727008,"1",70,NA
"5686","경기도","화성시","시도",3,127.052332,"1",60,NA
"5687","경기도","화성시","시도",3,127.022446,"2",60,NA
"6281","경기도","화성시","지방도",3,127.087609,"1",60,NA
"6282","경기도","화성시","지방도",3,127.088002,"1",60,NA
"6301","경기도","화성시","일반국도",3,126.943885,"1",70,NA
"7690","경기도","화성시","일반국도",3,126.911335087,"1",70,NA
"9061","경기도","화성시","일반국도",3,126.806952355,"2",70,NA
"9064","경기도","화성시","일반국도",3,126.954500143,"2",70,NA
"9176","경기도","화성시","시도",3,126.813217109,"2",40,NA
"9177","경기도","화성시","시도",3,126.819077887,"2",50,NA
"9200","경기도","화성시","지방도",3,126.977933,"2",60,NA
"9201","경기도","화성시","지방도",3,126.963144,"2",60,NA
"9202","경기도","화성시","지방도",3,126.967151,"2",60,NA
"9224","경기도","화성시","일반국도",3,126.942451,"1",50,NA
"9225","경기도","화성시","일반국도",3,126.942451,"1",60,NA
"9272","경기도","화성시","시도",3,127.067844,"2",50,NA
