"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2300","강원도","횡성군","지방도",3,128.072719,"2",60,NA
"2449","강원도","횡성군","일반국도",3,127.865498,"1",60,NA
"2450","강원도","횡성군","일반국도",3,127.819389,"1",60,NA
"4150","강원도","횡성군","일반국도",3,128.095349,"2",60,NA
"5046","강원도","횡성군","고속국도",1,128.1162054,"1",80,NA
"6654","강원도","횡성군","고속국도",2,127.973212,"1",100,NA
"11124","강원도","횡성군","일반국도",3,128.0770836,"2",60,NA
"11135","강원도","횡성군","일반국도",3,127.9548096,"1",80,NA
"11787","강원도","횡성군","일반국도",3,127.9565811,"1",80,NA
"11789","강원도","횡성군","고속국도",2,128.0888394,"1",100,NA
"13102","강원도","횡성군","일반국도",3,127.9742465,"2",60,NA
"13107","강원도","횡성군","고속국도",2,128.286599,"1",100,74
"16049","강원도","횡성군","일반국도",3,127.977572,"2",60,NA
"17507","강원도","횡성군","일반국도",3,127.9131283,"1",80,NA
"17508","강원도","횡성군","일반국도",3,127.9982187,"1",60,NA
"17509","강원도","횡성군","일반국도",3,128.1491895,"1",60,NA
"18220","강원도","횡성군","일반국도",3,128.211879,"2",50,NA
"18221","강원도","횡성군","일반국도",3,128.211365,"2",50,NA
"18222","강원도","횡성군","일반국도",3,127.913421,"1",50,NA
"18223","강원도","횡성군","일반국도",3,127.9154082,"1",50,NA
