"","무인교통단속카메라관리번호","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도","경도","설치장소","단속구분","제한속도","단속구간위치구분","과속단속구간길이","보호구역구분","설치연도","관리기관명","관리기관전화번호","데이터기준일자","제공기관코드","제공기관명"
"18982","1","03","중구","05","대로2-23","달성로",3,"대구광역시 중구 달성로 47","대구광역시 중구 대신동 115-306",35.869383,128.58208895,"서문시장 동산육교","04",50,NA,NA,NA,2006,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18983","2","03","중구","05","중로3-12","동성로1길",3,"대구광역시 중구 동성로1길 25(동성로3가)","대구광역시 중구 동성로3가 74-1",35.8668726785,128.5949038753,"통신골목 시계탑","04",30,NA,NA,NA,2006,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18984","3","03","중구","05","대로2-2","태평로",3,"대구광역시 중구 태평로 196","대구광역시 중구 태평로1가 18-2",35.874031,128.599089,"교동네거리(태평로)","04",60,NA,NA,NA,2006,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18985","4","03","중구","05","중로3-12","동성로1길",3,"대구광역시 중구 동성로1길 77","대구광역시 중구 삼덕동1가 35-11",35.865344,128.597431,"통신골목 입구","04",30,NA,NA,NA,2007,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18986","5","03","중구","05","중로1-65","큰장로",3,"대구광역시 중구 큰장로 116","대구광역시 중구 대신동 115-43",35.8687075795,128.5785183,"큰장네거리","04",50,NA,NA,NA,2007,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18987","6","03","중구","05","소로1-120","동성로5길",3,"대구광역시 중구 동성로5길 33","대구광역시 중구 삼덕동1가 5-1",35.8678396588,128.59645993,"동성5길(구.금융결제원)","04",30,NA,NA,NA,2007,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18988","7","03","중구","05","소로2-145","동성로2길",3,"대구광역시 중구 동성로2길 83","대구광역시 중구 동성로2가 68-25",35.869724,128.596999,"2.28공원 주변","04",30,NA,NA,NA,2008,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18989","8","03","중구","05","중로3-10","동성로6길",3,"대구광역시 중구 동성로6길 2-23","대구광역시 중구 삼덕동1가 4-11",35.868058,128.595558,"동성1길(신헤어라인)","04",30,NA,NA,NA,2008,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18990","9","03","중구","05","대로3-1","공평로",3,"대구광역시 중구 공평로 35","대구광역시 중구 삼덕동1가 63-114",35.8671877657,128.599686,"삼덕소방서","04",50,NA,NA,NA,2008,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18991","10","03","중구","05","중로3-5","종로",3,"대구광역시 중구 종로 17","대구광역시 중구 남성로 92",35.8673869449,128.5920047033,"남성로 정관장 앞","04",30,NA,NA,NA,2009,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18992","11","03","중구","05","중로3-6","중앙대로81길",3,"대구광역시 중구 종로 41(종로1가)","대구광역시 중구 종로1가 105-2",35.8695359436,128.5914099871,"종로1가 다보 앞","04",30,NA,NA,NA,2009,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18993","12","03","중구","05","중로3-11","동성로6길",3,"대구광역시 중구 동성로6길 48","대구광역시 중구 공평동 57-3",35.868504,128.597984,"동성6길(공평주차장 건너편)","04",30,NA,NA,NA,2009,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18994","13","03","중구","05","중로2-6","대봉로",3,"대구광역시 중구 대봉로 216","대구광역시 중구 대봉동 139-8",35.858016,128.601898,"대봉1동 우체국 앞","04",30,NA,NA,NA,2016,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18995","14","03","중구","05","중로3-20","북성로",3,"대구광역시 중구 북성로 110(북성로1가)","대구광역시 중구 북성로1가 80-1",35.8744024123,128.594377206,"한일유료주차장 앞","04",30,NA,NA,NA,2016,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"18996","15","03","중구","05","중로3-20","북성로",3,"대구광역시 중구 북성로 85","대구광역시 중구 북성로1가 30-5",35.874315,128.591815,"덕산도료 앞","04",30,NA,NA,NA,2016,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"19009","16","03","중구","05","중로3-20","북성로",3,"대구광역시 중구 북성로 65-2","대구광역시 중구 북성로2가 5-1",35.874073,128.589593,"삼양베이링상사 앞","04",30,NA,NA,NA,2016,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"19010","17","03","중구","05","중로3-20","북성로",3,"대구광역시 중구 북성로 32-1","대구광역시 중구 서야동 71-1",35.8743324173,128.5915015001,"세신종합볼트 앞","04",30,NA,NA,2,2016,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"19011","18","03","중구","05","대로2-23","달성로",3,"대구광역시 중구 달성로 100-8","대구광역시 중구 인교동 66-4",35.873608,128.582449,"성진엔텍 앞","04",30,NA,NA,NA,2016,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"19012","19","03","중구","05","소로2-102","달성로",3,"대구광역시 중구 달성로22길 33","대구광역시 중구 수창동 61",35.874988,128.584084,"수창초 앞","04",30,NA,NA,2,2016,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
"19013","20","03","중구","05","소로2-중11","달구벌대로418길",3,"대구광역시 중구 달구벌대로418길 28","대구광역시 중구 남산동 933-4",35.864395,128.5920203,"삼정그린코아 앞","04",30,NA,NA,NA,2017,"대구광역시 중구청","053-661-3024","2019-06-01",3410000,"대구광역시 중구"
