Ingredients,DATA
Achiote Seeds,beef
Achiote Seeds,chicken
Achiote Seeds,chiles
Achiote Seeds,"citrus(e.g., sour orange)"
Achiote Seeds,fish
Achiote Seeds,"game birds(e.g., duck, quai)"
Achiote Seeds,garlic
Achiote Seeds,"Mexican cuisine, esp. Yucatan oil"
Achiote Seeds,pork
Achiote Seeds,"shellfish, e.g., lobster, shrimp"
Achiote Seeds,shrimp
AFGHAN CUISINE,almonds
AFGHAN CUISINE,barley
AFGHAN CUISINE,breads
AFGHAN CUISINE,cardamon
AFGHAN CUISINE,chile pepper
AFGHAN CUISINE,cinnamon
AFGHAN CUISINE,cloves
AFGHAN CUISINE,coriander
AFGHAN CUISINE,cucumber
AFGHAN CUISINE,cumin
AFGHAN CUISINE,dill
AFGHAN CUISINE,fennel
AFGHAN CUISINE,"fruits, esp. dried"
AFGHAN CUISINE,ginger
AFGHAN CUISINE,grapes
AFGHAN CUISINE,dkebabs
AFGHAN CUISINE,lamb
AFGHAN CUISINE,mint
AFGHAN CUISINE,mushrooms
AFGHAN CUISINE,"nuts, e.g., almonds"
AFGHAN CUISINE,pasta
AFGHAN CUISINE,"rice, basmati"
AFGHAN CUISINE,sesame
AFGHAN CUISINE,tomatoes and tomato sauce
AFGHAN CUISINE,turmeric
AFGHAN CUISINE,yogurt
African Cuisine(see also Ethiopian and Moroccan Cuisines),bananas
African Cuisine(see also Ethiopian and Moroccan Cuisines),bell peppers
African Cuisine(see also Ethiopian and Moroccan Cuisines),braised dishes
African Cuisine(see also Ethiopian and Moroccan Cuisines),chicken
African Cuisine(see also Ethiopian and Moroccan Cuisines),"chile peppers, esp. West African"
African Cuisine(see also Ethiopian and Moroccan Cuisines),coconuts
African Cuisine(see also Ethiopian and Moroccan Cuisines),corn
African Cuisine(see also Ethiopian and Moroccan Cuisines),"fish, esp. coastal"
African Cuisine(see also Ethiopian and Moroccan Cuisines),corn
African Cuisine(see also Ethiopian and Moroccan Cuisines),"fish, esp. coastal"
African Cuisine(see also Ethiopian and Moroccan Cuisines),"fruits, esp. tropical"
African Cuisine(see also Ethiopian and Moroccan Cuisines),garlic
African Cuisine(see also Ethiopian and Moroccan Cuisines),goat
African Cuisine(see also Ethiopian and Moroccan Cuisines),"greens, esp. steamed or stewed"
African Cuisine(see also Ethiopian and Moroccan Cuisines),mangoes
African Cuisine(see also Ethiopian and Moroccan Cuisines),melons
African Cuisine(see also Ethiopian and Moroccan Cuisines),okra
African Cuisine(see also Ethiopian and Moroccan Cuisines),onions
African Cuisine(see also Ethiopian and Moroccan Cuisines),papayas
African Cuisine(see also Ethiopian and Moroccan Cuisines),peanuts
African Cuisine(see also Ethiopian and Moroccan Cuisines),"peas, esp. black-eyed"
African Cuisine(see also Ethiopian and Moroccan Cuisines),plantains
African Cuisine(see also Ethiopian and Moroccan Cuisines),soups
African Cuisine(see also Ethiopian and Moroccan Cuisines),"stews, esp. meat or vegetable"
African Cuisine(see also Ethiopian and Moroccan Cuisines),sweet potatoes
African Cuisine(see also Ethiopian and Moroccan Cuisines),tomatoes
African Cuisine(see also Ethiopian and Moroccan Cuisines),watermelon
African Cuisine(see also Ethiopian and Moroccan Cuisines),"yams, esp. West African"
African Cuisine(North)(see also Moroccan Cuisine),bell peppers
African Cuisine(North)(see also Moroccan Cuisine),braised dishes
African Cuisine(North)(see also Moroccan Cuisine),chicken
African Cuisine(North)(see also Moroccan Cuisine),chickpeas
African Cuisine(North)(see also Moroccan Cuisine),couscous
African Cuisine(North)(see also Moroccan Cuisine),cucumbers
African Cuisine(South),beans
African Cuisine(South),carrots
African Cuisine(South),"chile peppers, esp. West African"
African Cuisine(South),cinnamon
African Cuisine(South),cloves
African Cuisine(South),fenugreek
African Cuisine(South),garlic
African Cuisine(South),ginger
African Cuisine(South),lamb
African Cuisine(South),onions
African Cuisine(South),"peas, esp. black-eyed"
African Cuisine(South),pumpkin
African Cuisine(South),"stews, esp. meat or vegetable"
African Cuisine(South),tomatoes
African Cuisine(South),turmeric
African Cuisine(West),bananas
African Cuisine(West),bell peppers
African Cuisine(West),braised dishes
African Cuisine(West),chicken
African Cuisine(West),chile peppers
African Cuisine(West),corn
African Cuisine(West),goat
African Cuisine(West),mangoes
African Cuisine(West),okra
African Cuisine(West),papayas
African Cuisine(West),peanuts
African Cuisine(West),plantains
African Cuisine(West),rice
African Cuisine(West),soups
African Cuisine(West),stewed dishes
African Cuisine(West),sweet potatoes
African Cuisine(West),tomatoes
African Cuisine(West),wheat
African Cuisine(West),yams
Allspice,apples
Allspice,baked goods
Allspice,beans
Allspice,"BEEF, esp. braised, corned, grille, ground, raw, roasted, or stewed"
Allspice,beets
Allspice,"breads, esp. breakfast"
Allspice,cabbage
Allspice,cakes
Allspice,Caribbean cuisine
Allspice,carrots
Allspice,"chiken(e.g., jamaican style)"
Allspice,chickpeas
Allspice,chile peppers
Allspice,cinnamon
Allspice,cloves
Allspice,cookies
Allspice,coriander
Allspice,"currants, esp.black"
Allspice,curries and curry poder
Allspice,Eastern Mediterranean cuisine
Allspice,eggplant
Allspice,English cuisine
Allspice,"fish, esp.grilled"
Allspice,"fruits, fruit compotes, and jams"
Allspice,"game and game birds(e.g., quail)"
Allspice,garlic
Allspice,ginger
Allspice,goat
Allspice,grains
Allspice,ham
Allspice,"herring, picked"
Allspice,indian cuisine
Allspice,"JAMAICAN CUISINE(e.g., jerk dishes)"
Allspice,ketchup
Allspice,lamb
Allspice,mace
Allspice,"MEATS,red. esp. braised, grilled, or roasted"
Allspice,Mexican cuisine
Allspice,Middle Eastrn cuisine
Allspice,mushrooms
Allspice,mustard
Allspice,North American cuisine
Allspice,nutmeg
Allspice,nuts
Allspice,onions
Allspice,"pepper, black"
Allspice,pies
Allspice,pineapple
Allspice,pork
Allspice,PUMPKIN
Allspice,rabbit
Allspice,rice
Allspice,rosemary
Allspice,salsas and sauces
Allspice,sauerkraut
Allspice,sausages
Allspice,soups
Allspice,spiced cakes
Allspice,spinach
Allspice,"squash, winter"
Allspice,stews
Allspice,"stockes and broths, chicken"
Allspice,sweet potatoes
Allspice,thyme
Allspice,tomatoes
Allspice,turnips
Allspice,"vegetables, esp.root"
Allspice,West Indies cuisine
Almonds,quiet
Almonds,amaretto
Almonds,"anise,esp.green"
Almonds,apples
Almonds,apricots
Almonds,beans
Almonds,blackberries
Almonds,blrandy
Almonds,"BUTTER, UNSALTED"
Almonds,butterschotch
Almonds,caramel
Almonds,cardamon
Almonds,cayenne
Almonds,"cheese: goat, manchego, ricotta"
Almonds,"cherries, esp. sour"
Almonds,chicken
Almonds,"CHOCOLATE: DARK, MILK"
Almonds,"chocolate, white"
Almonds,cinnamon
Almonds,coconut
Almonds,coffee
Almonds,cornmeal
Almonds,corn syrup
Almonds,crab
Almonds,cranberries
Almonds,CREAM
Almonds,cream cheese
Almonds,creme fraiche
Almonds,"crust: pastry, pie"
Almonds,currants
Almonds,figs
Almonds,fish
Almonds,French pastries
Almonds,"fruits, most"
Almonds,garlic
Almonds,grapes
Almonds,Greek cuisine
Almonds,"greens, salad"
Almonds,hazelnuts
Almonds,HONEY
Almonds,ice cream
Almonds,Indian cuisine
Almonds,Italian sauces
Almonds,lamb
Almonds,lavender
Almonds,"lemon: juice, zest"
Almonds,"liqueurs, fruit (including orange)"
Almonds,mascarpone
Almonds,Mediterranean cuisine
Almonds,Mexican beverages and mole
Almonds,sauces
Almonds,"milk, sweetened condensed"
Almonds,molasses
Almonds,Moroccan cuisine
Almonds,nectarines
Almonds,oats
Almonds,olive oil
Almonds,olives
Almonds,"orange: juice, zest"
Almonds,paprika
Almonds,passion fruit
Almonds,peaches
Almonds,pears
Almonds,pecans
Almonds,"pepper, ground"
Almonds,pine nuts
Almonds,plums
Almonds,praline
Almonds,prunes
Almonds,quince
Almonds,"raisins, esp. white"
Almonds,raspberries
Almonds,rhubarb
Almonds,rice
Almonds,rosemary
Almonds,rum
Almonds,"salt: kosher, sea"
Almonds,shellfish
Almonds,sherry
Almonds,"Spanish cuisine, esp. sauces"
Almonds,strawberries
Almonds,"sugar, brown, white"
Almonds,tea
Almonds,Turkish cuisine
