Ingredients,TAG,DATA,속성,DATA 속성,DATA 세부속성
Achiote Seeds,Matching,beef,seed,,beef
Achiote Seeds,Matching,chicken,seed,,
Achiote Seeds,Matching,chiles,seed,,
Achiote Seeds,Matching,"citrus(e.g., sour orange)",seed,Citrus,ORANGE
Achiote Seeds,Matching,fish,seed,,
Achiote Seeds,Matching,"game birds(e.g., duck, quai)",seed,,
Achiote Seeds,Matching,garlic,seed,,
Achiote Seeds,Matching,"Mexican cuisine, esp. Yucatan oil",seed,oil,oil
Achiote Seeds,Matching,pork,seed,,
Achiote Seeds,Matching,"shellfish, e.g., lobster, shrimp",seed,,
Achiote Seeds,Matching,shrimp,seed,,
Achiote Seeds,Flavor Affinities,achiote + pork + sour orange,seed,Citrus,ORANGE
Acidity(see Sourness),NON,,,,
AFGHAN CUISINE,Matching,almonds,CUISINE,,
AFGHAN CUISINE,Matching,barley,CUISINE,,
AFGHAN CUISINE,Matching,breads,CUISINE,,
AFGHAN CUISINE,Matching,cardamon,CUISINE,,
AFGHAN CUISINE,Matching,chile pepper,CUISINE,,
AFGHAN CUISINE,Matching,cinnamon,CUISINE,,
AFGHAN CUISINE,Matching,cloves,CUISINE,,
AFGHAN CUISINE,Matching,coriander,CUISINE,,
AFGHAN CUISINE,Matching,cucumber,CUISINE,,
AFGHAN CUISINE,Matching,cumin,CUISINE,,
AFGHAN CUISINE,Matching,dill,CUISINE,,
AFGHAN CUISINE,Matching,fennel,CUISINE,,
AFGHAN CUISINE,Matching,"fruits, esp. dried",CUISINE,,
AFGHAN CUISINE,Matching,ginger,CUISINE,,
AFGHAN CUISINE,Matching,grapes,CUISINE,,
AFGHAN CUISINE,Matching,dkebabs,CUISINE,,
AFGHAN CUISINE,Matching,lamb,CUISINE,,
AFGHAN CUISINE,Matching,mint,CUISINE,,
AFGHAN CUISINE,Matching,mushrooms,CUISINE,,
AFGHAN CUISINE,Matching,"nuts, e.g., almonds",CUISINE,,
AFGHAN CUISINE,Matching,pasta,CUISINE,,
AFGHAN CUISINE,Matching,"rice, basmati",CUISINE,,
AFGHAN CUISINE,Matching,sesame,CUISINE,,
AFGHAN CUISINE,Matching,tomatoes and tomato sauce,CUISINE,,
AFGHAN CUISINE,Matching,turmeric,CUISINE,,
AFGHAN CUISINE,Matching,yogurt,CUISINE,,
AFGHAN CUISINE,Flavor Affinities,almonds + cardamon + sugar +cucumber +mint + yogurt,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,bananas,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,bell peppers,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,braised dishes,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,chicken,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"chile peppers, esp. West African",CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,coconuts,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,corn,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"fish, esp. coastal",CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,corn,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"fish, esp. coastal",CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"fruits, esp. tropical",CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,garlic,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,goat,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"greens, esp. steamed or stewed",CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,mangoes,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,melons,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,okra,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,onions,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,papayas,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,peanuts,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"peas, esp. black-eyed",CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,plantains,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,soups,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"stews, esp. meat or vegetable",CUISINE,meat,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,sweet potatoes,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,tomatoes,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,watermelon,CUISINE,,
African Cuisine(see also Ethiopian and Moroccan Cuisines),Matching,"yams, esp. West African",CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Matching,bell peppers,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Matching,braised dishes,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Matching,chicken,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Matching,chickpeas,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Matching,couscous,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Matching,cucumbers,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,cumin,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,eggplant,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,fish,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,garlic,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,lamb,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,mint,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,parsley,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,rice,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,swtewed dishes,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,tomatoes,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,wheat,CUISINE,,
African Cuisine(North)(see also Moroccan Cuisine),Flavor Affinities,"cumin + garlic + mint +, esp. northeast Africa",CUISINE,,
African Cuisine(South),Matching,beans,CUISINE,,
African Cuisine(South),Matching,carrots,CUISINE,,
African Cuisine(South),Matching,"chile peppers, esp. West African",CUISINE,,
African Cuisine(South),Matching,cinnamon,CUISINE,,
African Cuisine(South),Matching,cloves,CUISINE,,
African Cuisine(South),Matching,fenugreek,CUISINE,,
African Cuisine(South),Matching,garlic,CUISINE,,
African Cuisine(South),Matching,ginger,CUISINE,,
African Cuisine(South),Matching,lamb,CUISINE,,
African Cuisine(South),Matching,onions,CUISINE,,
African Cuisine(South),Matching,"peas, esp. black-eyed",CUISINE,,
African Cuisine(South),Matching,pumpkin,CUISINE,,
African Cuisine(South),Matching,"stews, esp. meat or vegetable",CUISINE,meat,
African Cuisine(South),Matching,tomatoes,CUISINE,,
African Cuisine(South),Matching,turmeric,CUISINE,,
African Cuisine(South),Flavor Affinities,lamb + chile peppers + garlic + onions,CUISINE,,
African Cuisine(West),Matching,bananas,CUISINE,,
African Cuisine(West),Matching,bell peppers,CUISINE,,
African Cuisine(West),Matching,braised dishes,CUISINE,,
African Cuisine(West),Matching,chicken,CUISINE,,
African Cuisine(West),Matching,chile peppers,CUISINE,,
African Cuisine(West),Matching,corn,CUISINE,,
African Cuisine(West),Matching,goat,CUISINE,,
African Cuisine(West),Matching,mangoes,CUISINE,,
African Cuisine(West),Matching,okra,CUISINE,,
African Cuisine(West),Matching,papayas,CUISINE,,
African Cuisine(West),Matching,peanuts,CUISINE,,
African Cuisine(West),Matching,plantains,CUISINE,,
African Cuisine(West),Matching,rice,CUISINE,,
African Cuisine(West),Matching,soups,CUISINE,,
African Cuisine(West),Matching,stewed dishes,CUISINE,,
African Cuisine(West),Matching,sweet potatoes,CUISINE,,
African Cuisine(West),Matching,tomatoes,CUISINE,,
African Cuisine(West),Matching,wheat,CUISINE,,
African Cuisine(West),Matching,yams,CUISINE,,
African Cuisine(West),Flavor Affinities,chile peppers + peanuts + tomatoes,CUISINE,,
Allspice,season,autrmn-winter,SPICE,,
Allspice,Taste,sweet potatoes,SPICE,,
Allspice,Weight,medium,SPICE,,
Allspice,Colume,loud,SPICE,,
Allspice,Tips,add early in cooking,SPICE,,
Allspice,Matching,apples,SPICE,,
Allspice,Matching,baked goods,SPICE,,
Allspice,Matching,beans,SPICE,,
Allspice,Matching,"BEEF, esp. braised, corned, grille, ground, raw, roasted, or stewed",SPICE,,beef
Allspice,Matching,beets,SPICE,,
Allspice,Matching,"breads, esp. breakfast",SPICE,,
Allspice,Matching,cabbage,SPICE,,
Allspice,Matching,cakes,SPICE,,
Allspice,Matching,Caribbean cuisine,SPICE,,
Allspice,Matching,carrots,SPICE,,
Allspice,Matching,"chiken(e.g., jamaican style)",SPICE,,
Allspice,Matching,chickpeas,SPICE,,
Allspice,Matching,chile peppers,SPICE,,
Allspice,Matching,cinnamon,SPICE,,
Allspice,Matching,cloves,SPICE,,
Allspice,Matching,cookies,SPICE,,
Allspice,Matching,coriander,SPICE,,
Allspice,Matching,"currants, esp.black",SPICE,,
Allspice,Matching,curries and curry poder,SPICE,,
Allspice,Matching,Eastern Mediterranean cuisine,SPICE,,
Allspice,Matching,eggplant,SPICE,,
Allspice,Matching,English cuisine,SPICE,,
Allspice,Matching,"fish, esp.grilled",SPICE,,
Allspice,Matching,"fruits, fruit compotes, and jams",SPICE,,
Allspice,Matching,"game and game birds(e.g., quail)",SPICE,,
Allspice,Matching,garlic,SPICE,,
Allspice,Matching,ginger,SPICE,,
Allspice,Matching,goat,SPICE,,
