"x"
"1" "남친이랑 만난지 220일 됬고 부모님 얼굴도 몇번봤는데요 다음주에 설이라서 남자친구 부모님께 설선물 해드리고싶은데 뭐가좋을까요? 추천좀 해주세요 (해드리는게 좋겠조?)"
"2" "남자친구 가족에게 수제소세지세트를 설선물로 드리고싶은데어디께좋은지 모르겠어서 질문드려요가격은 상관없고 질좋고 맜있는 수제소세지 추천해주세요^^저희가족이 여행갈때마다 이마트에서 수제소세지사는데 카레맛 매운고추맛 바베큐맛 오리지널 이런식으로 맛이여러종류였는데 어떤건지잘모르겠어요 혹시 아시면 이것도알려주세요!"
"3" "2017년 설선물 부담없이 할 수 있는것좀 알려주세요선물하기에 제일 중요한게 받는사람 주는사람 부담이없어야 되는데매번 설선물 고를때마다 뭘 해야할지..고민되네요..거래처 사장님들께 보낼가격대는 4-5만원 미만대로 10개정도 살려고 하는데 .뭐가 좋을까요 ??2017년 설선물 추천 부탁드려요"
"4" "예비처가친척들에게 설선물??17년3월18일 결혼예정인 남자입니다.?이번 설날에 처가쪽에가는데 친적들도 다 모인다고합니다.?친척들 선물까지 다 준비해야 맞는건가요?"
"5" "제가 남자친구를 만난지 50일 조금 넘었는데요설이 곧 다가와서 아직 만나 뵙지는 않았으나 선물을 해드려야 할것같아서요 사실 아직 만난지 얼마 되지도 안았고 나이도 20대 초 여서 선물 해드랴야하나 고민을 하고 있었는데 남자친구는 준비를 하고있는것 같아서요.일단은 제가 과일청이나 차세트 고민하고 있는데 뭐가 괜찮은지 말해주세요 ㅠㅠ 그리고 더 괜찮은거 있으시면 말씀해 주세요."
"6" "고기집에서 아르바이트 하고 있는 설날에 쉰나요 그리고 설선물 받을수있니요"
"7" "교직원끼리 돈을 모아서 윗 분들에게 선물을 드린다고 합니다.교직원들이 걷는 돈은 2만원이고 다 모이면 38만원입니다제일 윗분이 20만원 상당의 선물을 받게되고 그 밑은 10만원, 5만원 입니다.이경우 받는 사람은 5만원 초과의 선물이지만 낸 사람들의 돈이 5만원 초과가 아니라 김영란법레 해당되지 않는건가요?"
"8" "큰아이가 5살 어린이집 졸업반이에요 둘째아이는 같은 어린이집 3월에입학하구요 설이라 담임선생님이랑 원장선생님께 선물을 하고싶은데요 김영란법때문에 원장선생님 선물 같이챙겨도 될까해서요 원장선생님 너무 좋으신분이고 작게나마 감사표시를 하고싶은데 어찌해야되나싶네요~"
"9" "이제 설이라서 남자친구부모님댁에 한우선물을 하려고하는데 백화점은..포장만 거창하고별로더라구요..실제로구매했던곳!!!추천부탁드립니당..♡홍보..말구요"
"10" "이번에 마트에서 단기알바로설선물 판촉알바를 하게되었어요 그런데 어제 문자로 상품설명같은거 보내주고 끝이네요대형마트는 단기알바라도 무조건 교육을 받아야하죠?혹시 문자보내주고 그걸로 때우는 경우도 있나요?모레출근인데 몇시까지 와야하며 퇴근시간 직원휴식시간 이런것도 모르고 어디로 가야하는지직원출입구는 어딘지 하나도 몰라요내일 알려주려나...?ㅠ 아니면 첫 출근때 교육받으려나마트알바는 처음인데 너무 불안하네요ㅠㅜ전화해서 물어볼까 하는데 귀찮다고 생각하실까요..?"
"11" "큰아이가 5살(만3세) 어린이집 졸업반이에요 둘째아이는 같은 어린이집 3월에입학하구요 설이라 담임선생님이랑 원장선생님께 선물을 하고싶은데요 김영란법때문에 원장선생님 선물 같이챙겨도 될까해서요 원장선생님 너무 좋으신분이고 작게나마 감사표시를 하고싶은데 어찌해야되나싶네요~"
"12" "다른게 아니라 이번 설날에 시골에 내려가는데 빈손으로 갈수는 없잖아요~현금으로 드리고 싶지만 이번에 저희 재정 상황이 좋지않아서 현금말고간단한 설선물 세트로 준비해서 드리려고 하는데요.시어머니께 드릴 설선물 세트로 어떤게 좋을지 도통 모르겠네요 ㅠ1.옷2.건강식품3.탈모에 좋은 식품이나 탈모제품들?시어머니가 탈모가 있으셔서 요즘 너무 힘들어하셔서 탈모제품 한번생각해봤는데..설선물 모가 제일 괜찮나요?"
"13" "ㅜㅜ....제곧내요..설선물 뭐 준비하는게 좋을까요???직업으로 인해서 연닿은 분들에게 설선물 돌리려고 하는데 설선물로 이렇다 할만한게 떠오르는 게 없는 상황이에요설선물 이런거 하면 좋을 거 같다 ..하시는 거 있으면 추천 좀 부탁드려요 ..?"
"14" "설선물 부모님이번에해드릴만한거 추천좀요부모님에게 해드릴만한 설선물 추천좀해주세요연세가 있으시다보니, 좋은거 해드리고싶은데어떤걸로,,어떻게 해드려야할지 잘 모르겠어서요식품종류보다는..새로운 설선물세트로 추천해주셨으면해요설선물 빠른답변 부탁드려요~ 내공드려요!"
"15" "?????결혼약속한사람이 있는데 이번에 첨으로 인사를갑니다결혼할 남자친구 부모님 설선물 뭐가 좋을까요 ?밖에서 한번뵌적은 있지만 집으로 가는건 첨이라 뭘 사가야할지 모르겠어요곧 설이기도하고 그래서 남자친구 부모님 설선물 고르는게 여간 힘드네요연세많아서 그냥 한과나 화과자 사다드릴려구 했는데 남자친구 말이 부모님 단걸 싫어하신다구 ㅜ그래서 지금 멘붕온상태 입니다무조건 그걸로 할려고했는데 ㅜㅜㅜ혹시 설선물 처음뵙는 남자친구 부모님에게 어떤게좋을지너무부담되지않는선에게 가성비 좋은걸로 해드리고싶습니다 머가좋을까요 ?"
"16" "설선물 가장 흔하게 하는것 말고 색다른걸로 준비하고 싶은데요..어떤게 좋을까요? 설선물 하면 늘상 과일만 했는데.. 그런거 말고..정말.. 명절에 필요한 그런거면 좋겠습니다. 실용적인.. 설선물가성비라고 하죠?! 가겨대비 품질좋고 맛만 좋다면.. ㅇㅋ입니다~"
"17" "안녕하세요! 설선물 괜찮은거 어디 없을까요?벌써 2주뒤면 설인데.. 빨리 설선물을 주문해야할것 같아서 알아보는데 설선물..종류가 너무 많네요..;;설선물 하면 보통 고기, 햄 이런게 대중적이다 보니..좀 흔하지 않은 설선물로 구매하려고 합니다!설선물 하셨던것들 중에 상대방도 정말 좋아하면서 흔하지 않은 설선물 있으면 알려주세요!!?직접 설선물 구매해보시고 괜찮았던 분만 답변 부탁드릴게요!"
"18" "설선물 마른울릉도오징어 포장 ??? 설선물 마른울릉도오징어가 좋을듯 한데요 마른울릉도오징어 그래도 선물 포장인데 어떻게 포장을 해서 보내주시는지 굼금합니다. 포장 하는 과정 얘기쫌 해주세요 ^^"
