영화명,영화명_영문,제작연도,제작국가,유형,장르,제작상태,감독,제작사
빌리 엘리어트,Billy Elliot,2000,미국,장편,"가족,드라마",개봉,스티븐 달드리,
플란다스의 개,Barking Dogs Never Bite,2000,한국,장편,"드라마,코미디",개봉,봉준호,(주)우노필름
시월애,Il Mare,2000,한국,장편,"멜로/로맨스,판타지",개봉,이현승,㈜싸이더스픽쳐스
뉴욕의 가을,Autumn In New York,2000,미국,장편,"드라마,멜로/로맨스",개봉,조안 첸,"레이크쇼어 엔터테인먼트,콜럼비아트라이스타㈜,유나이티드 아티스트"
어둠속의 댄서,Dancer In The Dark,2000,덴마크,장편,드라마,개봉,라스 폰 트리에,
가이아 걸즈,Gaea Girls,2000,"영국,일본",장편,다큐멘터리,기타,"킴 론지노토,제이노 윌리엄스",
흔적없는 비행,Leaving No Trace,2000,"멕시코,스페인",장편,드라마,기타,마리아 노바로,
그랜드마,Grandma,2000,한국,단편,"애니메이션,판타지",기타,조성연,
이삭줍는 사람들과 나,The Gleaners & I,2000,프랑스,장편,다큐멘터리,기타,아녜스 바르다,
상실의 시대,Lost And Delirious,2000,캐나다,장편,"멜로/로맨스,드라마",기타,레아 풀,
상식,Common Sense,2000,한국,단편,,기타,이민경,
내가 속한 나라,The State I Am In,2000,독일,장편,드라마,기타,크리스티안 펫졸드,
