"","날짜","월","요일","지점","강수량.mm.","tmp","tmp1","gubun"
"13","2016-01-13",1,"수",108,0.4,"주중","Q1","O_비옴"
"16","2016-01-16",1,"토",108,0.1,"주말","Q1","O_비옴"
"18","2016-01-18",1,"월",108,0.2,"주중","Q1","O_비옴"
"26","2016-01-26",1,"화",108,0.3,"주중","Q1","O_비옴"
"42","2016-02-11",2,"목",108,0.1,"주중","Q1","O_비옴"
"43","2016-02-12",2,"금",108,18,"주중","Q1","O_비옴"
"44","2016-02-13",2,"토",108,21,"주말","Q1","O_비옴"
"45","2016-02-14",2,"일",108,2.5,"주말","Q1","O_비옴"
"47","2016-02-16",2,"화",108,0.8,"주중","Q1","O_비옴"
"54","2016-02-23",2,"화",108,0.9,"주중","Q1","O_비옴"
"58","2016-02-27",2,"토",108,0.2,"주말","Q1","O_비옴"
"59","2016-02-28",2,"일",108,4.1,"주말","Q1","O_비옴"
"64","2016-03-04",3,"금",108,0.1,"주중","Q2","O_비옴"
"65","2016-03-05",3,"토",108,40,"주말","Q2","O_비옴"
"66","2016-03-06",3,"일",108,0.2,"주말","Q2","O_비옴"
"73","2016-03-13",3,"일",108,0.1,"주말","Q2","O_비옴"
"89","2016-03-29",3,"화",108,0.1,"주중","Q2","O_비옴"
"94","2016-04-03",4,"일",108,2,"주말","Q2","O_비옴"
"97","2016-04-06",4,"수",108,3,"주중","Q2","O_비옴"
"98","2016-04-07",4,"목",108,7.5,"주중","Q2","O_비옴"
"104","2016-04-13",4,"수",108,1,"주중","Q2","O_비옴"
"107","2016-04-16",4,"토",108,23.5,"주말","Q2","O_비옴"
"108","2016-04-17",4,"일",108,20.5,"주말","Q2","O_비옴"
"109","2016-04-18",4,"월",108,1.5,"주중","Q2","O_비옴"
"111","2016-04-20",4,"수",108,0.5,"주중","Q2","O_비옴"
"112","2016-04-21",4,"목",108,17,"주중","Q2","O_비옴"
"120","2016-04-29",4,"금",108,0.3,"주중","Q2","O_비옴"
"123","2016-05-02",5,"월",108,16.5,"주중","Q2","O_비옴"
"124","2016-05-03",5,"화",108,27,"주중","Q2","O_비옴"
"126","2016-05-05",5,"목",108,7.5,"주중","Q2","O_비옴"
"127","2016-05-06",5,"금",108,9.5,"주중","Q2","O_비옴"
"131","2016-05-10",5,"화",108,13.5,"주중","Q2","O_비옴"
"134","2016-05-13",5,"금",108,0.5,"주중","Q2","O_비옴"
"136","2016-05-15",5,"일",108,45,"주말","Q2","O_비옴"
"137","2016-05-16",5,"월",108,2.5,"주중","Q2","O_비옴"
"145","2016-05-24",5,"화",108,38.5,"주중","Q2","O_비옴"
"159","2016-06-07",6,"화",108,0.1,"주중","Q2","O_비옴"
"163","2016-06-11",6,"토",108,3,"주말","Q2","O_비옴"
"164","2016-06-12",6,"일",108,1.5,"주말","Q2","O_비옴"
"167","2016-06-15",6,"수",108,15.5,"주중","Q2","O_비옴"
"174","2016-06-22",6,"수",108,30.5,"주중","Q2","O_비옴"
"175","2016-06-23",6,"목",108,0.1,"주중","Q2","O_비옴"
"176","2016-06-24",6,"금",108,3.5,"주중","Q2","O_비옴"
"182","2016-06-30",6,"목",108,0.2,"주중","Q2","O_비옴"
"276","2016-10-02",10,"일",108,18.5,"주말","Q4","O_비옴"
"277","2016-10-03",10,"월",108,6.5,"주중","Q4","O_비옴"
"281","2016-10-07",10,"금",108,2,"주중","Q4","O_비옴"
"282","2016-10-08",10,"토",108,6,"주말","Q4","O_비옴"
"290","2016-10-16",10,"일",108,1.5,"주말","Q4","O_비옴"
"297","2016-10-23",10,"일",108,2.5,"주말","Q4","O_비옴"
"299","2016-10-25",10,"화",108,37,"주중","Q4","O_비옴"
"302","2016-10-28",10,"금",108,0.3,"주중","Q4","O_비옴"
"305","2016-10-31",10,"월",108,0.5,"주중","Q4","O_비옴"
"307","2016-11-02",11,"수",108,0.1,"주중","Q4","O_비옴"
"308","2016-11-03",11,"목",108,0.2,"주중","Q4","O_비옴"
"312","2016-11-07",11,"월",108,5.5,"주중","Q4","O_비옴"
"313","2016-11-08",11,"화",108,0.5,"주중","Q4","O_비옴"
"315","2016-11-10",11,"목",108,0.4,"주중","Q4","O_비옴"
"316","2016-11-11",11,"금",108,4,"주중","Q4","O_비옴"
"318","2016-11-13",11,"일",108,0.5,"주말","Q4","O_비옴"
"319","2016-11-14",11,"월",108,1.5,"주중","Q4","O_비옴"
"327","2016-11-22",11,"화",108,0.2,"주중","Q4","O_비옴"
"331","2016-11-26",11,"토",108,2.8,"주말","Q4","O_비옴"
"335","2016-11-30",11,"수",108,1,"주중","Q4","O_비옴"
"340","2016-12-05",12,"월",108,1.5,"주중","Q4","O_비옴"
"343","2016-12-08",12,"목",108,3,"주중","Q4","O_비옴"
"344","2016-12-09",12,"금",108,3,"주중","Q4","O_비옴"
"349","2016-12-14",12,"수",108,0.1,"주중","Q4","O_비옴"
"354","2016-12-19",12,"월",108,0.1,"주중","Q4","O_비옴"
"356","2016-12-21",12,"수",108,29,"주중","Q4","O_비옴"
"357","2016-12-22",12,"목",108,23.5,"주중","Q4","O_비옴"
"358","2016-12-23",12,"금",108,0.1,"주중","Q4","O_비옴"
"362","2016-12-27",12,"화",108,0.5,"주중","Q4","O_비옴"
"364","2016-12-29",12,"목",108,0.3,"주중","Q4","O_비옴"
"371","2016-01-05",1,"화",159,0.2,"주중","Q1","O_비옴"
"383","2016-01-17",1,"일",159,14.2,"주말","Q1","O_비옴"
"394","2016-01-28",1,"목",159,24.3,"주중","Q1","O_비옴"
"395","2016-01-29",1,"금",159,20.8,"주중","Q1","O_비옴"
"409","2016-02-12",2,"금",159,32.7,"주중","Q1","O_비옴"
"410","2016-02-13",2,"토",159,28.9,"주말","Q1","O_비옴"
"417","2016-02-20",2,"토",159,1.4,"주말","Q1","O_비옴"
"425","2016-02-28",2,"일",159,0.7,"주말","Q1","O_비옴"
"430","2016-03-04",3,"금",159,35.7,"주중","Q2","O_비옴"
"431","2016-03-05",3,"토",159,1.6,"주말","Q2","O_비옴"
"432","2016-03-06",3,"일",159,32.7,"주말","Q2","O_비옴"
"434","2016-03-08",3,"화",159,6.6,"주중","Q2","O_비옴"
"435","2016-03-09",3,"수",159,13.6,"주중","Q2","O_비옴"
"444","2016-03-18",3,"금",159,38.7,"주중","Q2","O_비옴"
"452","2016-03-26",3,"토",159,4.6,"주말","Q2","O_비옴"
"460","2016-04-03",4,"일",159,0.9,"주말","Q2","O_비옴"
"461","2016-04-04",4,"월",159,3.8,"주중","Q2","O_비옴"
"463","2016-04-06",4,"수",159,18.2,"주중","Q2","O_비옴"
"464","2016-04-07",4,"목",159,47.4,"주중","Q2","O_비옴"
"470","2016-04-13",4,"수",159,14.8,"주중","Q2","O_비옴"
"473","2016-04-16",4,"토",159,36.6,"주말","Q2","O_비옴"
"474","2016-04-17",4,"일",159,8,"주말","Q2","O_비옴"
"478","2016-04-21",4,"목",159,31.8,"주중","Q2","O_비옴"
"483","2016-04-26",4,"화",159,1.6,"주중","Q2","O_비옴"
"484","2016-04-27",4,"수",159,32.1,"주중","Q2","O_비옴"
"485","2016-04-28",4,"목",159,3.3,"주중","Q2","O_비옴"
"490","2016-05-03",5,"화",159,40.7,"주중","Q2","O_비옴"
"493","2016-05-06",5,"금",159,4.7,"주중","Q2","O_비옴"
"497","2016-05-10",5,"화",159,22.3,"주중","Q2","O_비옴"
"503","2016-05-16",5,"월",159,14.5,"주중","Q2","O_비옴"
"511","2016-05-24",5,"화",159,24.7,"주중","Q2","O_비옴"
"516","2016-05-29",5,"일",159,1.9,"주말","Q2","O_비옴"
"522","2016-06-04",6,"토",159,6.6,"주말","Q2","O_비옴"
"524","2016-06-06",6,"월",159,3.1,"주중","Q2","O_비옴"
"530","2016-06-12",6,"일",159,8.6,"주말","Q2","O_비옴"
"534","2016-06-16",6,"목",159,1.5,"주중","Q2","O_비옴"
"536","2016-06-18",6,"토",159,2.8,"주말","Q2","O_비옴"
"537","2016-06-19",6,"일",159,9.1,"주말","Q2","O_비옴"
"538","2016-06-20",6,"월",159,10.2,"주중","Q2","O_비옴"
"539","2016-06-21",6,"화",159,3.1,"주중","Q2","O_비옴"
"540","2016-06-22",6,"수",159,13.4,"주중","Q2","O_비옴"
"542","2016-06-24",6,"금",159,53.7,"주중","Q2","O_비옴"
"545","2016-06-27",6,"월",159,0.2,"주중","Q2","O_비옴"
"547","2016-06-29",6,"수",159,2.9,"주중","Q2","O_비옴"
"641","2016-10-01",10,"토",159,1.4,"주말","Q4","O_비옴"
"644","2016-10-04",10,"화",159,0.1,"주중","Q4","O_비옴"
