"","날짜","월","요일","지점","강수량.mm.","tmp","tmp1"
"4","2016-01-04",1,"월",108,0,"주중","Q1"
"11","2016-01-11",1,"월",108,0,"주중","Q1"
"18","2016-01-18",1,"월",108,0.2,"주중","Q1"
"25","2016-01-25",1,"월",108,0,"주중","Q1"
"32","2016-02-01",2,"월",108,0,"주중","Q1"
"39","2016-02-08",2,"월",108,0,"주중","Q1"
"46","2016-02-15",2,"월",108,0,"주중","Q1"
"53","2016-02-22",2,"월",108,0,"주중","Q1"
"60","2016-02-29",2,"월",108,0,"주중","Q1"
"67","2016-03-07",3,"월",108,0,"주중","Q2"
"74","2016-03-14",3,"월",108,0,"주중","Q2"
"81","2016-03-21",3,"월",108,0,"주중","Q2"
"88","2016-03-28",3,"월",108,0,"주중","Q2"
"95","2016-04-04",4,"월",108,0,"주중","Q2"
"102","2016-04-11",4,"월",108,0,"주중","Q2"
"109","2016-04-18",4,"월",108,1.5,"주중","Q2"
"116","2016-04-25",4,"월",108,0,"주중","Q2"
"123","2016-05-02",5,"월",108,16.5,"주중","Q2"
"130","2016-05-09",5,"월",108,0,"주중","Q2"
"137","2016-05-16",5,"월",108,2.5,"주중","Q2"
"144","2016-05-23",5,"월",108,0,"주중","Q2"
"151","2016-05-30",5,"월",108,0,"주중","Q2"
"158","2016-06-06",6,"월",108,0,"주중","Q2"
"165","2016-06-13",6,"월",108,0,"주중","Q2"
"172","2016-06-20",6,"월",108,0,"주중","Q2"
"179","2016-06-27",6,"월",108,0,"주중","Q2"
"186","2016-07-04",7,"월",108,29.5,"주중","Q3"
"193","2016-07-11",7,"월",108,0,"주중","Q3"
"200","2016-07-18",7,"월",108,0.2,"주중","Q3"
"207","2016-07-25",7,"월",108,0,"주중","Q3"
"214","2016-08-01",8,"월",108,0,"주중","Q3"
"221","2016-08-08",8,"월",108,0,"주중","Q3"
"228","2016-08-15",8,"월",108,0,"주중","Q3"
"235","2016-08-22",8,"월",108,0.4,"주중","Q3"
"242","2016-08-29",8,"월",108,0,"주중","Q3"
"249","2016-09-05",9,"월",108,0,"주중","Q3"
"256","2016-09-12",9,"월",108,2.5,"주중","Q3"
"263","2016-09-19",9,"월",108,0,"주중","Q3"
"270","2016-09-26",9,"월",108,0,"주중","Q3"
"277","2016-10-03",10,"월",108,6.5,"주중","Q4"
"284","2016-10-10",10,"월",108,0,"주중","Q4"
"291","2016-10-17",10,"월",108,0,"주중","Q4"
"298","2016-10-24",10,"월",108,0,"주중","Q4"
"305","2016-10-31",10,"월",108,0.5,"주중","Q4"
"312","2016-11-07",11,"월",108,5.5,"주중","Q4"
"319","2016-11-14",11,"월",108,1.5,"주중","Q4"
"326","2016-11-21",11,"월",108,0,"주중","Q4"
"333","2016-11-28",11,"월",108,0,"주중","Q4"
"340","2016-12-05",12,"월",108,1.5,"주중","Q4"
"347","2016-12-12",12,"월",108,0,"주중","Q4"
"354","2016-12-19",12,"월",108,0.1,"주중","Q4"
"361","2016-12-26",12,"월",108,0,"주중","Q4"
"370","2016-01-04",1,"월",159,0,"주중","Q1"
"377","2016-01-11",1,"월",159,0,"주중","Q1"
"384","2016-01-18",1,"월",159,0,"주중","Q1"
"391","2016-01-25",1,"월",159,0,"주중","Q1"
"398","2016-02-01",2,"월",159,0,"주중","Q1"
"405","2016-02-08",2,"월",159,0,"주중","Q1"
"412","2016-02-15",2,"월",159,0,"주중","Q1"
"419","2016-02-22",2,"월",159,0,"주중","Q1"
"426","2016-02-29",2,"월",159,0,"주중","Q1"
"433","2016-03-07",3,"월",159,0,"주중","Q2"
"440","2016-03-14",3,"월",159,0,"주중","Q2"
"447","2016-03-21",3,"월",159,0,"주중","Q2"
"454","2016-03-28",3,"월",159,0,"주중","Q2"
"461","2016-04-04",4,"월",159,3.8,"주중","Q2"
"468","2016-04-11",4,"월",159,0,"주중","Q2"
"475","2016-04-18",4,"월",159,0,"주중","Q2"
"482","2016-04-25",4,"월",159,0,"주중","Q2"
"489","2016-05-02",5,"월",159,0,"주중","Q2"
"496","2016-05-09",5,"월",159,0,"주중","Q2"
"503","2016-05-16",5,"월",159,14.5,"주중","Q2"
"510","2016-05-23",5,"월",159,0,"주중","Q2"
"517","2016-05-30",5,"월",159,0,"주중","Q2"
"524","2016-06-06",6,"월",159,3.1,"주중","Q2"
"531","2016-06-13",6,"월",159,0,"주중","Q2"
"538","2016-06-20",6,"월",159,10.2,"주중","Q2"
"545","2016-06-27",6,"월",159,0.2,"주중","Q2"
"552","2016-07-04",7,"월",159,63,"주중","Q3"
"559","2016-07-11",7,"월",159,14.7,"주중","Q3"
"566","2016-07-18",7,"월",159,0,"주중","Q3"
"573","2016-07-25",7,"월",159,0.8,"주중","Q3"
"580","2016-08-01",8,"월",159,5,"주중","Q3"
"587","2016-08-08",8,"월",159,0,"주중","Q3"
"594","2016-08-15",8,"월",159,53.8,"주중","Q3"
"601","2016-08-22",8,"월",159,0,"주중","Q3"
"608","2016-08-29",8,"월",159,0.2,"주중","Q3"
"615","2016-09-05",9,"월",159,0,"주중","Q3"
"622","2016-09-12",9,"월",159,24.7,"주중","Q3"
"629","2016-09-19",9,"월",159,0,"주중","Q3"
"636","2016-09-26",9,"월",159,0,"주중","Q3"
"643","2016-10-03",10,"월",159,0,"주중","Q4"
"650","2016-10-10",10,"월",159,0,"주중","Q4"
"657","2016-10-17",10,"월",159,0.1,"주중","Q4"
"664","2016-10-24",10,"월",159,0,"주중","Q4"
"671","2016-10-31",10,"월",159,0,"주중","Q4"
"678","2016-11-07",11,"월",159,0.1,"주중","Q4"
"685","2016-11-14",11,"월",159,7.6,"주중","Q4"
"692","2016-11-21",11,"월",159,0,"주중","Q4"
"699","2016-11-28",11,"월",159,0,"주중","Q4"
"706","2016-12-05",12,"월",159,0,"주중","Q4"
"713","2016-12-12",12,"월",159,0,"주중","Q4"
"720","2016-12-19",12,"월",159,17.1,"주중","Q4"
"727","2016-12-26",12,"월",159,22.2,"주중","Q4"
