날짜,월,요일,지점,강수량(mm)
2016-01-01,1,금,108,0
2016-01-02,1,토,108,0
2016-01-03,1,일,108,0
2016-01-04,1,월,108,0
2016-01-05,1,화,108,0
2016-01-06,1,수,108,0
2016-01-07,1,목,108,0
2016-01-08,1,금,108,0
2016-01-09,1,토,108,0
2016-01-10,1,일,108,0
2016-01-11,1,월,108,0
2016-01-12,1,화,108,0
2016-01-13,1,수,108,0.4
2016-01-14,1,목,108,0
2016-01-15,1,금,108,0
2016-01-16,1,토,108,0.1
2016-01-17,1,일,108,0
2016-01-18,1,월,108,0.2
2016-01-19,1,화,108,0
2016-01-20,1,수,108,0
2016-01-21,1,목,108,0
2016-01-22,1,금,108,0
2016-01-23,1,토,108,0
2016-01-24,1,일,108,0
2016-01-25,1,월,108,0
2016-01-26,1,화,108,0.3
2016-01-27,1,수,108,0
2016-01-28,1,목,108,0
2016-01-29,1,금,108,0
2016-01-30,1,토,108,0
2016-01-31,1,일,108,0
2016-02-01,2,월,108,0
2016-02-02,2,화,108,0
2016-02-03,2,수,108,0
2016-02-04,2,목,108,0
2016-02-05,2,금,108,0
2016-02-06,2,토,108,0
2016-02-07,2,일,108,0
2016-02-08,2,월,108,0
2016-02-09,2,화,108,0
2016-02-10,2,수,108,0
2016-02-11,2,목,108,0.1
2016-02-12,2,금,108,18
2016-02-13,2,토,108,21
2016-02-14,2,일,108,2.5
2016-02-15,2,월,108,0
2016-02-16,2,화,108,0.8
2016-02-17,2,수,108,0
2016-02-18,2,목,108,0
2016-02-19,2,금,108,0
2016-02-20,2,토,108,0
2016-02-21,2,일,108,0
2016-02-22,2,월,108,0
2016-02-23,2,화,108,0.9
2016-02-24,2,수,108,0
2016-02-25,2,목,108,0
2016-02-26,2,금,108,0
2016-02-27,2,토,108,0.2
2016-02-28,2,일,108,4.1
2016-02-29,2,월,108,0
2016-03-01,3,화,108,0
2016-03-02,3,수,108,0
2016-03-03,3,목,108,0
2016-03-04,3,금,108,0.1
2016-03-05,3,토,108,40
2016-03-06,3,일,108,0.2
2016-03-07,3,월,108,0
2016-03-08,3,화,108,0
2016-03-09,3,수,108,0
2016-03-10,3,목,108,0
2016-03-11,3,금,108,0
2016-03-12,3,토,108,0
2016-03-13,3,일,108,0.1
2016-03-14,3,월,108,0
2016-03-15,3,화,108,0
2016-03-16,3,수,108,0
2016-03-17,3,목,108,0
2016-03-18,3,금,108,0
2016-03-19,3,토,108,0
2016-03-20,3,일,108,0
2016-03-21,3,월,108,0
2016-03-22,3,화,108,0
2016-03-23,3,수,108,0
2016-03-24,3,목,108,0
2016-03-25,3,금,108,0
2016-03-26,3,토,108,0
2016-03-27,3,일,108,0
2016-03-28,3,월,108,0
2016-03-29,3,화,108,0.1
2016-03-30,3,수,108,0
2016-03-31,3,목,108,0
2016-04-01,4,금,108,0
2016-04-02,4,토,108,0
2016-04-03,4,일,108,2
2016-04-04,4,월,108,0
2016-04-05,4,화,108,0
2016-04-06,4,수,108,3
2016-04-07,4,목,108,7.5
2016-04-08,4,금,108,0
2016-04-09,4,토,108,0
2016-04-10,4,일,108,0
2016-04-11,4,월,108,0
2016-04-12,4,화,108,0
2016-04-13,4,수,108,1
2016-04-14,4,목,108,0
2016-04-15,4,금,108,0
2016-04-16,4,토,108,23.5
2016-04-17,4,일,108,20.5
2016-04-18,4,월,108,1.5
2016-04-19,4,화,108,0
2016-04-20,4,수,108,0.5
2016-04-21,4,목,108,17
2016-04-22,4,금,108,0
2016-04-23,4,토,108,0
2016-04-24,4,일,108,0
2016-04-25,4,월,108,0
2016-04-26,4,화,108,0
2016-04-27,4,수,108,0
2016-04-28,4,목,108,0
2016-04-29,4,금,108,0.3
2016-04-30,4,토,108,0
2016-05-01,5,일,108,0
2016-05-02,5,월,108,16.5
2016-05-03,5,화,108,27
2016-05-04,5,수,108,0
2016-05-05,5,목,108,7.5
2016-05-06,5,금,108,9.5
2016-05-07,5,토,108,0
2016-05-08,5,일,108,0
2016-05-09,5,월,108,0
2016-05-10,5,화,108,13.5
2016-05-11,5,수,108,0
2016-05-12,5,목,108,0
2016-05-13,5,금,108,0.5
2016-05-14,5,토,108,0
2016-05-15,5,일,108,45
2016-05-16,5,월,108,2.5
2016-05-17,5,화,108,0
2016-05-18,5,수,108,0
2016-05-19,5,목,108,0
2016-05-20,5,금,108,0
2016-05-21,5,토,108,0
2016-05-22,5,일,108,0
2016-05-23,5,월,108,0
2016-05-24,5,화,108,38.5
2016-05-25,5,수,108,0
2016-05-26,5,목,108,0
2016-05-27,5,금,108,0
2016-05-28,5,토,108,0
2016-05-29,5,일,108,0
2016-05-30,5,월,108,0
2016-05-31,5,화,108,0
2016-06-01,6,수,108,0
2016-06-02,6,목,108,0
2016-06-03,6,금,108,0
2016-06-04,6,토,108,0
2016-06-05,6,일,108,0
2016-06-06,6,월,108,0
2016-06-07,6,화,108,0.1
2016-06-08,6,수,108,0
2016-06-09,6,목,108,0
2016-06-10,6,금,108,0
2016-06-11,6,토,108,3
2016-06-12,6,일,108,1.5
2016-06-13,6,월,108,0
2016-06-14,6,화,108,0
2016-06-15,6,수,108,15.5
2016-06-16,6,목,108,0
2016-06-17,6,금,108,0
2016-06-18,6,토,108,0
2016-06-19,6,일,108,0
2016-06-20,6,월,108,0
2016-06-21,6,화,108,0
2016-06-22,6,수,108,30.5
2016-06-23,6,목,108,0.1
2016-06-24,6,금,108,3.5
2016-06-25,6,토,108,0
2016-06-26,6,일,108,0
2016-06-27,6,월,108,0
2016-06-28,6,화,108,0
2016-06-29,6,수,108,0
2016-06-30,6,목,108,0.2
2016-07-01,7,금,108,108.5
2016-07-02,7,토,108,4
2016-07-03,7,일,108,0
2016-07-04,7,월,108,29.5
2016-07-05,7,화,108,100.5
2016-07-06,7,수,108,0
2016-07-07,7,목,108,0
2016-07-08,7,금,108,0
2016-07-09,7,토,108,0
2016-07-10,7,일,108,0
2016-07-11,7,월,108,0
2016-07-12,7,화,108,3
2016-07-13,7,수,108,0
2016-07-14,7,목,108,0.1
2016-07-15,7,금,108,1.5
2016-07-16,7,토,108,46.5
2016-07-17,7,일,108,2.5
2016-07-18,7,월,108,0.2
2016-07-19,7,화,108,0
2016-07-20,7,수,108,0
2016-07-21,7,목,108,0
2016-07-22,7,금,108,0
2016-07-23,7,토,108,0.5
2016-07-24,7,일,108,0.5
2016-07-25,7,월,108,0
2016-07-26,7,화,108,0
2016-07-27,7,수,108,0.5
2016-07-28,7,목,108,0.2
2016-07-29,7,금,108,59.5
2016-07-30,7,토,108,0.5
2016-07-31,7,일,108,0.2
2016-08-01,8,월,108,0
2016-08-02,8,화,108,2
2016-08-03,8,수,108,0
2016-08-04,8,목,108,0
2016-08-05,8,금,108,0
2016-08-06,8,토,108,0
2016-08-07,8,일,108,0
2016-08-08,8,월,108,0
2016-08-09,8,화,108,1
2016-08-10,8,수,108,0
2016-08-11,8,목,108,0
2016-08-12,8,금,108,0
2016-08-13,8,토,108,0
2016-08-14,8,일,108,0.2
2016-08-15,8,월,108,0
2016-08-16,8,화,108,0.5
2016-08-17,8,수,108,0
2016-08-18,8,목,108,0
2016-08-19,8,금,108,11.5
2016-08-20,8,토,108,0
2016-08-21,8,일,108,0
2016-08-22,8,월,108,0.4
2016-08-23,8,화,108,8
2016-08-24,8,수,108,0
2016-08-25,8,목,108,4.5
2016-08-26,8,금,108,20
2016-08-27,8,토,108,0
2016-08-28,8,일,108,1.5
2016-08-29,8,월,108,0
2016-08-30,8,화,108,0
2016-08-31,8,수,108,17.5
2016-09-01,9,목,108,0
2016-09-02,9,금,108,4.5
2016-09-03,9,토,108,0.5
2016-09-04,9,일,108,0
2016-09-05,9,월,108,0
2016-09-06,9,화,108,0
2016-09-07,9,수,108,0
2016-09-08,9,목,108,4.5
2016-09-09,9,금,108,0
2016-09-10,9,토,108,0
2016-09-11,9,일,108,0
2016-09-12,9,월,108,2.5
